facilityName;streetAdress;city;state;zipCode;publicPhone
AJO JUSTICE COURT;111 LA MINA AVENUE;AJO;AZ;85321;5203877684
CITY OF AVONDALE;11465 WEST CIVIC CENTER DRIVE;AVONDALE;AZ;85323;6233331200
BENSON POST OFFICE;250 S OCOTILLO AVE;BENSON;AZ;85602;5205863422
COCHISE COUNTY CLERK OF SUPERIOR COURT - BISBEE;100 QUALITY HILL;BISBEE;AZ;85603;5204328600
BLACK CANYON CITY POST OFFICE;19060 E. K MINE RD.;BLACK CANYON CITY;AZ;85324;6233745771
CITY OF BUCKEYE;530 E. MONROE AVE;BUCKEYE;AZ;85326;6233496254
BULLHEAD CITY MAIN POST OFFICE;1882 LAKESIDE DR;BULLHEAD CITY;AZ;86442;9282786002
MOHAVE COUNTY CLERK OF SUPERIOR COURT - BULLHEAD CITY;2225 TRANE RD;BULLHEAD CITY;AZ;86442;9287580730
CAMP VERDE POST OFFICE;403 W FINNIE FLAT RD;CAMP VERDE;AZ;86322;9285673175
YAVAPAI COUNTY SUPERIOR COURT - CAMP VERDE;2840 N. COMMONWEALTH DR.;CAMP VERDE;AZ;86322;9285677741
CASA GRANDE POST OFFICE;1670 N PINAL AVE;CASA GRANDE;AZ;85122;5208367221
CITY OF CASA GRANDE;510 E FLORENCE BLVD;CASA GRANDE;AZ;85122;5204218600
CAVE CREEK POST OFFICE;38400 N SCHOOL HOUSE RD;CAVE CREEK;AZ;85331;4805959598
DESERT FOOTHILLS LIBRARY;38443 N. SCHOOL HOUSE ROAD;CAVE CREEK;AZ;85331;4805753201
CHANDLER CITY CLERK;175 S ARIZONA AVENUE;CHANDLER;AZ;85225;4807822181
CHANDLER MAIN POST OFFICE;101 N. COLORADO ST.;CHANDLER;AZ;85225;4809636643
CHINO VALLEY POST OFFICE;725 E. RD 2 NORTH;CHINO VALLEY;AZ;86323;9286362907
CLARKDALE POST OFFICE;9 SOUTH 9TH ST.;CLARKDALE;AZ;86324;9286345312
GREENLEE SUPERIOR COURT;223 5TH STREET;CLIFTON;AZ;85533;9288654242
COLORADO CITY POST OFFICE;55 S CENTRAL;COLORADO CITY;AZ;86021;9288752424
COOLIDGE POST OFFICE;229 W. CENTRAL AVENUE;COOLIDGE;AZ;85128;5207233011
CORTARO POST OFFICE;5800 W ARIZONA PAVILLIONS RD;CORTARO;AZ;85652;5207446105
DOUGLAS POST OFFICE;601 E 10TH STREET;DOUGLAS;AZ;85607;5203643631
ELOY POST OFFICE;620 N. MAIN ST.;ELOY;AZ;85131;5204663451
COCONINO COUNTY CLERK OF SUPERIOR COURT;200 N SAN FRANCISCO ST.;FLAGSTAFF;AZ;86001;9286797600
FLAGSTAFF MAIN POST OFFICE;2400 N POSTAL BLVD;FLAGSTAFF;AZ;86004;9287149302
NORTHERN ARIZONA UNIVERSITY - CTR FOR INTL ED;523 S KNOLES DR;FLAGSTAFF;AZ;86011;9285232409
FLORENCE MAIN POST OFFICE;501 N MAIN STREET;FLORENCE;AZ;85132;5208685651
GLENDALE MAIN POST OFFICE;5955 W PEORIA AVE;GLENDALE;AZ;85302;6234862029
GILA COUNTY CLERK OF SUPERIOR COURT - GLOBE;1400 EAST ASH STREET;GLOBE;AZ;85501;9284028866
GLOBE POST OFFICE;101 S. HILL STREET;GLOBE;AZ;85501;9284252381
AVONDALE/GOODYEAR POST OFFICE;875 S. ESTRELLA PARKWAY;GOODYEAR;AZ;85338;6238829148
GREEN VALLEY POST OFFICE;50 E. CONTINENTAL RD;GREEN VALLEY;AZ;85614;5206254221
HIGLEY POST OFFICE;3324 E. RAY RD;HIGLEY;AZ;85236;4809889796
HOLBROOK POST OFFICE;100 W. ERIE STREET;HOLBROOK;AZ;86025;9285243311
NAVAJO COUNTY CLERK OF THE SUPERIOR COURT;100 EAST CODE TALKERS DR;HOLBROOK;AZ;86025;9285244188
HUMBOLDT POST OFFICE;12814 E MAIN STREET;HUMBOLDT;AZ;86329;9286327411
KAYENTA POST OFFICE;391 HWY 163;KAYENTA;AZ;86033;9286973922
KINGMAN MAIN POST OFFICE;1901 JOHNSON AVE;KINGMAN;AZ;86401;9287532480
MOHAVE COUNTY CLERK OF SUPERIOR COURT - KINGMAN;401 EAST SPRING STREET;KINGMAN;AZ;86401;9287530713
LAKE HAVASU CITY POST OFFICE;1750 N MCCULLOCH BLVD;LAKE HAVASU CITY;AZ;86403;9288552361
MOHAVE COUNTY CLERK OF SUPERIOR COURT - LAKE HAVASU CITY;2001 COLLEGE DRIVE;LAKE HAVASU CITY;AZ;86403;9284530701
CITY OF MARICOPA/CITY HALL;39700 WEST CIVIC CENTER PLAZA;MARICOPA;AZ;85138;5205689098
MARICOPA COUNTY CLERK OF SUPERIOR COURT - SE REGIONAL FACILITY;222 EAST JAVELINA AVENUE;MESA;AZ;85210;6023725375
SHERWOOD PASSPORT OFFICE;325 S LINDSAY RD;MESA;AZ;85204;4809859026
NOGALES MAIN POST OFFICE;300 N. MORLEY AVE.;NOGALES;AZ;85621;5202879247
SANTA CRUZ COUNTY CLERK OF SUPERIOR COURT;2160 N. CONGRESS DRIVE, SUITE 2200;NOGALES;AZ;85621;5203757700
PAGE POST OFFICE;44 6TH AVENUE;PAGE;AZ;86040;9286452571
LA PAZ COUNTY SUPERIOR COURT CLERK;1316 KOFA AVENUE;PARKER;AZ;85344;9286696131
PARKER POST OFFICE;1500 S. CALIFORNIA AVE.;PARKER;AZ;85344;9286698179
GILA COUNTY CLERK - PAYSON;714 SOUTH BEELINE HWY;PAYSON;AZ;85541;9284743978
AHWATUKEE POST OFFICE;11010 S 51ST STREET;PHOENIX;AZ;85044;4808931748
DAISY MOUNTAIN POST OFFICE;44047 N. 43RD AVENUE;PHOENIX;AZ;85087;6235517950
ED PASTOR POST OFFICE;522 N CENTRAL AVE;PHOENIX;AZ;85004;6022539648
MARICOPA COUNTY CLERK OF SUPERIOR COURT;601 WEST JACKSON ST., 1ST FLOOR;PHOENIX;AZ;85003;6023725375
MARYVALE POST OFFICE;4415 N MARYVALE PKWY;PHOENIX;AZ;85031;6238482821
NORTHEAST REGIONAL COURT CENTER;18380 N 40TH ST.;PHOENIX;AZ;85032;6023725375
PHOENIX CAPITOL STATION;2 S. 35TH AVE;PHOENIX;AZ;85009;6024840719
PHOENIX MAIN POST OFFICE;4949 E VAN BUREN ST;PHOENIX;AZ;85026;6022253158
PHOENIX RIO SALADO STATION;1441 E BUCKEYE ROAD;PHOENIX;AZ;85034;6022233232
PHOENIX SHAW BUTTE STATION;12208 N 19TH AVE;PHOENIX;AZ;85029;6023314284
PINETOP POST OFFICE;712 EAST WHITE MOUNTAIN BLVD;PINETOP;AZ;85935;9283674756
CLERK OF THE SUPERIOR COURT - PRESCOTT DISTRICT;120 S. CORTEZ STREET;PRESCOTT;AZ;86303;9287713312
PRESCOTT MAIN POST OFFICE;442 MILLER VALLEY RD.;PRESCOTT;AZ;86301;9287781890
PRESCOTT VALLEY RETAIL STATION;8307 E STATE ROUTE 69;PRESCOTT VALLEY;AZ;86314;9287726996
RILLITO POST OFFICE;11651 N. CASA GRANDE DR;RILLITO;AZ;85654;5206823706
GRAHAM COUNTY CLERK OF SUPERIOR COURT;800 W MAIN STREET;SAFFORD;AZ;85546;9284283100
SAHUARITA MUNICIPAL COURT;360 W. SAHUARITA CENTER WAY;SAHUARITA;AZ;85629;5203447150
SAN LUIS POST OFFICE;874 S MAIN ST.;SAN LUIS;AZ;85336;9286277065
SAN MANUEL POST OFFICE;430 SOUTH AVENUE A;SAN MANUEL;AZ;85631;5203859341
CITY OF SCOTTSDALE TAX AND LICENSE;7447 E. INDIAN SCHOOL ROAD;SCOTTSDALE;AZ;85251;4803122400
SCOTTSDALE MAIN POST OFFICE;1776 N. SCOTTSDALE RD.;SCOTTSDALE;AZ;85257;4809491448
SEDONA POST OFFICE;190 W. STATE ROUTE 89A;SEDONA;AZ;86336;9282823511
SHOW LOW POST OFFICE;191 W DEUCE OF CLUBS;SHOW LOW;AZ;85901;9285374588
COCHISE COUNTY CLERK OF SUPERIOR COURT - SIERRA VISTA;100 COLONIA DE SALUD;SIERRA VISTA;AZ;85635;5208033060
SIERRA VISTA MAIN POST OFFICE;2300 E FRY BLVD.;SIERRA VISTA;AZ;85635;5204582540
SPRINGERVILLE POST OFFICE;5 E MAIN STREET;SPRINGERVILLE;AZ;85938;9283334962
CLERK OF SUPERIOR COURT - APACHE COUNTY;70 W. 3RD SOUTH;ST JOHNS;AZ;85936;9283377550
SUN CITY POST OFFICE;9802 WEST BELL ROAD;SUN CITY;AZ;85351;6239339887
CITY OF SURPRISE - CITY HALL  AZ;16000 N. CIVIC CENTER PLAZA;SURPRISE;AZ;85374;6232221200
NORTHWEST REGIONAL COURT;14264 W. TIERRA BUENA LANE;SURPRISE;AZ;85374;6023725375
ARIZONA STATE UNIV - PASSPORT ACCEPTANCE OFFICE;1100 E UNIVERSITY DR, SUITE 111;TEMPE;AZ;85287;4807277373
TEMPE APACHE POST OFFICE;1962 E APACHE BLVD;TEMPE;AZ;85281;4809290180
TEMPE MAIN POST OFFICE;233 E. SOUTHERN AVE.;TEMPE;AZ;85282;4809670956
THATCHER POST OFFICE;1122 N. STADIUM AVE;THATCHER;AZ;85552;9284280613
PIMA COMMUNITY COLLEGE (PCC), EAST CAMPUS;8181 E IRVINGTON RD;TUCSON;AZ;85709;5202067600
PIMA COUNTY CLERK OF SUPERIOR COURT;240 N STONE AVE;TUCSON;AZ;85701;5207243210
PIMA COUNTY DEVELOPMENT SERVICES;201 N STONE AVE;TUCSON;AZ;85701;5207249506
TUCSON MAIN POST OFFICE - CHERRYBELL;1501 S CHERRYBELL STRAV;TUCSON;AZ;85726;5203885043
UA PASSPORTS;615 N PARK AVENUE, ROOM 103;TUCSON;AZ;85721;5206267161
WICKENBURG POST OFFICE;2029 W. WICKENBURG WAY;WICKENBURG;AZ;85390;9286842138
WILLCOX POST OFFICE;200 S CURTIS AVENUE;WILLCOX;AZ;85643;5203842689
NAVAJO NATION SUPREME COURT;101 VETERANS MEMORIAL PARK #1;WINDOW ROCK;AZ;86515;9288716763
YUMA COUNTY CLERK OF SUPERIOR COURT;250 W. 2ND ST., SUITE B;YUMA;AZ;85364;9288174210
YUMA MAIN POST OFFICE;2222 SOUTH 4TH AVE;YUMA;AZ;85364;9283439416
