facilityName;streetAdress;city;state;zipCode;publicPhone
ADELANTO POST OFFICE;11530 RANCHO ROAD;ADELANTO;CA;92301;7602468535
ALAMEDA POST OFFICE;2201 SHORELINE DRIVE;ALAMEDA;CA;94501;5107484156
CITY OF ALAMEDA CITY CLERK OFFICE;2263 SANTA CLARA AVE;ALAMEDA;CA;94501;5107474804
ALAMO PO;160 ALAMO PLAZA;ALAMO;CA;94507;9259359953
ALBANY CITY CLERK;1000 SAN PABLO AVE.;ALBANY;CA;94706;5105285710
ALHAMBRA CIVIC CENTER LIBRARY;101 S. 1ST STREET;ALHAMBRA;CA;91801;6265705028
ALHAMBRA POST OFFICE;10 W. BAY STATE ST;ALHAMBRA;CA;91802;6262891681
ALPINE POST OFFICE;2127 ARNOLD WAY;ALPINE;CA;91901;6194451772
ALTADENA LIBRARY DISTRICT;600 EAST MARIPOSA STREET;ALTADENA;CA;91001;6267982950
MODOC COUNTY BOARD OF SUPERVISORS;204 S. COURT STREET;ALTURAS;CA;96101;5302336201
ALVISO POST OFFICE;1525 GOLD STREET;ALVISO;CA;95002;4082624258
ANAHEIM CITY CLERKS OFFICE;200 S. ANAHEIM BLVD;ANAHEIM;CA;92805;7147654540
ANAHEIM HILLS STATION POST OFFICE;5505 E. SANTA ANA CANYON ROAD;ANAHEIM;CA;92817;7149212304
ANAHEIM MAIN POST OFFICE;701 N. LOARA ST;ANAHEIM;CA;92803;7145202639
BROOKHURST CENTER STATION POST OFFICE;2255 W. BALL RD.;ANAHEIM;CA;92804;7147740188
HOLIDAY (ANAHEIM) STATION;1180  W. BALL RD.;ANAHEIM;CA;92812;7145338182
ORANGE COUNTY CLERK-RECORDER NORTH COUNTY BRANCH OFFICE;222 S HARBOR BLVD, SUITE 110;ANAHEIM;CA;92805;7147731362
ANGELUS OAKS POST OFFICE;37696 STATE HIGHWAY 38;ANGELUS OAKS;CA;92305;9097942909
ANGWIN POST OFFICE;5 ANGWIN PLAZA;ANGWIN;CA;94508;7079652272
ANTIOCH POST OFFICE;2730 WEST TREGALLAS RD.;ANTIOCH;CA;94509;9257570379
ANZA POST OFFICE;38775 CONTRERAS RD;ANZA;CA;92539;9517632074
