facilityName;streetAdress;city;state;zipCode;publicPhone
AVON POST OFFICE;15 ENFORD STREET;AVON;CT;06001;8606780525
BERLIN-PECK MEMORIAL LIBRARY;234 KENSINGTON ROAD;BERLIN;CT;06037;8608287125
BETHLEHEM POST OFFICE;34 EAST STREET;BETHLEHEM;CT;06751;2032667910
BLOOMFIELD POST OFFICE;40 JEROME AVE;BLOOMFIELD;CT;06002;8602420727
BRANFORD POST OFFICE;35 PARK PLACE;BRANFORD;CT;06405;2034880663
WILLOUGHBY WALLACE MEMORIAL LIBRARY;146 THIMBLE ISLANDS RD;BRANFORD;CT;06405;2034888702
BAYVIEW STATION;115 BOSTON AVENUE;BRIDGEPORT;CT;06610;2033322681
BRIDGEPORT MAIN POST OFFICE;120 MIDDLE STREET;BRIDGEPORT;CT;06602;2033325302
BRISTOL POST OFFICE;151 N MAIN ST;BRISTOL;CT;06010;8605831371
BURLINGTON POST OFFICE;715 GEORGE WASHINGTON TPKE;BURLINGTON;CT;06013;8606756339
CANAAN POST OFFICE;9 CHURCH ST;CANAAN;CT;06018;8608247475
CHESHIRE POST OFFICE;210 MAPLE STREET;CHESHIRE;CT;06410;2032723593
CHESTER POST OFFICE;100 MAIN STREET;CHESTER;CT;06412;8605262780
CLINTON POST OFFICE;2 WEST MAIN STREET;CLINTON;CT;06413;8606694155
HENRY CARTER HULL LIBRARY;10 KILLINGWORTH TURNPIKE;CLINTON;CT;06413;8606692342
COLCHESTER POST OFFICE;103 SOUTH MAIN STREET;COLCHESTER;CT;06415;8605375695
TOWN OF COLUMBIA;323 ROUTE 87;COLUMBIA;CT;06237;8602280440
CORNWALL BRIDGE POST OFFICE;18A KENT RD;CORNWALL BRIDGE;CT;06754;8606726710
CROMWELL POST OFFICE;528 MAIN STREET;CROMWELL;CT;06416;8603655611
DANBURY POST OFFICE;23 BACKUS AVE;DANBURY;CT;06810;2037961905
DANIELSON POST OFFICE;70 WATER ST;DANIELSON;CT;06239;8607795066
DARIEN POST OFFICE;30 CORBIN DRIVE;DARIEN;CT;06820;2036552595
DAYVILLE POST OFFICE;988 N. MAIN STREET;DAYVILLE;CT;06241;8607744131
