facilityName;streetAdress;city;state;zipCode;publicPhone
U.S. EMBASSY MANILA;AMERICAN CITIZEN SERVICES, CONSULAR SECTION;1001 MANILA, THE PHILIPPINES;DC;99999;6323012000
GENERIC FACILITY FOR SIA WORK (DS-11s);123 ANY STREET;ANYWHERE;DC;88888; 
22ND ST. RETAIL (FORMERLY USPS TWENTIETH STREET STATION);1255 22ND ST. NW;WASHINGTON;DC;20036;2024661972
FORD POST OFFICE;441 2ND ST SW;WASHINGTON;DC;20515;2022265426
LAMOND RIGGS - RECYCLED NUMBERS;6200 NORTH CAPITAL ST NW;WASHINGTON;DC;20011;2025232038
LONGWORTH POST OFFICE;15 INDEPENDENCE AVE RM B202;WASHINGTON;DC;20515;2022265426
MARTIN LUTHER KING MEMORIAL LIBRARY;2000 14TH ST NW;WASHINGTON;DC;20009;2027273257
U.S. CONSULATE GENERAL BELFAST;5360 BELFAST PLACE;WASHINGTON;DC;99999;4402890386100
U.S. CONSULATE GENERAL EDINBURGH;5370 EDINBURGH PLACE;WASHINGTON;DC;99999;441315568315
U.S. CONSULATE GENERAL GUADALAJARA;3280 GUADALAJARA PL;WASHINGTON;DC;99999;11523332682100
U.S. EMBASSY IN MEXICO CITY;U.S. EMBASSY MEXICO CITY;WASHINGTON;DC;99999;11525550802000
U.S. EMBASSY LONDON;8400 LONDON PL;WASHINGTON;DC;99999;442074999000
USPS BEN FRANKLIN POST OFFICE;1200 PENNSYLVANIA AVENUE NW;WASHINGTON;DC;20004;2025232386
USPS CLEVELAND PARK POST OFFICE;3430 CONNECTICUT AVENUE NW;WASHINGTON;DC;20008;2025232396
USPS FRIENDSHIP POST OFFICE;4005 WISCONSIN AVENUE NW;WASHINGTON;DC;20016;2025232130
USPS JOSEPH CURESEEN - THOMAS MORRIS P AND DC;900 BRENTWOOD ROAD  NE;WASHINGTON;DC;20066;2026362132
USPS NATIONAL CAPITOL  DOROTHY HEIGHTS STATION;2 MASSACHUSETTS AVENUE;WASHINGTON;DC;20002;2025232284
USPS SOUTHEAST STATION;600 PENNSYLVANIA AVE SE;WASHINGTON;DC;20003;2025232174
USPS SOUTHWEST STATION;45 L STREET SW;WASHINGTON;DC;20024;2025232590
USPS WASHINGTON SQUARE STATION;1050 CONNECTICUT AVENUE NW;WASHINGTON;DC;20035;2025233632
