facilityName;streetAdress;city;state;zipCode;publicPhone
DAGSBORO POST OFFICE;28290 CLAYTON STREET;DAGSBORO;DE;19939;3027329404
DOVER MAIN POST OFFICE;55 LOOCKERMAN PLAZA;DOVER;DE;19901;3027345822
DOVER PUBLIC LIBRARY;35 LOOCKERMAN PLAZA;DOVER;DE;19901;3027367030
GEORGETOWN POST OFFICE;115 SOUTH KING STREET;GEORGETOWN;DE;19947;3028563647
HOCKESSIN POST OFFICE;651 VALLEY RD;HOCKESSIN;DE;19707;3022394240
LAUREL PUBLIC LIBRARY;101 E. 4TH ST;LAUREL;DE;19956;3028753184
MIDDLETOWN POST OFFICE;298 E. MAIN STREET;MIDDLETOWN;DE;19709;3023786241
MILFORD MAIN POST OFFICE;110 CAUSEY AVENUE;MILFORD;DE;19963;3024225618
MILLSBORO POST OFFICE;100 MAIN ST;MILLSBORO;DE;19966;3029349226
WILMINGTON POST OFFICE AND DISTRIBUTION CENTER;147 QUIGLEY BLVD.;NEW CASTLE;DE;19720;3023232260
NEWARK MAIN POST OFFICE;401 OGLETOWN ROAD;NEWARK;DE;19711;3027375771
OCEAN VIEW POST OFFICE;35764 ATLANTIC AVENUE;OCEAN VIEW;DE;19970;3025399466
REHOBOTH BEACH POST OFFICE;179 REHOBOTH AVENUE;REHOBOTH BEACH;DE;19971;3022278406
SEAFORD MAIN POST OFFICE;2001 BRIDGEVILLE HWY;SEAFORD;DE;19973;3026283441
SMYRNA POST OFFICE;13 SOUTH MARKET STREET;SMYRNA;DE;19977;3026539935
GREENVILLE BRANCH POST OFFICE;3801 KENNETT PIKE;WILMINGTON;DE;19807;3026521877
RODNEY SQUARE STATION POST OFFICE;500 DELAWARE AVENUE SUITE 1;WILMINGTON;DE;19801;3026560228
TALLEYVILLE POSTAL STORE;3911 CONCORD PIKE;WILMINGTON;DE;19803;3024785753
