facilityName;streetAdress;city;state;zipCode;publicPhone
USPS ALVA POST OFFICE;17301 BROADWAY ST;ALVA;FL;33920;2397283924
FRANKLIN COUNTY CLERK OF COURT - FRANKLIN COUNTY COURTHOUSE;33 MARKET ST;APALACHICOLA;FL;32320;8506538861
ORANGE COUNTY CLERK OF COURT - APOPKA BRANCH;1111 N ROCK SPRINGS RD;APOPKA;FL;32712;4078362007
DESOTO COUNTY CLERK OF COURT;115 EAST OAK STREET;ARCADIA;FL;34266;8639934876
USPS ARCHER POST OFFICE;13553 SW STATE ROAD 45;ARCHER;FL;32618;3524952565
POLK COUNTY CLERK OF COURT - BARTOW BRANCH;255 N BROADWAY AVE;BARTOW;FL;33830;8635344000
PALM BEACH COUNTY CLERK OF COURT - WEST COUNTY COURTHOUSE;2950 STATE ROAD 15;BELLE GLADE;FL;33430;5619964843
USPS BIG PINE KEY POST OFFICE;29959 OVERSEAS HWY;BIG PINE KEY;FL;33043;3058722531
CALHOUN COUNTY CLERK OF COURT;20859 CENTRAL AVE E;BLOUNTSTOWN;FL;32424;8506744545
USPS DOWNTOWN BOCA RATON POST OFFICE;170 NE 2ND ST;BOCA RATON;FL;33432;5613628136
USPS BOKEELIA MAIN POST OFFICE;15980 STRINGFELLOW RD;BOKEELIA;FL;33922;2392834258
HOLMES COUNTY CLERK OF COURT;201 N OKLAHOMA ST;BONIFAY;FL;32425;8505471100
USPS BONITA SPRINGS POST OFFICE;26150 OLD 41ST ROAD;BONITA SPRINGS;FL;34135;2399920442
USPS BOYNTON BEACH MAIN POST OFFICE;1530 W BOYNTON BEACH BLVD;BOYNTON BEACH;FL;33436;5617407329
MANATEE COUNTY CLERK OF COURT;1115 MANATEE AVE W;BRADENTON;FL;34205;9417414020
HILLSBOROUGH COUNTY CLERK OF COURT - BRANDON REGIONAL SERVICE CENTER;311 PAULS DR;BRANDON;FL;33511;8132768100
USPS BRANDON POST OFFICE;1315 OAKFIELD DR;BRANDON;FL;33511;8136611503
LIBERTY COUNTY CLERK OF COURT;10818 NW STATE ROAD 20;BRISTOL;FL;32321;8506432215
BROOKSVILLE MAIN POST OFFICE;19101 CORTEZ BLVD.;BROOKSVILLE;FL;34601;3525444093
HERNANDO COUNTY CLERK OF COURT - MAIN OFFICE;20 N MAIN ST;BROOKSVILLE;FL;34601;3525406768
