facilityName;streetAdress;city;state;zipCode;publicPhone
ACWORTH MAIN POST OFFICE;4915 N MAIN ST;ACWORTH;GA;30101;7709668133
ADAIRSVILLE POST OFFICE;10 FINLEY ST.;ADAIRSVILLE;GA;30103;7707733848
WHEELER COUNTY SUPERIOR COURT;16 WEST PEARL ST;ALAMO;GA;30411;9125687137
ALBANY MAIN POST OFFICE;1501 S SLAPPEY BLVD;ALBANY;GA;31701;2298892625
SUPERIOR COURT CLERK ALMA GA;502 W 12TH STREET;ALMA;GA;31510;9126324915
WEBB BRIDGE POST OFFICE;4575 WEBB BRIDGE ROAD;ALPHARETTA;GA;30005;7705699818
SUPERIOR COURT CLERK SUMTER COUNTY;500 WEST LAMAR ST.;AMERICUS;GA;31709;2299284537
TURNER COUNTY SUPERIOR COURT;219 E. COLLEGE STREET;ASHBURN;GA;31714;2295672011
ATHENS - CLARKE COUNTY LIBRARY;2025 BAXTER STREET;ATHENS;GA;30606;7066133650
ATHENS MAIN POST OFFICE;575 OLYMPIC DRIVE;ATHENS;GA;30601;7063693270
UNIVERSITY OF GEORGIA PASSPORT SERVICES;45 BAXTER ST;ATHENS;GA;30602;7065423040
ATLANTA MAIN OFFICE;3900 CROWN ROAD;ATLANTA;GA;30304;4047657292
FULTON COUNTY CLERK OF SUPERIOR COURT;136 PRYOR ST SW;ATLANTA;GA;30303; 
FULTON COUNTY SUPERIOR COURT NORTH;7741 ROSWELL ROAD;ATLANTA;GA;30350;4046155755
MIDTOWN PASSPORT ACCEPTANCE FACILITY;1072 WEST PEACHTREE STREET NW;ATLANTA;GA;30309;4047952231
AUGUSTA MAIN POST OFFICE;525 8TH STREET;AUGUSTA;GA;30901;7068233113
DECATUR COUNTY CLERKS OFFICE;112 W WATER ST;BAINBRIDGE;GA;39819;2292483025
BARNESVILLE POST OFFICE;138 FORSYTH STREET;BARNESVILLE;GA;30204;7703580249
APPLING COUNTY CLERK OF  COURT;69 TIPPINS ST;BAXLEY;GA;31513;9123678126
PIERCE COUNTY CLERKS OFFICE;3550 HWY 84;BLACKSHEAR;GA;31516;9124492020
UNION COUNTY SUPERIOR COURT;65 COURTHOUSE STREET, SUITE 5;BLAIRSVILLE;GA;30512;7064396022
SUPERIOR COURT CLERK OF EARLY COUNTY;111 COURT SQUARE;BLAKELY;GA;39823;2297233033
FANNIN COUNTY  CLERK OF SUPERIOR COURT;400 WEST MAIN STREET;BLUE RIDGE;GA;30513;7066322039
BROOKLET  POST OFFICE;129 E LEE ST;BROOKLET;GA;30415;9128422221
BRUNSWICK MAIN;805 GLOUCESTER STREET;BRUNSWICK;GA;31520;9122801250
GLYNN COUNTY SUPERIOR COURT;701 H  STREET;BRUNSWICK;GA;31520;9125547313
BUCHANAN POST OFFICE;368 CARROLLTON ST;BUCHANAN;GA;30113;7706463827
GWINNETT COUNTY PUBLIC LIBRARY;2100 BUFORD HIGHWAY;BUFORD;GA;30518;7709785154
CLERK SUPERIOR COURT GRADY COUNTY;250 NORTH BROAD STREET;CAIRO;GA;39828;2293772912
CALHOUN POST OFFICE;401 COURT STREET;CALHOUN;GA;30701;7066292269
CLERK SUPERIOR COURT MITCHELL COUNTY GEORGIA;11 BROAD ST.;CAMILLA;GA;31730;2293362021
CANTON POST OFFICE;2400 RIVERSTONE BLVD;CANTON;GA;30114;7707208164
CHEROKEE COUNTY SUPERIOR COURT;90 NORTH STREET;CANTON;GA;30114;6784936523
CARROLL COUNTY SUPERIOR COURT;311 NEWNAN ST;CARROLLTON;GA;30117;7708305830
CARTERSVILLE POST OFFICE;25 LIBERTY DRIVE;CARTERSVILLE;GA;30121;7703825121
CHATSWORTH GEORGIA POST OFFICE;120 WEST FORT STREET;CHATSWORTH;GA;30705;7066951109
HABERSHAM  CLERK OF SUPERIOR COURT;295 LLEWELLYN ST;CLARKESVILLE;GA;30523;7068390300
GEORGIA STATE UNIVERSITY - CLARKSTON CAMPUS SERVICES;555 NORTH INDIAN CREEK DRIVE;CLARKSTON;GA;30021;6788913320
RABUN COUNTY CLERK OF SUPERIOR COURT;25 COURTHOUSE SQUARE;CLAYTON;GA;30525;7067823615
CLEVELAND POST OFFICE;116 HELEN HWY;CLEVELAND;GA;30528;7068654511
WHITE COUNTY SUPERIOR COURT;59 S MAIN;CLEVELAND;GA;30528;7068652613
BLECKLEY COUNTY CLERK OF SUPERIOR COURT;112 N 2ND ST;COCHRAN;GA;31014;4789343210
COHUTTA POST OFFICE;325 WOLFE ST;COHUTTA;GA;30710;7066948385
FULTON COUNTY SUPERIOR COURT SOUTH;5600 STONEWALL TELL ROAD;COLLEGE PARK;GA;30349;4046125756
COLUMBUS DOWNTOWN STATION;120 12TH STREET;COLUMBUS;GA;31901;7065621873
COLUMBUS MAIN POST OFFICE;3916 MILGEN RD;COLUMBUS;GA;31907;7065621860
MUSCOGEE COUNTY PROBATE COURT;100 10TH STREET;COLUMBUS;GA;31901;7066534333
UNITED STATES POSTAL SERVICE-FORT BENNING;110 VIBBERT AVENUE;COLUMBUS;GA;31905;7066891696
ROCKDALE COUNTY CLERK OF COURTS;922 COURT ST;CONYERS;GA;30012;7702787918
CRISP COUNTY CLERK OF SUPERIOR COURT;510 NORTH 7TH STREET;CORDELE;GA;31015;2292714726
CORNELIA POST OFFICE;407 CORNELIA PLAZA DR.;CORNELIA;GA;30531;7067784714
NEWTON COUNTY CLERK OF SUPERIOR COURT;1132 USHER ST;COVINGTON;GA;30014;7707842035
CUMMING MAIN POST OFFICE;525 TRIBBLE GAP RD;CUMMING;GA;30040;7708862388
FORSYTH COUNTY PROBATE COURT;100 WEST COURTHOUSE SQUARE;CUMMING;GA;30040;7707812140
CLERK OF SUPERIOR COURT OF RANDOLPH COUNTY;93 FRONT STREET;CUTHBERT;GA;39840;8557826310
DACULA POST OFFICE;470 DACULA RD;DACULA;GA;30019;7709624390
LUMPKIN COUNTY CLERK OF SUPERIOR COURT;325 RILEY ROAD;DAHLONEGA;GA;30533;7068643736
DALTON MAIN POST OFFICE;100 S. THORNTON AVENUE;DALTON;GA;30720;7062790751
SUPERIOR COURT  MADISON COUNTY;91 ALBANY AVENUE;DANIELSVILLE;GA;30633;7067956310
TERRELL COUNTY SUPERIOR COURT CLERK;235 E LEE ST;DAWSON;GA;39842;2299952631
