facilityName;streetAdress;city;state;zipCode;publicPhone
ANAHOLA POST OFFICE;4-4350 KUHIO HWY;ANAHOLA;HI;96703;8088224710
CAPTAIN COOK POST OFFICE;82-6110 MAMALAHOA HIGHWAY;CAPTAIN COOK;HI;96704;8083239678
EWA STATION;91-1202 RENTON RD;EWA BEACH;HI;96706;8086894250
HAIKU POST OFFICE;770 HAIKU RD;HAIKU;HI;96708;8085752614
HANAPEPE POST OFFICE;3817 KONA RD;HANAPEPE;HI;96716;8083355433
HAUULA POST OFFICE;54-316 KAMEHAMEHA HWY;HAUULA;HI;96717;8082935057
HAWAII COMMUNITY COLLEGE - OCET;1175 MANONO ST BLDG 379A RM 3;HILO;HI;96720;8089342700
HOLUALOA POST OFFICE;76-5921 MAMALAHOA HWY.;HOLUALOA;HI;96725;8083225085
HONOKAA POST OFFICE;45-490 LEHUA ST;HONOKAA;HI;96727;8087750081
AIRPORT - MAIN POST OFFICE;3595 NORTH NIMITZ HIGHWAY;HONOLULU;HI;96818;8084233434
HAWAII STATE LIBRARY;478 S. KING ST.,;HONOLULU;HI;96813;8085863477
KAPIOLANI COMMUNITY COLLEGE - HOSPITALITY DEPT;4303 DIAMOND HEAD ROAD;HONOLULU;HI;96816;8087349258
UNIVERSITY OF HAWAII AT MANOA;2465 CAMPUS ROAD;HONOLULU;HI;96822;8089567236
KAAAWA POST OFFICE;51-480 KAMEHAMEHA HWY.;KAAAWA;HI;96730;8082378372
KAHULUI POST OFFICE;138 SOUTH PUUNENE AVE.;KAHULUI;HI;96732;8088712487
UNIVERSITY OF HAWAII, MAUI COLLEGE REGISTRAR;310 WEST KAAHUMANUU AVE.;KAHULUI;HI;96732;8089843474
HAWAII COMMUNITY COLLEGE - PALAMANUI;73-4255 ANE KEOHOKALOLE HWY.;KAILUA-KONA;HI;96740;8089698816
KALAHEO POST OFFICE;4489 PAPALINA RD;KALAHEO;HI;96741;8083325800
KAPAAU POST OFFICE;54-396 UNION MILL RD;KAPAAU;HI;96755;8088896766
KAUNAKAKAI POST OFFICE;120 ALA MALAMA AVE;KAUNAKAKAI;HI;96748;8085535845
KEAAU PUBLIC AND SCHOOL LIBRARY;16-571 KEAAU-PAHOA ROAD;KEAAU;HI;96749;8089824281
KILAUEA POST OFFICE;2585 ALA NAMAHANA PARKWAY;KILAUEA;HI;96754;8088281721
LAIE POST OFFICE;55-510 KAMEHAMEHA HWY.;LAIE;HI;96762;8082930337
LANAI CITY POST OFFICE;620 JACARANDA ST.;LANAI CITY;HI;96763;8085656517
LAWAI POST OFFICE;2-3675 KAUMUALII HWY;LAWAI;HI;96765;8083329161
KAUAI COMMUNITY COLLEGE OFFICE OF CONTINUING EDUCATION AND TRAINING;3-1901 KAUMUALII HWY;LIHUE;HI;96766;8082458319
LIHUE POST OFFICE;4441 RICE ST.;LIHUE;HI;96766;8082451628
MAKAWAO POST OFFICE;1075 MAKAWAO AVE.;MAKAWAO;HI;96768;8085720019
MOUNTAIN VIEW POST OFFICE;18-1350 VOLCANO HWY;MOUNTAIN VIEW;HI;96771;8089686461
PAHALA POST OFFICE;96-3163 PIKAKE ST;PAHALA;HI;96777;8089289815
PAIA POST OFFICE;120 BALDWIN AVE;PAIA;HI;96779;8085798866
PAPAIKOU POST OFFICE;27-250 OLD MAMALAHOA HWY;PAPAIKOU;HI;96781;8089641621
LEEWARD COMMUNITY COLLEGE;96-045 ALA IKE CE-101;PEARL CITY;HI;96782;8084550477
PEPEEKEO POST OFFICE;28-2825 HAWAII BELT ROAD;PEPEEKEO;HI;96783;8089643253
WAIALUA POST OFFICE;67-079 NAUAHI ST.;WAIALUA;HI;96791;8086372754
WAIMANALO POST OFFICE;41-859 KALANIANAOLE HWY;WAIMANALO;HI;96795;8082590106
