facilityName;streetAdress;city;state;zipCode;publicPhone
DALLAS COUNTY RECORDERS OFFICE;801 COURT ST RM 203;ADEL;IA;50003;5159935804
ALBIA POST OFFICE;104 BENTON AVE. W.;ALBIA;IA;52531;6419325430
ALGONA POST OFFICE;112 N MINNESOTA ST;ALGONA;IA;50511;5152952203
KOSSUTH COUNTY RECORDERS OFFICE;114 W. STATE ST.;ALGONA;IA;50511;5152955660
BUTLER COUNTY RECORDERS OFFICE;428 6TH ST;ALLISON;IA;50602;3192672735
ALTOONA POST OFFICE;300 8TH ST. SE;ALTOONA;IA;50009;5159672262
AMES POST OFFICE;525 KELLOGG AVE;AMES;IA;50010;5152321113
JONES COUNTY AUDITORS OFFICE;500 W. MAIN STREET;ANAMOSA;IA;52205;3194622282
ANKENY POST OFFICE;1011 N ANKENY BLVD;ANKENY;IA;50021;5159640464
CASS COUNTY AUDITOR;5 WEST 7TH STREET;ATLANTIC;IA;50022;7122434570
AUDUBON PUBLIC LIBRARY;401 NORTH PARK PLACE;AUDUBON;IA;50025;7125633301
TAYLOR COUNTY AUDITORS OFFICE;405 JEFFERSON ST;BEDFORD;IA;50833;7125232280
BETTENDORF POST OFFICE;4439 DEVILS GLEN ROAD;BETTENDORF;IA;52722;5633326656
BLOOMFIELD POST OFFICE;202 W.JEFFERSON ST.;BLOOMFIELD;IA;52537;6416642042
DAVIS COUNTY RECORDERS OFFICE;100 COURTHOUSE SQUARE;BLOOMFIELD;IA;52537;6416642321
BOONE COUNTY PLANNING AND DEVELOPMENT;201 STATE STREET;BOONE;IA;50036;5154330550
BURLINGTON POST OFFICE;300 N MAIN ST;BURLINGTON;IA;52601;3197547581
DES MOINES COUNTY AUDITOR;513 N MAIN ST;BURLINGTON;IA;52601;3197538232
CARROLL COUNTY ENVIRONMENTAL HEALTH DEPARTMENT;114 E 6TH ST;CARROLL;IA;51401;7127929532
CEDAR FALLS POST OFFICE;221 W 6 ST;CEDAR FALLS;IA;50613;3192664734
CEDAR RAPIDS MAIN POST OFFICE;615 6TH AVE SE;CEDAR RAPIDS;IA;52401;3193995560
LINN COUNTY RECORDER;935 2ND STREET SW;CEDAR RAPIDS;IA;52404;3198925420
CENTERVILLE POST OFFICE;300 N. 10TH ST.;CENTERVILLE;IA;52544;6418563403
LUCAS COUNTY AUDITOR;916 BRADEN AVE;CHARITON;IA;50049;6417744512
FLOYD COUNTY AUDITOR OFFICE;101 S. MAIN ST;CHARLES CITY;IA;50616;6412576131
CHEROKEE COUNTY RECORDERS OFFICE;520 WEST MAIN;CHEROKEE;IA;51012;7122256735
PAGE COUNTY RECORDERS OFFICE;112 EAST MAIN STREET;CLARINDA;IA;51632;7125423130
CLINTON POST OFFICE;300 S. 1ST ST.;CLINTON;IA;52732;5632426214
ADAMS COUNTY AUDITOR;500 9TH ST;CORNING;IA;50841;6413223340
WAYNE COUNTY AUDITOR;100 N LAFAYETTE;CORYDON;IA;50060;6418722242
POTTAWATTAMIE COUNTY RECORDERS OFFICE;227 SOUTH 6TH ST.;COUNCIL BLUFFS;IA;51501;7123285609
HOWARD COUNTY AUDITORS OFFICE;137 N ELM STREET;CRESCO;IA;52136;5635479203
UNION COUNTY AUDITORS OFFICE;300 N PINE STREET;CRESTON;IA;50801;6417821701
HUMBOLDT COUNTY AUDITORS;203 MAIN STREET;DAKOTA CITY;IA;50529;5153321571
DAVENPORT MAIN POST OFFICE;933 W 2ND ST;DAVENPORT;IA;52802;5633230306
WINNESHIEK COUNTY RECORDERS OFFICE;201 WEST MAIN ST;DECORAH;IA;52101;5633823486
CRAWFORD COUNTY RECORDERS OFFICE;1202 BROADWAY;DENISON;IA;51442;7122633643
DES MOINES POST OFFICE;1165 SECOND AVE;DES MOINES;IA;50318;5152837585
POLK COUNTY RECORDERS OFFICE;111 COURT AVE;DES MOINES;IA;50309;5152863160
DUBUQUE COUNTY TREASURER;720 CENTRAL AVE;DUBUQUE;IA;52001;5635894450
DUBUQUE POST OFFICE;350 W. 6TH STREET;DUBUQUE;IA;52001;5635823818
DYERSVILLE POST OFFICE;315 3RD. AVE. SE;DYERSVILLE;IA;52040;5638758027
EARLHAM PUBLIC LIBRARY;120 S CHESTNUT AVE;EARLHAM;IA;50072;5157582121
HARDIN COUNTY AUDITORS OFFICE;1215 EDGINGTON AVE;ELDORA;IA;50627;6419398108
CLAYTON COUNTY AUDITORS OFFICE;111 HIGH ST. NE;ELKADER;IA;52043;5632451106
PALO ALTO COUNTY RECORDERS OFFICE;1010 BROADWAY;EMMETSBURG;IA;50536;7128523701
CITY OF EPWORTH CITY HALL;191 JACOBY DRIVE EAST;EPWORTH;IA;52045;5638763320
EMMET COUNTY RECORDERS OFFICE;609 1ST AVE N;ESTHERVILLE;IA;51334;7123624115
JEFFERSON COUNTY RECORDER - REGISTRAR;51 WEST BRIGGS AVE;FAIRFIELD;IA;52556;6414724331
WINNEBAGO COUNTY RECORDER;126 SOUTH CLARK ST.;FOREST CITY;IA;50436;6415852094
FORT DODGE MAIN POST OFFICE;3440 MAPLE DR;FORT DODGE;IA;50501;5155734130
FORT MADISON POST OFFICE;1019 AVENUE H;FORT MADISON;IA;52627;3193722032
LEE COUNTY AUDITOR;933 AVE H;FORT MADISON;IA;52627;3193723705
GRANGER POST OFFICE;1902 OAK ST;GRANGER;IA;50109;5159992910
ADAIR COUNTY AUDITORS OFFICE;400 PUBLIC SQUARE;GREENFIELD;IA;50849;6417432546
GRINNELL POST OFFICE;932 BROAD ST.;GRINNELL;IA;50112;6412365353
GRUNDY COUNTY AUDITOR;706 G AVE;GRUNDY CENTER;IA;50638;3198243122
GUTHRIE COUNTY PUBLIC HEALTH;2002 STATE ST;GUTHRIE CENTER;IA;50115;6417473972
FRANKLIN COUNTY RECORDERS OFFICE;12 FIRST AVE NW;HAMPTON;IA;50441;6414565675
SHELBY COUNTY ENVIRONMENTAL HEALTH;1411 INDUSTRIAL PARKWAY;HARLAN;IA;51537;7127552609
HAWARDEN POST OFFICE;900 CENTRAL AVENUE;HAWARDEN;IA;51023;7125512305
HILLS POST OFFICE;14 EAST AVE;HILLS;IA;52235;3196792201
HUMBOLDT POST OFFICE;601 SUMNER AVE.;HUMBOLDT;IA;50548;5153323506
CITY OF HUXLEY;515 NORTH MAIN AVE.;HUXLEY;IA;50124;5155972561
IDA COUNTY AUDITOR;401 MOOREHEAD ST;IDA GROVE;IA;51445;7123642626
BUCHANAN COUNTY AUDITOR;210 5TH AVENUE NE;INDEPENDENCE;IA;50644;3193344109
WARREN COUNTY RECORDER;301 N BUXTON;INDIANOLA;IA;50125;5159611089
IOWA CITY POST OFFICE;925 HIGHWAY 6E;IOWA CITY;IA;52240;3193541560
IOWA FALLS POST OFFICE;401 MAIN ST;IOWA FALLS;IA;50126;6416489492
GREENE COUNTY AUDITOR;114 NORTH CHESTNUT STREET;JEFFERSON;IA;50129;5153865680
JOHNSTON POST OFFICE;5874 MERLE HAY ROAD;JOHNSTON;IA;50131;5153340216
KEOKUK POST OFFICE;214 S. 2ND ST.;KEOKUK;IA;52632;3195249923
KEOSAUQUA POST OFFICE;807 2ND ST.;KEOSAUQUA;IA;52565;3192933298
MARION COUNTY RECORDERS OFFICE;214 E. MAIN ST.COURTHOUSE;KNOXVILLE;IA;50138;6418282211
PLYMOUTH COUNTY RECORDERS OFFICE;215 4TH AVENUE SE;LE MARS;IA;51031;7125464020
DECATUR COUNTY AUDITORS OFFICE;207 N MAIN STREET;LEON;IA;50144;6414464323
HARRISON COUNTY RECORDERS OFFICE;111 N 2ND AVE.;LOGAN;IA;51546;7126442545
DELAWARE COUNTY AUDITORS OFFICE;301 E MAIN STREET;MANCHESTER;IA;52057;5639274701
JACKSON COUNTY RECORDERS OFFICE;201 W PLATT ST;MAQUOKETA;IA;52060;5636522504
MAQUOKETA POST OFFICE;208 N. MAIN ST.;MAQUOKETA;IA;52060;5636524160
IOWA COUNTY RECORDER;901 COURT AVE;MARENGO;IA;52301;3196423622
MARSHALL COUNTY AUDITOR AND RECORDERS OFFICE;11 NORTH 1ST AVE;MARSHALLTOWN;IA;50158;6417546323
CERRO GORDO COUNTY TREASURER;220 N. WASHINGTON AVE;MASON CITY;IA;50401;6414213037
MASON CITY POST OFFICE;211 N. DELAWARE AVE.;MASON CITY;IA;50401;6414235231
