facilityName;streetAdress;city;state;zipCode;publicPhone
POWER COUNTY CLERKS OFFICE;543 BANNOCK AVE.;AMERICAN FALLS;ID;83211;2082267611
BUTTE COUNTY CLERK OF THE DISTRICT COURT;205 WEST GRAND AVE;ARCO;ID;83213;2085273021
BINGHAM COUNTY CLERKS OFFICE;501 N. MAPLE, #205;BLACKFOOT;ID;83221;2087823160
USPO - BLACKFOOT;165 W. PACIFIC ST.;BLACKFOOT;ID;83221;2087850333
BOISE STATE UNIVERSITY;2055 CESAR CHAVEZ LANE, #227;BOISE;ID;83725;2084262630
USPO - BOISE MAIN OFFICE;770 S. 13TH ST;BOISE;ID;83708;2084334351
BOUNDARY COUNTY CLERK;6452 KOOTENAI ST.;BONNERS FERRY;ID;83805;2082672242
CASSIA COUNTY RECORDER;1459 OVERLAND AVE, RM 105;BURLEY;ID;83318;2088785240
CANYON COUNTY CLERK;111 N. 11TH AVE, SUITE 330;CALDWELL;ID;83605;2084547555
VALLEY COUNTY CLERK RECORDER;219 NORTH MAIN ST.;CASCADE;ID;83611;2083827100
CUSTER COUNTY CLERK;801 E. MAIN AVE;CHALLIS;ID;83226;2088792360
KOOTENAI COUNTY RECORDER;451 N. GOVERNMENT WAY;COEUR D ALENE;ID;83814;2084461480
USPO - COEUR D ALENE;111 N. 7TH ST;COEUR D ALENE;ID;83814;2087653741
ADAMS COUNTY CLERK;201 INDUSTRIAL AVE.;COUNCIL;ID;83612;2082534561
TETON COUNTY CLERK;150 COURTHOUSE DR, #208;DRIGGS;ID;83422;2083548780
CLARK COUNTY RECORDER;224 W. MAIN;DUBOIS;ID;83423;2083745304
GEM COUNTY CLERKS OFFICE;415 E. MAIN STREET;EMMETT;ID;83617;2083654561
CAMAS COUNTY CLERK;501 SOLDIER RD.;FAIRFIELD;ID;83327;2087642242
GOODING COUNTY CLERK;624 MAIN ST.;GOODING;ID;83330;2089344841
IDAHO COUNTY RECORDER;320 W. MAIN ST, RM 5;GRANGEVILLE;ID;83530;2089832751
BLAINE COUNTY CLERK;206 1ST AVE S, STE 200;HAILEY;ID;83333;2087885505
USPO - HAILEY;820 S. MAIN ST.;HAILEY;ID;83333;2087882276
BOISE COUNTY AUDITOR AND RECORDER;420 MAIN ST.;IDAHO CITY;ID;83631;2083924431
