facilityName;streetAdress;city;state;zipCode;publicPhone
ADDISON POST OFFICE IL;175 S LINCOLN AVENUE;ADDISON;IL;60101;6303790860
ADDISON TOWNSHIP CLERK;401 N ADDISON ROAD;ADDISON;IL;60101;6305308161
ALGONQUIN POST OFFICE;801 W ALGONQUIN RD;ALGONQUIN;IL;60102;8476580012
WORTH TOWNSHIP CLERK;11601 S. PULASKI ROAD;ALSIP;IL;60803;7083712900
ALTON IL POST OFFICE;2350 HOMER ADAMS PARKWAY;ALTON;IL;62002;6184622501
ARLINGTON HEIGHTS POST OFFICE;909 W EUCLID AVENUE;ARLINGTON HEIGHTS;IL;60004;8472537806
ELK GROVE TOWNSHIP;2400 S ARLINGTON HEIGHTS ROAD;ARLINGTON HEIGHTS;IL;60005;8474370300
ASHKUM POST OFFICE;103 E MAIN STREET;ASHKUM;IL;60911;8156982412
ASTORIA POST OFFICE;214 W. BROADWAY;ASTORIA;IL;61501;3093292700
AURORA POST OFFICE;525 N BROADWAY;AURORA;IL;60505;6308448820
KANE COUNTY CLERK - AURORA OFFICE;5 E. DOWNER PLACE;AURORA;IL;60505;6302325964
BARRINGTON MAIN POST OFFICE;1515 S GROVE AVE;BARRINGTON;IL;60010;8473810510
CUBA TOWNSHIP;28000 W. CUBA ROAD;BARRINGTON;IL;60010;8473811924
HANOVER TOWNSHIP;250 S. ILLINOIS ROUTE 59;BARTLETT;IL;60103;6308370301
BATAVIA POST OFFICE;500 N  RANDALL ROAD;BATAVIA;IL;60510;6308791483
BEDFORD PARK RETAIL STORE IL;6801 W 73RD STREET;BEDFORD PARK;IL;60499;7085637854
BEECHER POST OFFICE IL;712 PENFIELD STREET;BEECHER;IL;60401;7089462550
BELLEVILLE POST OFFICE;120 W WASHINGTON STREET;BELLEVILLE;IL;62220;6182330390
BELLEVILLE PUBLIC LIBRARY;121 E. WASHINGTON;BELLEVILLE;IL;62220;6182340441
DUTCH HOLLOW POST OFFICE;5731 MOUNT PLEASANT LN.;BELLEVILLE;IL;62223;6183976616
BELVIDERE POST OFFICE;1800 DOC WOLF DRIVE;BELVIDERE;IL;61008;8155475457
BENSENVILLE COMMUNITY PUBLIC LIBRARY DISTRICT;200 S. CHURCH RD.;BENSENVILLE;IL;60106;6307664642
BENTON POST OFFICE;301 N DUQUOIN ST;BENTON;IL;62812;6184384931
BERWYN POST OFFICE;6625 W. CERMAK ROAD;BERWYN;IL;60402;7084845392
BETHALTO POST OFFICE;115 W CENTRAL STREET;BETHALTO;IL;62010;6183778714
BLOOMINGDALE POST OFFICE;108 W. SCHICK ROAD;BLOOMINGDALE;IL;60108;6305295287
BLOOMINGDALE TOWNSHIP;123 N  ROSEDALE ROAD  # 200;BLOOMINGDALE;IL;60108;6305297715
EAGLE STATION BLOOMINGTON POST OFFICE;1211 N TOWANDA AVENUE;BLOOMINGTON;IL;61701;3096644600
BLUE ISLAND POST OFFICE IL;2441 VERMONT STREET;BLUE ISLAND;IL;60406;7083850957
DUPAGE TOWNSHIP;241 CANTERBURY LN;BOILINGBROOK;IL;60440;6307591317
BOLINGBROOK POST OFFICE IL;105 CANTERBURY LANE;BOLINGBROOK;IL;60440;6307593811
BOURBONNAIS POST OFFICE;850 MAIN STREET NW;BOURBONNAIS;IL;60914;8159391531
BRADLEY POST OFFICE;258 W. BROADWAY ST;BRADLEY;IL;60915;8159324133
BRAIDWOOD POST OFFICE;280 W MAIN ST;BRAIDWOOD;IL;60408;8154583422
BREESE POST OFFICE;501 N 2ND STREET;BREESE;IL;62230;6185267912
MORAINE VALLEY FACILITY BRIDGEVIEW IL;7401 W 100TH PLACE;BRIDGEVIEW;IL;60455;7082335562
BROOKFIELD POST OFFICE IL;3731 PRAIRIE AVENUE;BROOKFIELD;IL;60513;7084850572
BUFFALO GROVE POST OFFICE IL;255 N BUFFALO GROVE ROAD;BUFFALO GROVE;IL;60089;8475200268
VERNON TOWNSHIP;3050 N MAIN STREET;BUFFALO GROVE;IL;60089;8476344600
STICKNEY TOWNSHIP IL;5635 STATE ROAD;BURBANK;IL;60459;7082378966
CALUMET CITY POST OFFICE IL;1200 RING ROAD;CALUMET CITY;IL;60409;7088626900
CARBONDALE POST OFFICE;1301 E MAIN STREET;CARBONDALE;IL;62901;6183515640
MACOUPIN COUNTY CIRCUIT COURT CLERK CARLINVILLE IL;201 E MAIN STREET;CARLINVILLE;IL;62626;2178543211
CAROL STREAM POST OFFICE;550 E FULLERTON AVENUE;CAROL STREAM;IL;60188;6302605665
CARY AREA PUBLIC LIBRARY;1606 THREE OAKS RD;CARY;IL;60013;8476394210
CASEYVILLE POST OFFICE IL;113 S LONG STREET;CASEYVILLE;IL;62232;6183444594
CENTRALIA POST OFFICE;314 S POPLAR STREET;CENTRALIA;IL;62801;6185326717
CHAMPAIGN POST OFFICE;2001 N MATTIS AVENUE;CHAMPAIGN;IL;61821;2173526022
CHANNAHON POST OFFICE IL;25150 W  CHANNAHON DRIVE;CHANNAHON;IL;60410;8154675488
CHARLESTON IL POST OFFICE;667 WINDSOR RD.;CHARLESTON;IL;61920;2173452900
COLES COUNTY TREASURERS OFFICE;651 JACKSON AVE.;CHARLESTON;IL;61920;2173480511
CHERRY VALLEY PUBLIC LIBRARY DISTRICT;755 E. STATE ST;CHERRY VALLEY;IL;61016;8153325161
CHESTER POST OFFICE;1321 SWANWICK STREET;CHESTER;IL;62233;6188262233
AMOCO;200 E RANDOLPH STREET;CHICAGO;IL;60601;3128610473
AUBURN PARK STATION;8345 S. ASHLAND AVENUE;CHICAGO;IL;60620;7732395088
CARDISS COLLINS POSTAL STORE;433 W HARRISON STREET;CHICAGO;IL;60699;3129838330
CESAR E CHAVEZ PILSEN POST OFFICE;1859 S  ASHLAND AVENUE;CHICAGO;IL;60608;3124885641
CHICAGO LAWN STATION;6037 S. KEDZIE STREET;CHICAGO;IL;60629;7739251210
CHINATOWN FINANCE STATION PO;2345 S WENTWORTH AVENUE;CHICAGO;IL;60616;3123266440
CLEARING POST OFFICE;5645 S ARCHER;CHICAGO;IL;60638;7737671917
COOK CO IL CIRCUIT COURT CLERK;PROBATE DIVISION - ROOM 1202;CHICAGO;IL;60602;3126036441
CRAGIN STATION POST OFFICE;5100 W GRAND AVENUE;CHICAGO;IL;60639;7732374116
DANIEL J DOFFYN STATION;3750 N  KEDZIE AVENUE;CHICAGO;IL;60618;7735396210
ELSDON STATION POST OFFICE;4922 S KEDZIE AVE;CHICAGO;IL;60632;7738631402
FORT DEARBORN STATION;540 N DEARBORN STREET;CHICAGO;IL;60610;3126443919
GRACELAND FINANCE STATION USPS;3024 N ASHLAND AVENUE;CHICAGO;IL;60657;7732480201
HENRY MCGEE POST OFFICE;4601 S. COTTAGE GROVE;CHICAGO;IL;60653;7739246658
IRVING PARK STATION POST OFFICE;3319 N  CICERO AVENUE;CHICAGO;IL;60641;7737253701
JAMES E WORSHAM PO;7715 S. COTTAGE GROVE;CHICAGO;IL;60619;7733470017
JEFFERSON PARK;5401 W LAWRENCE AVENUE;CHICAGO;IL;60630;7737361672
JOHN J BUCHANAN POST OFFICE;9308 S SOUTH CHICAGO AVENUE;CHICAGO;IL;60617;7732219578
LOOP STATION;211 S CLARK STREET;CHICAGO;IL;60604;3123853530
MORGAN PARK STATION;1805 W MONTEREY STREET;CHICAGO;IL;60643;7732600119
MOUNT GREENWOOD;3349 W 111TH STREET;CHICAGO;IL;60655;7732382849
NILES IL POST OFFICE;6977 W OAKTON STREET;CHICAGO;IL;60714;8479671989
NORTHTOWN STATION;3401 W DEVON AVENUE;CHICAGO;IL;60659;7735838640
NORWOOD PARK STATION;6300 N NORTHWEST HIGHWAY;CHICAGO;IL;60631;7736312204
RAVENSWOOD STATION POST OFFICE;2522 W.  LAWRENCE STREET;CHICAGO;IL;60625;7735618633
ROBERTO CLEMENTE POST OFFICE;2339 N  CALIFORNIA AVENUE;CHICAGO;IL;60647;7734891475
ROGER P MC AULIFFE USPO;6441 W IRVING PARK ROAD;CHICAGO;IL;60634;7737360714
ROGERS PARK;1723 W. DEVON AVE;CHICAGO;IL;60660;7737432650
STATION E;100 W RANDOLPH STREET;CHICAGO;IL;60601;3122632686
STOCKYARD STATION IL;4101 S HALSTED STREET;CHICAGO;IL;60609;7732470731
UPTOWN STATION POST OFFICE;4850 N. BROADWAY;CHICAGO;IL;60640;7735614846
CHICAGO HEIGHTS POST OFFICE IL;1333 WEST END AVENUE;CHICAGO HEIGHTS;IL;60411;7087542277
CHICAGO RIDGE POST OFFICE;10525 S RIDGELAND AVENUE;CHICAGO RIDGE;IL;60415;7084233346
CHICAGO RIDGE VILLAGE CLERKS OFFICE;10455 S. RIDGELAND AVENUE;CHICAGO RIDGE;IL;60415;7084257700
CICERO POST OFFICE;2440 S  LARAMIE AVENUE;CICERO;IL;60804;7086526880
TOWN OF CICERO;4949 W. CERMAK RD.;CICERO;IL;60804;7086563600
CLARENDON HILLS POST OFFICE IL;312 PARK  AVENUE;CLARENDON HILLS;IL;60514;6303230309
CLINTON IL MAIN POST OFFICE;105 N. QUINCY;CLINTON;IL;61727;2179355584
COAL CITY POST OFFICE IL;495 S BROADWAY;COAL CITY;IL;60416;8156344501
COAL CITY PUBLIC LIBRARY;85 N. GARFIELD ST.;COAL CITY;IL;60416;8156344552
COLLINSVILLE POST OFFICE;1610 EASTPORT PLAZA DRIVE;COLLINSVILLE;IL;62234;6183443820
COLUMBIA POST OFFICE IL;800 COLUMBIA CENTER;COLUMBIA;IL;62236;6182815300
WHITE OAK LIBRARY DISTRICT: CREST HILL BRANCH;20670 KUBINSKI DR;CREST HILL;IL;60403;8155524270
CRETE POST OFFICE IL;515 CASS STREET;CRETE;IL;60417;7086728571
CRYSTAL LAKE POST OFFICE IL;301 E CONGRESS PARKWAY;CRYSTAL LAKE;IL;60014;8154598084
CRYSTAL LAKE PUBLIC LIBRARY;126 W. PADDOCK ST.;CRYSTAL LAKE;IL;60014;8154591687
DANVILLE POST OFFICE;303 N HAZEL ST.;DANVILLE;IL;61832;2174469440
INDIAN PRAIRIE PUBLIC LIBRARY;401 PLAINFIELD RD.;DARIEN;IL;60561;6308878760
DAVIS POST OFFICE;420 N. STANTON ST;DAVIS;IL;61019;8158655416
DECATUR MEMORIAL STATION;1601 E MOUND STREET;DECATUR;IL;62526;2178774361
DEERFIELD POST OFFICE IL;707 OSTERMAN AVENUE;DEERFIELD;IL;60015;8479450293
WEST DEERFIELD TOWNSHIP;601 DEERFIELD ROAD;DEERFIELD;IL;60015;8479450614
DEKALB POST OFFICE;600 E LINCOLN HIGHWAY;DEKALB;IL;60115;8157586677
DES PLAINES POST OFFICE;1000 E  OAKTON STREET;DES PLAINES;IL;60018;8478275592
DIXON POST OFFICE;405 W 2ND STREET;DIXON;IL;61021;8152845015
DOLTON POST OFFICE;14212 COTTAGE GROVE AVENUE;DOLTON;IL;60419;7088492780
DOWNERS GROVE POST OFFICE;920 CURTISS STREET;DOWNERS GROVE;IL;60515;6309692001
DOWNERS GROVE TOWNSHIP;4340 PRINCE STREET;DOWNERS GROVE;IL;60515;6307196600
DOWNS POST OFFICE;403 S SEMINARY STREET;DOWNS;IL;61736;3093784431
DU QUOIN POST OFFICE;304 E MAIN STREET;DUQUOIN;IL;62832;6185423933
