facilityName;streetAdress;city;state;zipCode;publicPhone
ANDERSON POST OFFICE;1505 RAIBLE AVE.;ANDERSON;IN;46011;7656436363
ANGOLA;110 W.HARCOURT RD.;ANGOLA;IN;46703;2606652019
STEUBEN COUNTY CLERK;55 S PUBLIC SQUARE;ANGOLA;IN;46703;2606681000
AUBURN POST OFFICE;201 S. JACKSON ST.;AUBURN;IN;46706;2609254760
DEKALB COUNTY CLERKS OFFICE;100 S. MAIN ST.;AUBURN;IN;46706;2609250912
BEDFORD POST OFFICE;1720  H. ST.;BEDFORD;IN;47421;8122794083
BERNE POST OFFICE;215 W. MAIN ST.;BERNE;IN;46711;2605892159
BLOOMFIELD POST OFFICE;55 N. WASHINGTON ST.;BLOOMFIELD;IN;47424;8123848195
BLOOMINGTON MAIN POST OFFICE;520 S. WALNUT ST;BLOOMINGTON;IN;47401;8123347013
INDIANA UNIVERSITY OFFICE OF INTERNATIONAL SERVICES;400 EAST 7TH STREET;BLOOMINGTON;IN;47405;8128559086
BLUFFTON POST OFFICE;205 S. MAIN ST.;BLUFFTON;IN;46714;2608240310
BRAZIL POST OFFICE;227 W. NATIONAL AVE.;BRAZIL;IN;47834;8124481293
BROWNSBURG POST OFFICE;411 E. NORTHFIELD DRIVE;BROWNSBURG;IN;46112;3178523943
BROWNSTOWN POST OFFICE;201 S. SUGAR ST.;BROWNSTOWN;IN;47220;8123583703
JACKSON SUPERIOR CLERKS OFFICE;109 S. SUGAR ST SUITE 130;BROWNSTOWN;IN;47274;8125229676
CARMEL POST OFFICE;275 MEDICAL DRIVE;CARMEL;IN;46032;3178462489
CHARLESTOWN POST OFFICE;361 MAIN CROSS STREET;CHARLESTOWN;IN;47111;8122562124
CLINTON POST OFFICE;405 VINE ST.;CLINTON;IN;47842;7658323441
COLUMBIA CITY POST OFFICE;115 N. CHAUNCEY ST.;COLUMBIA CITY;IN;46725;2602445962
COLUMBUS MAIN POST OFFICE;450 JACKSON STREET;COLUMBUS;IN;47201;8123783521
CONNERSVILLE POST OFFICE;801 N. CENTRAL AVE.;CONNERSVILLE;IN;47331;7658251671
HARRISON COUNTY CLERKS OFFICE;300 N. CAPITOL AVE;CORYDON;IN;47112;8127384289
FOUNTAIN COUNTY CLERKS OFFICE;301 4TH STREET;COVINGTON;IN;47932;7657936230
CRANE MAIN POST OFFICE;100 BLANDY STREET;CRANE;IN;47522;8128547856
MONTGOMERY COUNTY CLERK;100 E. MAIN ST., ROOM 203;CRAWFORDSVILLE;IN;47933;7653646430
CROWN POINT POST OFFICE;128 S. EAST ST.;CROWN POINT;IN;46307;2196631510
DECATUR POST OFFICE;213 COURT ST.;DECATUR;IN;46733;2607243205
DELPHI POST OFFICE;201 W. FRANKLIN ST.;DELPHI;IN;46923;7655642315
DEMOTTE POST OFFICE;825 S.HALLECK ST.;DEMOTTE;IN;46310;2199873293
DYER POST OFFICE;2225 GREAT LAKES DRIVE;DYER;IN;46311;2198651267
EAST CHICAGO POST OFFICE;901 EAST CHICAGO AVE.;EAST CHICAGO;IN;46312;2193972415
ELKHART IN POST OFFICE;601 S. MAIN ST.;ELKHART;IN;46515;5742935502
EVANSVILLE MAIN POST OFFICE;800 SYCAMORE ST.;EVANSVILLE;IN;47708;8124293411
EVANSVILLE VANDERBURGH PUBLIC LIBRARY;200 SE MARTIN LUTHER KING JR., BLVD.;EVANSVILLE;IN;47713;8124288396
FISHERS POST OFFICE;8500 E.116TH STREET;FISHERS;IN;46038;3179137902
FORT WAYNE MAIN POST OFFICE WINDOW;1501 S. CLINTON STREET;FORT WAYNE;IN;46802;2604277310
HAZELWOOD STATION;1800 HAZELWOOD AVE;FORT WAYNE;IN;46805;2604277305
CLERK OF BENTON CIRCUIT COURT;706 E. 5TH STREET;FOWLER;IN;47944;7658840930
FRANKFORT POST OFFICE;100 WASHINGTON AVE.;FRANKFORT;IN;46041;7656545553
FRANKLIN POST OFFICE;1265 N. MAIN ST.;FRANKLIN;IN;46131;3177366241
JOHNSON COUNTY CLERKS OFFICE;5 EAST JEFFERSON ST.;FRANKLIN;IN;46131;3173464450
GARY MAIN POST OFFICE;1499 MARTIN LUTHER KING DRIVE;GARY;IN;46401;2198868000
GAS CITY MAIN POST OFFICE;123 N. 2ND ST.;GAS CITY;IN;46933;7656741745
GOSHEN POST OFFICE;415 W. PIKE STREET;GOSHEN;IN;46526;5745333915
GRANGER POST OFFICE;12412 BITTERSWEET COMMONS E.;GRANGER;IN;46530;5742723737
GREENCASTLE POST OFFICE;8 E. WALNUT ST.;GREENCASTLE;IN;46135;7656535618
GREENFIELD POST OFFICE;207 N. STATE ST.;GREENFIELD;IN;46140;3174625569
DECATUR COUNTY CLERKS OFFICE;150 COURTHOUSE SQUARE;GREENSBURG;IN;47240;8126638223
GREENSBURG POST OFFICE;231 N. FRANKLIN ST.;GREENSBURG;IN;47240;8126638109
GREENWOOD POST OFFICE;407 W. SMITH VALLEY RD.;GREENWOOD;IN;46142;3174646043
GRIFFITH POST OFFICE;900 N. BROAD ST.;GRIFFITH;IN;46319;2198384140
HAMMOND FSTA;5530 SOHL AVE.;HAMMOND;IN;46320;2199322757
DUGGAN LIBRARY, HANOVER COLLEGE;121 SCENIC DRIVE;HANOVER;IN;47243;8128667165
HARTFORD CITY POST OFFICE;123 S.HIGH ST.;HARTFORD CITY;IN;47348;7653480520
HIGHLAND BRANCH POST OFFICE;8500 KENNEDY AVE.;HIGHLAND;IN;46322;2198381248
HOBART POST OFFICE;221 MAIN ST.;HOBART;IN;46342;2199422721
HUNTINGTON POST OFFICE;330 W. MARKET ST.;HUNTINGTON;IN;46750;2603560920
BACON STATION;2727 E. 55TH STREET;INDIANAPOLIS;IN;46220;3174646820
CASTLETON BRANCH;8710 BASH STREET;INDIANAPOLIS;IN;46256;3174646856
EAGLE CREEK POST OFFICE;6401 GATEWAY DRIVE;INDIANAPOLIS;IN;46254;3174646814
EAST GATE STATION;740 N. SHORTRIDGE;INDIANAPOLIS;IN;46219;3174646819
MAIN OFFICE WINDOW;125 W. SOUTH ST.;INDIANAPOLIS;IN;46206;3174646876
NORA BRANCH;1300 E. 86TH ST.;INDIANAPOLIS;IN;46240;3174646840
OAKLANDON POST OFFICE;12125 E. 65TH STREET;INDIANAPOLIS;IN;46236;3174646836
PARK FLETCHER BRANCH;2760 FORTUNE CIRCLE EAST DR.;INDIANAPOLIS;IN;46241;3174646841
SOUTHPORT POST OFFICE;1701 E. EDGEWOOD AVE.;INDIANAPOLIS;IN;46227;3174646827
JASPER POST OFFICE;206 E. 6TH STREET;JASPER;IN;47546;8126345050
KENDALLVILLE POST OFFICE;695 FAIR ST.;KENDALLVILLE;IN;46755;2603471152
KNOX POST OFFICE;205 W. WASHINGTON ST.;KNOX;IN;46534;5747723822
KOKOMO;2719 SOUTH WEBSTER STREET;KOKOMO;IN;46902;7654558390
LA PORTE POST OFFICE;1201 LINCOLNWAY;LA PORTE;IN;46350;2193629514
LAFAYETTE POST OFFICE;3450 SOUTH STREET;LAFAYETTE;IN;47905;7654489229
LAWRENCEBURG POST OFFICE;121 S. TANNERS CREEK RD.;LAWRENCEBURG;IN;47025;8125372626
LEBANON POST OFFICE;304 W. MAIN STREET;LEBANON;IN;46052;7654822630
LIBERTY POST OFFICE;29 E. UNION ST.;LIBERTY;IN;47353;7654585733
LOGANSPORT POST OFFICE;406 9TH ST.;LOGANSPORT;IN;46947;5747533535
MADISON POST OFFICE;207 JEFFERSON STREET;MADISON;IN;47250;8122655425
MARION POST OFFICE;202 W. 3RD STREET;MARION;IN;46952;7656688191
