facilityName;streetAdress;city;state;zipCode;publicPhone
WABAUNSEE COUNTY REGISTER OF DEEDS;215 KANSAS AVE;ALMA;KS;66401;7857653822
ANDOVER PUBLIC LIBRARY;1511 E CENTRAL AVE;ANDOVER;KS;67002;3165583500
ANTHONY POST OFFICE;121 W STEADMAN;ANTHONY;KS;67003;6208425239
ARKANSAS CITY POST OFFICE;210 E WASHINGTON AVE;ARKANSAS CITY;KS;67005;6204421080
ATCHISON POST OFFICE;621 KANSAS AVE;ATCHISON;KS;66002;9133676303
RAWLINS COUNTY CLERKS;607 MAIN ST;ATWOOD;KS;67730;7856263351
BELLEVILLE POST OFFICE;1119 18TH STREET;BELLEVILLE;KS;66935;7855272421
BELOIT POST OFFICE;201 E MAIN STREET;BELOIT;KS;67420;7857385151
COFFEY COUNTY REGISTER OF DEEDS;110 S 6TH STREET;BURLINGTON;KS;66839;6203642423
CHANUTE POST OFFICE;102 N LINCOLN AVE;CHANUTE;KS;66720;6204314070
GRAY COUNTY REGISTER OF DEEDS;300 S. MAIN ST;CIMARRON;KS;67835;6208553835
CLAY CENTER POST OFFICE;806 6TH STREET;CLAY CENTER;KS;67432;7856323755
COLBY POST OFFICE;535 N COURT AVE;COLBY;KS;67701;7854627904
COMANCHE COUNTY REGISTER OF DEEDS;201 SOUTH NEW YORK AVE;COLDWATER;KS;67029;6205822152
CHEROKEE COUNTY REGISTER OF DEEDS;110 W MAPLE;COLUMBUS;KS;66725;6204293777
COLUMBUS POST OFFICE;223 S PENNSYLVANIA AVE;COLUMBUS;KS;66725;6204292608
CONCORDIA POST OFFICE;622 WASHINGTON ST;CONCORDIA;KS;66901;7852432599
COUNCIL GROVE POST OFFICE;103 W MAIN ST;COUNCIL GROVE;KS;66846;6207676219
DERBY PUBLIC LIBRARY;1600 E WALNUT GROVE RD;DERBY;KS;67037;3167880760
DODGE CITY POST OFFICE;700 CENTRAL AVE;DODGE CITY;KS;67801;6202278618
EDGERTON POST OFFICE;328 E NELSON STREET;EDGERTON;KS;66021;9138936784
EL DORADO POST OFFICE;131 E CENTRAL AVE;EL DORADO;KS;67042;3163215950
MORTON COUNTY ECONOMIC DEVELOPMENT;400 E ORCHARD ST;ELKHART;KS;67950;6206972525
ELLSWORTH POST OFFICE;123 W  2ND ST;ELLSWORTH;KS;67439;7854724001
EMPORIA POST OFFICE;625 MERCHANT ST;EMPORIA;KS;66801;6203422372
LYON COUNTY REGISTER OF DEEDS;430 COMMERCIAL ST;EMPORIA;KS;66801;6203413240
EUREKA POST OFFICE;301 N OAK ST;EUREKA;KS;67045;6205835451
FORT SCOTT  POST OFFICE;120 S NATIONAL AVE;FORT SCOTT;KS;66701;6202231410
FREDONIA POST OFFICE;428 MADISON ST;FREDONIA;KS;66736;6203783721
GARDEN CITY POST OFFICE;410 N 6TH ST;GARDEN CITY;KS;67846;6202763432
GARNETT POST OFFICE;304 S OAK ST;GARNETT;KS;66032;7854483312
SHERMAN COUNTY DISTRICT COURT;813 BROADWAY;GOODLAND;KS;67735;7858904850
BARTON COUNTY REGISTER OF DEEDS;1400 MAIN STREET;GREAT BEND;KS;67530;6207931849
GREAT BEND MAIN POST OFFICE;2100 16TH ST;GREAT BEND;KS;67530;6207924381
KIOWA COUNTY REGISTER OF DEEDS;211 E FLORIDA ST;GREENSBURG;KS;67054;6207232441
ELLIS COUNTY CLERKS OFFICE;718 MAIN ST;HAYS;KS;67601;7856289410
HIAWATHA POST OFFICE;613 UTAH ST;HIAWATHA;KS;66434;7857422921
GRAHAM COUNTY DISTRICT COURT;410 N POMEROY AVE;HILL CITY;KS;67642;7854213458
HOWARD POST OFFICE;135 E RANDOLPH ST;HOWARD;KS;67349;6203742281
STEVENS COUNTY GIS;200 E 6TH ST;HUGOTON;KS;67951;6205442559
HUTCHINSON POST OFFICE;128 E 1ST AVE;HUTCHINSON;KS;67501;6206621295
INDEPENDENCE  POST OFFICE;116 E LAUREL ST;INDEPENDENCE;KS;67301;6203310320
IOLA PUBLIC LIBRARY;218 E. MADISON AVE;IOLA;KS;66749;6203653262
STANTON COUNTY DISTRICT COURT;201 N MAIN ST;JOHNSON;KS;67855;6204922180
JUNCTION CITY MAIN POST OFFICE;302 W 7TH STREET;JUNCTION CITY;KS;66441;7857622101
CIVIC CENTER POST OFFICE;550 NEBRASKA AVE;KANSAS CITY;KS;66101;9136210013
KINGMAN COUNTY REGISTER OF DEEDS;130 N SPRUCE ST;KINGMAN;KS;67068;6205323211
KINGMAN POST OFFICE;425 N MAIN STREET;KINGMAN;KS;67068;6205322321
KIOWA POST OFFICE;602 MAIN ST;KIOWA;KS;67070;6208254644
LAWRENCE MAIN  POST OFFICE;645 VERMONT ST;LAWRENCE;KS;66044;7858431681
UNIVERSITY OF KANSAS;1450 JAYHAWK BLVD;LAWRENCE;KS;66045;7858646161
LEAVENWORTH POST OFFICE;330 SHAWNEE ST;LEAVENWORTH;KS;66048;9136801648
WICHITA COUNTY REGISTER OF DEEDS;206 S 4TH ST;LEOTI;KS;67861;6203752733
SEWARD COUNTY REGISTER OF DEEDS;515 N WASHINGTON;LIBERAL;KS;67901;6206263223
LOUISBURG POST OFFICE;214 HARVEST DRIVE;LOUISBURG;KS;66053;9138372118
OSAGE COUNTY REGISTER OF DEEDS;717 TOPEKA AVE;LYNDON;KS;66451;7858284523
K- STATE STUDENT UNION;918 N 17TH ST;MANHATTAN;KS;66506;7855326591
MANHATTAN POST OFFICE;500 LEAVENWORTH ST;MANHATTAN;KS;66502;7855394450
MARYSVILLE POST OFFICE;109 S 9TH ST;MARYSVILLE;KS;66508;7855623236
MCPHERSON COUNTY KS REGISTER OF DEEDS;117 N MAPLE;MCPHERSON;KS;67460;6202415050
