facilityName;streetAdress;city;state;zipCode;publicPhone
ALEXANDRIA POST OFFICE;6933 ALEXANDRIA PIKE;ALEXANDRIA;KY;41001;8596352957
ASHLAND POST OFFICE;1140 CARTER AVE;ASHLAND;KY;41101;6063272117
BARBOURVILLE POST OFFICE;122 N ALLISON AVE;BARBOURVILLE;KY;40906;6065463777
BEAVER DAM CLERK OFFICE;309 W 2ND ST;BEAVER DAM;KY;42320;2702747106
BENTON POST OFFICE;219 W 5TH ST;BENTON;KY;42025;2705273933
BEREA POST OFFICE;222 GLADES RD;BEREA;KY;40403;8599863941
BOWLING GREEN POST OFFICE;5300 SCOTTSVILLE RD;BOWLING GREEN;KY;42104;2707964035
WKU PASSPORT SERVICES;1906 COLLEGE HEIGHTS BLVD. #11048;BOWLING GREEN;KY;42101;2707454658
MEADE COUNTY CLERKS OFFICE;516 HILLCREST DR;BRANDENBURG;KY;40108;2704222152
BROWNSVILLE POST OFFICE;535 S MAIN STREET;BROWNSVILLE;KY;42210;2705972121
CALHOUN POST OFFICE;310 W 2ND ST;CALHOUN;KY;42327;2702733729
CAMPBELLSVILLE POST OFFICE;1410 E BROADWAY;CAMPBELLSVILLE;KY;42718;2704654251
CAMPTON POST OFFICE;175 MOUNTAIN PARKWAY SPUR;CAMPTON;KY;41301;6066686395
CARROLL COUNTY PUBLIC LIBRARY;136 COURT ST;CARROLLTON;KY;41008;5027327020
BOYD COUNTY CLERKS OFFICE;2800 LOUISA STREET;CATLETTSBURG;KY;41129;6067395116
COLUMBIA KY POST OFFICE;800 BURKESVILLE STREET;COLUMBIA;KY;42728;2703843206
CORBIN POST OFFICE;301 ROY KIDD AVE;CORBIN;KY;40701;6065283912
COVINGTON POST OFFICE;700 SCOTT ST;COVINGTON;KY;41011;8592610809
CYNTHIANA POST OFFICE;108 LADISH RD;CYNTHIANA;KY;41031;8592344632
DANVILLE POST OFFICE;200 E MAIN ST;DANVILLE;KY;40422;8592366334
ELIZABETHTOWN POST OFFICE;2934 DOLPHIN DR;ELIZABETHTOWN;KY;42701;2707657230
HARDIN COUNTY CLERKS OFFICE;150 N PROVIDENT WAY, STE 103;ELIZABETHTOWN;KY;42701;2707652171
EMINENCE KY  POST OFFICE;4827 N MAIN STREET;EMINENCE;KY;40019;5028454124
CITY OF ERLANGER KY;505 COMMONWEALTH AVENUE;ERLANGER;KY;41018;8597272525
FALMOUTH POST OFFICE;201 W SHELBY ST;FALMOUTH;KY;41040;8596541431
FLEMINGSBURG POST OFFICE;131 E WATER ST;FLEMINGSBURG;KY;41041;6068457601
FLORENCE POST OFFICE;7101 TURFWAY ROAD;FLORENCE;KY;41042;8596475484
FORT CAMPBELL POST OFFICE;91 MICHIGAN AVE;FORT CAMPBELL;KY;42223;2704394114
FORT KNOX MAIN POST OFFICE;120 N KNOX ST.;FORT KNOX;KY;40121;5029421244
FRANKFORT POST OFFICE;1210 WILKINSON BLVD;FRANKFORT;KY;40601;5022233447
FRANKLIN COUNTY CLERKS OFFICE;315 W MAIN ST;FRANKFORT;KY;40601;5028758702
SIMPSON COUNTY CLERKS OFFICE;103 W. CEDAR ST;FRANKLIN;KY;42134;2705868161
GEORGETOWN POST OFFICE;101 N BRADFORD LANE;GEORGETOWN;KY;40324;5028633875
SCOTT COUNTY CLERK;101 E MAIN ST;GEORGETOWN;KY;40324;5028637875
BARREN COUNTY CLERKS OFFICE;117 NORTH PUBLIC SPUARE, STE 1A;GLASGOW;KY;42141;2706513783
GLASGOW POST OFFICE;445 W MAIN ST;GLASGOW;KY;42141;2706518758
GOSHEN POST OFFICE;12340 W HWY 42;GOSHEN;KY;40026;5022280966
GRAYSON POST OFFICE;390 S CAROL MALONE BLVD;GRAYSON;KY;41143;6064746366
GREENSBURG POST OFFICE;45 TUNNELL LANE;GREENSBURG;KY;42743;2709325371
MUHLENBERG COUNTY CLERK;100 S MAIN ST;GREENVILLE;KY;42345;2703381441
HARDINSBURG POST OFFICE;234 S MAIN ST;HARDINSBURG;KY;40143;2707562119
HARLAN POST OFFICE;111 N 1ST ST;HARLAN;KY;40831;6065732800
HARRODSBURG POST OFFICE;105 NORTH MAIN ST;HARRODSBURG;KY;40330;8597342568
HARTFORD POST OFFICE;1101 S MAIN ST;HARTFORD;KY;42347;2702983550
HAZARD MPO;201 BLACK GOLD BLVD;HAZARD;KY;41701;6064363188
HENDERSON COUNTY PUBLIC LIBRARY;101 S MAIN ST;HENDERSON;KY;42420;2708263712
CHRISTIAN COUNTY CLERK;511 S MAIN ST;HOPKINSVILLE;KY;42240;2708874107
HOPKINSVILLE POST OFFICE;105 S MAIN STREET;HOPKINSVILLE;KY;42240;2708865250
HOPKINSVILLE-CHRISTIAN COUNTY PUBLIC LIBRARY;1101 BETHEL STREET;HOPKINSVILLE;KY;42240;2708874262
CITY OF INDEPENDENCE;5409 MADISON PIKE;INDEPENDENCE;KY;41051;8593565302
IRVINE POST OFFICE;230 MAIN STREET;IRVINE;KY;40336;6067234246
LAGRANGE POST OFFICE;108 W CRYSTAL DR;LAGRANGE;KY;40031;5022229625
OLDHAM COUNTY CLERKS OFFICE;100 WEST JEFFERSON STREET SUITE #1;LAGRANGE;KY;40031;5022229311
ANDERSON COUNTY CLERKS OFFICE;100 S MAIN ST;LAWRENCEBURG;KY;40342;5028393041
