facilityName;streetAdress;city;state;zipCode;publicPhone
VERMILION PARISH CLERK OF COURT;100 N STATE ST SUITE 101;ABBEVILLE;LA;70510;3378981992
ALEXANDRIA MAIN POST OFFICE;1715 ODOM STREET;ALEXANDRIA;LA;71301;3184844602
TANGIPAHOA PARISH CLERK OF COURT;110 N BAY ST STE 100;AMITE;LA;70422;9857484146
MOREHOUSE PARISH CLERK OF COURT;100 E MADISON AVE;BASTROP;LA;71220;3182813343
BATON ROUGE GENERAL MAIL FACILITY;8101 BLUEBONNET BLVD;BATON ROUGE;LA;70826;2257633696
BATON ROUGE MAIN POST OFFICE;750 FLORIDA ST;BATON ROUGE;LA;70801;2253810325
EAST BATON ROUGE PARISH CLERK OF COURT;222 ST LOUIS STREET;BATON ROUGE;LA;70802;2253893950
EAST BATON ROUGE PARISH CLERK OF COURTS OFFICE;9050 AIRLINE HWY;BATON ROUGE;LA;70815;2252932933
LSU OLINDE CAREER CENTER;158 LSU STUDENT UNION;BATON ROUGE;LA;70803;2255782162
WOODLAWN STATION;4700 MILLWOOD DRIVE;BATON ROUGE;LA;70817;2257524251
PLAQUEMINES PARISH CLERK OF COURT;301 MAIN STREET;BELLE CHASSE;LA;70037;5042975197
BOGALUSA POST OFFICE;305 AVENUE B;BOGALUSA;LA;70427;9857351356
BOSSIER CITY POST OFFICE;150 BENTON RD;BOSSIER CITY;LA;71111;3187467926
BOURG POST OFFICE;3806 COUNTRY DRIVE;BOURG;LA;70343;9859170496
BOUTTE POST OFFICE;13322 HWY 90;BOUTTE;LA;70039;9852407031
CHALMETTE POST OFFICE;3340 PARIS RD;CHALMETTE;LA;70043;5042713140
COLFAX POST OFFICE;707 8TH STREET;COLFAX;LA;71417;3186275300
CALDWELL PARISH CLERK OF COURTS;201 MAIN STREET SUITE 1;COLUMBIA;LA;71418;3186492272
RED RIVER PARISH CLERK OF COURT OFFICE;615 EAST CARROLL ST;COUSHATTA;LA;71019;3189326741
COVINGTON MAIN POST OFFICE;1775 N COLUMBIA ST;COVINGTON;LA;70433;9853176450
ST TAMMANY PARISH CLERK OF COURT;701 N COLUMBIA STREET;COVINGTON;LA;70433;9858098710
ACADIA PARISH CLERK OF COURT;500 NE COURT CIRCLE;CROWLEY;LA;70526;3377888881
LAFOURCHE PARISH CLERK OF COURT;16241 E MAIN STREET;CUT OFF;LA;70345;9856328111
DENHAM SPRINGS POST OFFICE;140 DEL ORLEANS AVE;DENHAM SPRINGS;LA;70726;2257915421
DERIDDER POST OFFICE;116 EAST 4TH STREET;DERIDDER;LA;70634;3374628852
DESTREHAN POST OFFICE;13 PLANTATION ROAD;DESTREHAN;LA;70047;9856033074
ASCENSION PARISH CLERK OF COURT;300 HOUMAS STREET;DONALDSONVILLE;LA;70346;2254739866
ST JOHN THE BAPTIST CLERK OF COURT;2393 HWY 18;EDGARD;LA;70049;9854973331
FERRIDAY POST OFFICE;999 FIRST STREET;FERRIDAY;LA;71334;3187576761
ST MARY PARISH CLERK OF COURT;500 MAIN STREET 2ND FL;FRANKLIN;LA;70538;3378284100
WASHINGTON PARISH CLERK OF COURT;WASHINGTON AND MAIN ST;FRANKLINTON;LA;70438;9858394663
GALLIANO MAIN POST OFFICE;17599 HIGHWAY 3235;GALLIANO;LA;70354;9853252652
GOLDEN MEADOW POST OFFICE;300 S ALEX PLAISANCE BLVD;GOLDEN MEADOW;LA;70357;9854754909
ASCENSION PARISH CLERK OF COURT - GONZALES;815 E WORTHEY ST;GONZALES;LA;70737;2256218400
GRAMBLING POST OFFICE;324 MAIN ST;GRAMBLING;LA;71245;3182471036
GRAMERCY POST OFFICE;417 E MAIN ST;GRAMERCY;LA;70052;2258690741
GRAY POST OFFICE;4442 W MAIN STREET;GRAY;LA;70359;9858767424
GREENWELL SPRINGS POST OFFICE;22801 GREENWELL SPRINGS RD.;GREENWELL SPRINGS;LA;70739;2252614985
GRETNA MAIN POST OFFICE;406 GRETNA BLVD;GRETNA;LA;70053;5042497621
JEFFERSON PARISH CLERK OF COURT (WESTBANK);200 DERBIGNY ST;GRETNA;LA;70053;5043642923
HAMMOND POST OFFICE;105 NORTHWEST RAILROAD AVE;HAMMOND;LA;70401;9853456019
TANGIPAHOA PARISH CLERK OF COURT;318-A NW RAILROAD AVE;HAMMOND;LA;70401;9855491638
TERREBONNE PARISH CLERK OF COURT;417 GOODE STREET;HOUMA;LA;70360;9858687113
JACKSON POST OFFICE;3016 BANK ST;JACKSON;LA;70748;2256347052
JEFFERSON PARISH CLERK OF COURT;1221 ELMWOOD PARK BLVD;JEFFERSON;LA;70123;5047366390
LASALLE PARISH CLERK OF COURT;1050 COURTHOUSE ST;JENA;LA;71342;3189920681
JEFFERSON DAVIS PARISH CLERK OF COURT;300 STATE ST SUITE 106;JENNINGS;LA;70546;3378241160
JACKSON PARISH CLERK OF COURT;500 EAST COURT ST;JONESBORO;LA;71251;3182592424
KENTWOOD POST OFFICE;601 AVENUE E;KENTWOOD;LA;70444;9852292977
LAFAYETTE PARISH CLERK OF COURT;800 S BUCHANAN ST;LAFAYETTE;LA;70501;3372916400
LAFAYETTE POST OFFICE;1105 MOSS ST;LAFAYETTE;LA;70501;3372697112
CALCASIEU PARISH CLERK OF COURT;1000 RYAN ST;LAKE CHARLES;LA;70601;3374373550
EASTSIDE STATION;950 MAIN STREET;LAKE CHARLES;LA;70615;3374337689
LEESVILLE POST OFFICE;303 S 3RD STREET;LEESVILLE;LA;71446;3372392617
LOCKPORT POST OFFICE;706 CRESCENT AVENUE;LOCKPORT;LA;70374;9855328924
MANDEVILLE POST OFFICE;1 SAINT  ANN DR;MANDEVILLE;LA;70471;9856267271
DE SOTO PARISH CLERK OF COURT;101 TEXAS STREET;MANSFIELD;LA;71052;3188723110
MARKSVILLE MAIN POST OFFICE;226 WEST CAPPEL ST;MARKSVILLE;LA;71351;3182535439
METAIRIE MAIN POST OFFICE;3301 17TH ST;METAIRIE;LA;70002;5048286058
MINDEN POST OFFICE;111 SOUTH MONROE ST;MINDEN;LA;71055;3183771765
MONROE MAIN POST OFFICE;501 STERLINGTON RD.;MONROE;LA;71203;3185706007
MORGAN CITY POST OFFICE;1112 BRASHEAR AVE;MORGAN CITY;LA;70380;9853840276
ASSUMPTION PARISH CLERK OF COURT;4809 HWY1;NAPOLEONVILLE;LA;70390;9853696653
NATCHITOCHES PARISH CLERK OF COURT;200 CHURCH STREET RM 104;NATCHITOCHES;LA;71457;3183528152
IBERIA PARISH CLERK OF COURT;300 IBERIA STREET 1ST FLOOR;NEW IBERIA;LA;70560;3373657282
CARROLLTON STATION POST OFFICE;3400 S CARROLLTON AVE;NEW ORLEANS;LA;70118;5044850758
NEW ORLEANS MAIN POST OFFICE;701 LOYOLA AVE;NEW ORLEANS;LA;70113;5045891325
ROY RONDENO POST OFFICE;2000 LOUISIANA AVE;NEW ORLEANS;LA;70115;5048910350
STATION A POST OFFICE NEW ORLEANS LA;3901 MACARTHUR BLVD;NEW ORLEANS;LA;70114;5043624217
NEW ROADS POST OFFICE;148 NEW ROADS ST;NEW ROADS;LA;70760;2256388990
OAKDALE POST OFFICE;240 E 6TH AVENUE;OAKDALE;LA;71463;3183350587
ST LANDRY PARISH CLERK OF COURT;118 S COURT STREET SUITE 206;OPELOUSAS;LA;70570;3379425606
PATTERSON POST OFFICE;600 CATHERINE ST;PATTERSON;LA;70392;9853953382
PINEVILLE POST OFFICE;410 PINEGROVE DRIVE;PINEVILLE;LA;71360;3184426367
IBERVILLE PARISH CLERK OF COURT;58050 MERIAM ST;PLAQUEMINE;LA;70764;2256875160
PLAQUEMINE POST OFFICE;58015 CANAL ST;PLAQUEMINE;LA;70764;2256850858
PONCHATOULA POST OFFICE;275 N 5TH ST;PONCHATOULA;LA;70454;9853866557
WEST BATON ROUGE PARISH CLERK OF COURT;850 EIGHTH ST;PORT ALLEN;LA;70767;2253830378
PRAIRIEVILLE POST OFFICE;15655 AIRLINE HWY;PRAIRIEVILLE;LA;70769;2256738100
RACELAND POST OFFICE;109 RACELAND ST;RACELAND;LA;70394;9855378957
SCOTT POST OFFICE;5926 CAMERON ST.;SCOTT;LA;70583;3372371589
SHREVEPORT MAIN POST OFFICE;2400 TEXAS AVENUE;SHREVEPORT;LA;71102;3186772288
SLIDELL MAIN POST OFFICE;1950 SECOND ST;SLIDELL;LA;70458;9856418430
SPRINGHILL POST OFFICE;501 N GILES STREET;SPRINGHILL;LA;71075;3185393207
