facilityName;streetAdress;city;state;zipCode;publicPhone
USPS ABERDEEN POST OFFICE;30 WEST BELAIR AVENUE;ABERDEEN;MD;21001;4102978778
USPS ABINGDON POST OFFICE;2945 EMMORTON ROAD;ABINGDON;MD;21009;4105694421
USPS ACCIDENT POST OFFICE;103 SOUTH STREET;ACCIDENT;MD;21520;3017468420
PRINCE GEORGES COUNTY MEMORIAL LIBRARY-ACCOKEEK BRANCH;15773 LIVINGSTON RD.;ACCOKEEK;MD;20607;3012922880
USPS ACCOKEEK POST OFFICE;16405 LIVINGSTON RD;ACCOKEEK;MD;20607;3012832861
ANNE ARUNDEL COUNTY CIRCUIT COURT;8 CHURCH CIRCLE;ANNAPOLIS;MD;21401;4102221434
USPS ANNAPOLIS  - US NAVAL ACADEMY POST OFFICE;1  WILSON ROAD;ANNAPOLIS;MD;21402;4102933787
USPS ANNAPOLIS JUNCTION POST OFFICE;10820 GUILFORD RD;ANNAPOLIS JUNCTION;MD;20701;3017252512
ABERDEEN PROVING GROUND POST OFFICE;4510 BOOTHBY HILL AVE;APG;MD;21005;4102787967
USPS ARNOLD POST OFFICE;1521 RITCHIE HIGHWAY;ARNOLD;MD;21012;4107570692
USPS ASHTON POST OFFICE;19 OLNEY SANDY SPRING RD;ASHTON;MD;20861;3017740100
BCPL - ARBUTUS BRANCH;855 SULPHUR SPRING RD.;BALTIMORE;MD;21227;4108871451
ENOCH PRATT FREE LIBRARY;400 CATHEDRAL STREET;BALTIMORE;MD;21201;4103965325
USPS ARLINGTON STATION POST OFFICE;3500 DOLFIELD AVENUE;BALTIMORE;MD;21215;4103675458
USPS BALTIMORE MAIN POST OFFICE;900 E FAYETTE STREET  RM 118;BALTIMORE;MD;21233;4103474202
USPS BROOKLYN CURTIS BAY POST OFFICE;10 16TH AVENUE;BALTIMORE;MD;21225;4103540821
USPS CLIFTON EAST END POST OFFICE;4200 SHANNON DRIVE;BALTIMORE;MD;21213;4104882870
USPS DRUID STATION POST OFFICE;1826 PENNSYLVANIA AVENUE;BALTIMORE;MD;21217;4105233479
USPS DUNDALK POST OFFICE;44 SHIPPING PLACE;BALTIMORE;MD;21222;4102842061
USPS ESSEX POST OFFICE;444 MARYLAND AVENUE;BALTIMORE;MD;21221;4106870326
USPS GOVANS POST OFFICE;4904 YORK ROAD;BALTIMORE;MD;21212;4103232355
USPS GWYNN OAK BRANCH;6101 LIBERTY ROAD;BALTIMORE;MD;21207;4109442435
USPS HALETHORPE POST OFFICE;6 WAELCHLI AVENUE;BALTIMORE;MD;21227;4103474275
USPS HAMPDEN STATION;919 WEST 34TH STREET;BALTIMORE;MD;21211;2022687900
USPS HIGHLANDTOWN POST OFFICE;6221 EASTERN AVEUE;BALTIMORE;MD;21224;4106331305
USPS MT WASHINGTON STATION;5730 COTTONWORTH AVENUE;BALTIMORE;MD;21209;2022687900
USPS NORTHWOOD STATION POST OFFICE;1800 E NORTHWOOD PARKWAY;BALTIMORE;MD;21239;4103238896
USPS NOTTINGHAM BRANCH;4990 MERCANTILE ROAD;BALTIMORE;MD;21236;4109314305
USPS RASPEBURG STATION;6502 BELAIR ROAD;BALTIMORE;MD;21206;2022687900
USPS ROSEDALE POST OFFICE;7000 GOLDEN RING ROAD;BALTIMORE;MD;21237;4103474275
USPS SOUTH STATION POST OFFICE;146 WEST OSTEND STREET;BALTIMORE;MD;21230;4103474275
USPS WAVERLY STATION POST OFFICE;3000 HOMEWOOD AVENUE;BALTIMORE;MD;21218;4108898951
USPS WINDSOR MILL POST OFFICE;2513 N ROLLING ROAD;BALTIMORE;MD;21244;4103474275
BEL AIR POST OFFICE;202 BLUM COURT;BEL AIR;MD;21014;4104207544
HARFORD COUNTY PUBLIC LIBRARY;100 E PENNSYLVANIA AVE;BEL AIR;MD;21014;4106383151
USPS BELTSVILLE POST OFFICE;10901 RHODE ISLAND AVENUE;BELTSVILLE;MD;20705;3019373356
USPS OCEAN PINES BRANCH OFFICE;11115 LAKE VIEW LANE;BERLIN;MD;21811;4102083959
USPS WEST LAKE STATION POST OFFICE;10421 MOTOR CITY DRIVE;BETHESDA;MD;20817;3017671742
BLADENSBURG POST OFFICE;4921 TILDEN RD;BLADENSBURG;MD;20710;3018645985
USPS BOWIE MITCHELLVILLE POST OFFICE;1500 POINTER RIDGE DRIVE;BOWIE;MD;20716;3012492512
USPS BOWIE POST OFFICE;6710  LAUREL-BOWIE ROAD;BOWIE;MD;20715;3014640094
BRADDOCK HEIGHTS POST OFFICE;4707 SCHLEY AVE;BRADDOCK HEIGHTS;MD;21714;3013715998
USPS BROOKEVILLE POST OFFICE;22311 GEORGIA AVENUE;BROOKEVILLE;MD;20833;3015703056
USPS BRUNSWICK POST OFFICE;315 BRUNSWICK STREET;BRUNSWICK;MD;21716;3018349944
USPS BRYANS ROAD;6960 INDIAN HEAD HWY;BRYANS ROAD;MD;20616;3012836460
USPS BRYANTOWN MAIN POST OFFICE;6425 LEONARDTOWN RD;BRYANTOWN;MD;20617;3012743731
USPS BURTONSVILLE POST OFFICE;15210 DINO DRIVE;BURTONSVILLE;MD;20866;3014769371
USPS CALLAWAY POST OFFICE;20293 PINEY POINT RD.;CALLAWAY;MD;20620;3019941183
USPS CAMBRIDGE POST OFFICE;301 HIGH STREET;CAMBRIDGE;MD;21613;4102281484
USPS HAMPTON PARK FINANCE UNIT;9301 EDGEWORTH DRIVE;CAPITOL HEIGHTS;MD;20791;3014997304
USPS CATONSVILLE FINANCE POST OFFICE;1001 FREDERICK ROAD;CATONSVILLE;MD;21228;4103474275
QUEEN ANNES COUNTY CIRCUIT COURT;220 N COMMERCE ST;CENTREVILLE;MD;21617;4107581773
USPS CENTREVILLE POST OFFICE;202 EAST WATER STREET;CENTREVILLE;MD;21617;4107580640
CHASE POST OFFICE;12404 EASTERN AVE;CHASE;MD;21027;4103356283
USPS CHESAPEAKE CITY POST OFFICE;2551 AUGUSTINE HERMAN HIGHWAY;CHESAPEAKE CITY;MD;21915;4108852110
CHESTER POST OFFICE;1575 POSTAL RD;CHESTER;MD;21619;4106436488
USPS CHESTERTOWN POST OFFICE;104 SPRING AVENUE;CHESTERTOWN;MD;21620;4107780690
USPS BETHESDA POST OFFICE;6900 WISCONSIN AVENUE;CHEVY CHASE;MD;20815;3019412670
USPS CLARKSBURG POST OFFICE;22505 GATEWAY CENTER DRIVE;CLARKSBURG;MD;20871;3015400856
USPS CLEAR SPRING POST OFFICE;21 MULBERRY ST.;CLEAR SPRING;MD;21722;3018422381
USPS CLINTON POST OFFICE;9134 PISCATAWAY ROAD;CLINTON;MD;20735;8772758777
USPS COCKEYSVILLE POST OFFICE;115 WIGHT AVENUE;COCKEYSVILLE;MD;21030;4107710783
USPS COLORA POST OFFICE;2167 LIBERTY GROVE RD.;COLORA;MD;21917;4106585743
HCLS - EAST COLUMBIA BRANCH LIBRARY;6600 CRADLEROCK WAY;COLUMBIA;MD;21045;4103137700
USPS COLUMBIA MAIN POST OFFICE;6801 OAK HALL LANE;COLUMBIA;MD;21045;4103814373
HCLS GLENWOOD BRANCH LIBRARY;2350 STATE ROUTE 97;COOKSVILLE;MD;21723;4103135577
USPS CRISFIELD POST OFFICE;400 W MAIN STREET;CRISFIELD;MD;21817;4109681550
ALLEGANY COUNTY CIRCUIT COURT;30 WASHINGTON STREET;CUMBERLAND;MD;21502;3017775922
USPS CUMBERLAND POST OFFICE;215 PARK STREET;CUMBERLAND;MD;21502;3017228190
USPS DAMASCUS POST OFFICE;26400 WOODFIELD ROAD;DAMASCUS;MD;20872;3014140163
USPS DAVIDSONVILLE POST OFFICE;820 WEST CENTRAL AVENUE;DAVIDSONVILLE;MD;21035;4109568352
USPS DEALE POST OFFICE;650 DEALE RD.;DEALE;MD;20751;4108676135
USPS DENTON POST OFFICE;503 MARKET STREET;DENTON;MD;21629;4104792363
USPS DUNKIRK POST OFFICE;10383 SOUTHERN MARYLAND BOULEVARD;DUNKIRK;MD;20754;3018555384
USPS EASTON POST OFFICE;116 E. DOVER STREET;EASTON;MD;21601;4108220491
USPS EASTPORT STATION POST OFFICE;821 CHESAPEAKE AVENUE;EASTPORT;MD;21403;4102677051
USPS EDGEWATER POST OFFICE;39 STEPNEY LANE;EDGEWATER;MD;21037;4109562088
USPS EDGEWOOD POST OFFICE;2290 HANSON ROAD;EDGEWOOD;MD;21040;4106769378
ELDERSBURG BRANCH LIBRARY;6400 W. HEMLOCK DRIVE;ELDERSBURG;MD;21784;4103864460
USPS ELKRIDGE POST OFFICE;6655 SANTA BARBARA ROAD;ELKRIDGE;MD;21075;4107968093
USPS ELKTON POST OFFICE;137 WEST MAIN STREET;ELKTON;MD;21921;4103984040
USPS ELLICOTT CITY POST OFFICE;3375 ELLICOTT CENTER DRIVE;ELLICOT CITY;MD;21043;4107501340
USPS FALLSTON POST OFFICE;2416 WATERVALE ROAD;FALLSTON;MD;21047;4108772846
USPS FOREST HILL MAIN POST OFFICE;2329 ROCKSPRING ROAD;FOREST HILL;MD;21050;4108380820
USPS FORESTVILLE BRANCH POST OFFICE;6514 MARLBORO PIKE;FORESTVILLE;MD;20747;3015168536
USPS FORT WASHINGTON POST OFFICE;11550 LIVINGSTON ROAD;FORT WASHINGTON;MD;20744;3012924201
FCPL-C. BURR ARTZ PUBLIC LIBRARY;110 E. PATRICK ST.;FREDERICK;MD;21701;3016003769
USPS FREDERICK POST OFFICE;201 E PATRICK STREET;FREDERICK;MD;21701;3016248019
USPS FRIENDSVILLE POST OFFICE;836 FIRST AVENUE;FRIENDSVILLE;MD;21531;3017465985
USPS FRUITLAND POST OFFICE;201 E MAIN STREET;FRUITLAND;MD;21826;4107496677
USPS FT MEADE POST OFFICE;2789 MACARTHUR ROAD;FT MEADE;MD;20755;3016217071
USPS FULTON POST OFFICE;11831 SCAGGSVILLE ROAD;FULTON;MD;20759;3016043425
USPS FUNKSTOWN POST OFFICE;29 FREDERICK ROAD;FUNKSTOWN;MD;21734;3017977331
CITY OF GAITHERSBURG;31 SOUTH SUMMIT AVENUE;GAITHERSBURG;MD;20877;3012586330
USPS DIAMOND FARMS POST OFFICE;23 FIRSTFIELD ROAD;GAITHERSBURG;MD;20878;3012083735
USPS GAITHERSBURG POST OFFICE;21 SOUTH SUMMIT AVENUE;GAITHERSBURG;MD;20877;3012083703
USPS MONTGOMERY VILLAGE POST OFFICE;10079 STEDWICK ROAD;GAITHERSBURG;MD;20879;3012083718
USPS GAMBRILLS POST OFFICE;388 GAMBRILLS ROAD;GAMBRILLS;MD;21054;4109231554
USPS GERMANTOWN POST OFFICE;12774 WISTERIA DRIVE;GERMANTOWN;MD;20874;3014280039
USPS GLEN ARM POST OFFICE;12112 LONG GREEN PIKE;GLEN ARM;MD;21057;4105929658
USPS GLEN BURNIE POST OFFICE;7596 RITCHIE HWY;GLEN BURNIE;MD;21061;4107668882
GLENELG POST OFFICE;3900 TEN OAKS ROAD;GLENELG;MD;21737;4105315016
GLYNDON POST OFFICE;2 RAILROAD AVENUE;GLYNDON;MD;21071;4105173184
USPS GRASONVILLE POST OFFICE;4307  MAIN ST;GRASONVILLE;MD;21638;4108277322
PGCML-GREENBELT BRANCH;11 CRESCENT RD;GREENBELT;MD;20770;3013455800
USPS GREENBELT POST OFFICE;7600 ORA GLEN DR;GREENBELT;MD;20770;3013451722
USPS GREENSBORO MAIN POST OFFICE;202 W. SUNSET  AVENUE;GREENSBORO;MD;21639;4104828366
USPS HAGERSTOWN POST OFFICE;44 WEST FRANKLIN STREET;HAGERSTOWN;MD;21740;3017978101
WASHINGTON COUNTY LIBRARY-FLETCHER BRANCH;100 SOUTH POTOMAC ST.;HAGERSTOWN;MD;21740;3017393250
NORTH CARROLL BRANCH LIBRARY;2255 HANOVER PIKE;HAMPSTEAD;MD;21074;4103864480
USPS HAMPSTEAD POST OFFICE;4005 HOUCK AVENUE;HAMPSTEAD;MD;21074;4103743035
USPS HARWOOD POST OFFICE;4450 SOLOMONS ISLAND RD.;HARWOOD;MD;20776;4108673800
