facilityName;streetAdress;city;state;zipCode;publicPhone
YORK COUNTY PROBATE COURT;45 KENNEBUNK ROAD;ALFRED;ME;04002;2073241577
ANDROSCOGGIN COUNTY PROBATE COURT;2 TURNER STREET;AUBURN;ME;04210;2077532500
CENTRAL MAINE COMMUNITY COLLEGE;1250 TURNER ST;AUBURN;ME;04210;2077555294
AUGUSTA POST OFFICE;40 WESTERN AVE;AUGUSTA;ME;04330;2076226114
BANGOR POST OFFICE;73 HAMMOND  STREET;BANGOR;ME;04401;2079900520
SAGADAHOC COUNTY PROBATE COURT;752 HIGH STREET;BATH;ME;04530;2074438218
WALDO COUNTY PROBATE COURT;103 CHURCH STREET;BELFAST;ME;04915;2073382780
BETHEL POST OFFICE;82 MAIN ST;BETHEL;ME;04217;2078242668
BIDDEFORD POST OFFICE;100 ALFRED STREET;BIDDEFORD;ME;04005;2072838565
BOOTHBAY POST OFFICE;13 COREY LANE;BOOTHBAY;ME;04537;2076337536
BOOTHBAY HARBOR POST OFFICE;15 OAK ST;BOOTHBAY HARBOR;ME;04538;2076333090
BOWDOINHAM POST OFFICE;49 POND ROAD;BOWDOINHAM;ME;04008;2076663465
BREWER POST OFFICE;22 PARKWAY SOUTH;BREWER;ME;04412;2079893855
BREWER PUBLIC LIBRARY;100 SOUTH MAIN STREET;BREWER;ME;04412;2079897943
BRIDGTON POST OFFICE;6 ELM ST;BRIDGTON;ME;04009;2076472081
BRUNSWICK POST OFFICE;30 PLEASANT ST;BRUNSWICK;ME;04011;2077252542
TOWN OF BRUNSWICK - TAX OFFICE;85 UNION ST.;BRUNSWICK;ME;04011;2077256657
CALAIS POST OFFICE;76 NORTH STREET;CALAIS;ME;04619;2074541140
CANAAN POST OFFICE;273 MAIN STREET;CANAAN;ME;04924;2074743349
CARIBOU POST OFFICE;41 SWEDEN STREET;CARIBOU;ME;04736;2074920080
CASTINE POST OFFICE;43 MAIN ST;CASTINE;ME;04421;2073268551
PRINCE MEMORIAL LIBRARY;266 MAIN ST.;CUMBERLAND;ME;04021;2074644493
DANFORTH POST OFFICE;33 SPRINGFIELD ROAD;DANFORTH;ME;04424;2074482958
DOVER - FOXCROFT POST OFFICE;41 NORTH ST;DOVER-FOXCROFT;ME;04426;2075642511
ELLSWORTH POST OFFICE;199 MAIN STREET;ELLSWORTH;ME;04605;2076675340
HANCOCK COUNTY REGISTRY OF DEEDS;50 STATE STREET;ELLSWORTH;ME;04605;2076678353
FRANKLIN COUNTY PROBATE COURT;140 MAIN STREET;FARMINGTON;ME;04938;2077785888
FORT KENT POST OFFICE;152 WEST MAIN ST;FORT KENT;ME;04743;2078343313
FRENCHVILLE POST OFFICE;386 U.S. ROUTE 1;FRENCHVILLE;ME;04745;2075437444
