facilityName;streetAdress;city;state;zipCode;publicPhone
ADA POST OFFICE;7125 HEADLEY ST;ADA;MI;49301;6166761088
ADRIAN POST OFFICE;413 E MAUMEE STREET;ADRIAN;MI;49221;5172633795
ALBION POST OFFICE;307 N. SUPERIOR STREET;ALBION;MI;49224;5176292598
ALLEGAN COUNTY REGISTER OF DEEDS;113 CHESTNUT ST;ALLEGAN;MI;49010;2696730390
ALMA POST OFFICE;233 N STATE;ALMA;MI;48801;9894638311
ALMONT POST OFFICE;116 N. MAIN STREET;ALMONT;MI;48003;8107988839
ALPENA COUNTY MICHIGAN REGISTER OF DEEDS;720 W CHISHOLM STREET;ALPENA;MI;49707;9893549547
ALPENA POST OFFICE;350 N. 2ND AVENUE;ALPENA;MI;49707;9893563873
ANN ARBOR MAIN PO;2075 W STADIUM BLVD;ANN ARBOR;MI;48103;7346620223
GREEN ROAD POST OFFICE;3000 GREEN ROAD;ANN ARBOR;MI;48105;7346622005
LIBERTY STATION POST OFFICE;200 E. LIBERTY ST;ANN ARBOR;MI;48104;7346622009
WASHTENAW COUNTY CLERK;200 N MAIN STREET;ANN ARBOR;MI;48104;7342226730
ATHENS POST OFFICE;115 N. CAPITAL AVENUE;ATHENS;MI;49011;2697295370
MONTMORENCY COUNTY REGISTER OF DEEDS;12265 M-32 WEST;ATLANTA;MI;49709;9897858079
BAD AXE POST OFFICE;133 NORTH HANSELMAN STREET;BAD AXE;MI;48413;9892697251
BARK RIVER POST OFFICE;1316 OLD HIGHWAY 2/41;BARK RIVER;MI;49807;9064669942
BARODA POST OFFICE;1368 SOUTH STREET;BARODA;MI;49101;2694221888
BARRYTON POST OFFICE;151 E NORTHERN AVENUE;BARRYTON;MI;49305;9893825520
BATTLE CREEK POST OFFICE;90 S MCCAMLY STREET;BATTLE CREEK;MI;49016;2699653286
BAY CITY POST OFFICE;1000 WASHINGTON AVENUE;BAY CITY;MI;48708;9898955555
CITY OF BAY CITY, MI;301 WASHINGTON AVENUE;BAY CITY;MI;48708;9898948168
BELDING POST OFFICE;201 E. MAIN STREET;BELDING;MI;48809;6167940230
ANTRIM COUNTY TREASURER;203 E. CAYUGA ST.;BELLAIRE;MI;49615;2315336720
BELMONT POST OFFICE;6220 BELMONT AVE;BELMONT;MI;49306;6163611120
PLAINFIELD CHARTER TOWNSHIP;6161 BELMONT AVENUE NE;BELMONT;MI;49306;6163648466
BENTON HARBOR POST OFFICE;525 RIVERVIEW DR;BENTON HARBOR;MI;49022;2699268227
BERRIEN SPRINGS POST OFFICE;115 N MAIN ST;BERRIEN SPRINGS;MI;49103;2694733031
GOGEBIC COUNTY REGISTER OF DEEDS OFFICE;200 N MOORE STREET;BESSEMER;MI;49911;9066670381
BENZIE COUNTY REGISTER OF DEEDS;448 COURT PLACE;BEULAH;MI;49617;2318820016
