facilityName;streetAdress;city;state;zipCode;publicPhone
NORMAN COUNTY AUDITOR - TREASURER;16 E. THIRD AVE;ADA;MN;56510;2187845471
AITKIN COUNTY TREASURER;307 2ND ST. NW ROOM 119;AITKIN;MN;56431;2189277325
USPO - ALBERT LEA;141 S NEWTON AVE;ALBERT LEA;MN;56007;5073733167
DOUGLAS COUNTY RECORDER;305 - 8TH AVE. W.;ALEXANDRIA;MN;56308;3207623877
USPO - ALEXANDRIA;519 ELM ST;ALEXANDRIA;MN;56308;3207633432
USPO - ANNANDALE;83 OAK AVE N;ANNANDALE;MN;55302;3202743600
USPO - ANOKA;2168 7TH AVE N;ANOKA;MN;55303;7634211115
DAKOTA COUNTY - WESTERN CENTER;14955 GALAXIE AVE. W.;APPLE VALLEY;MN;55124;9528917570
USPO -  ATWATER;107 3RD ST N;ATWATER;MN;56209;3209748676
MOWER COUNTY RECORDER;201 1ST ST NE;AUSTIN;MN;55912;5074379493
CLEARWATER COUNTY AUDITORS OFFICE;213 MAIN AVE N;BAGLEY;MN;56621;2186946520
LAKE OF THE WOODS COUNTY RECORDER;206 8TH AVE SE;BAUDETTE;MN;56623;2186341902
BELTRAMI COUNTY LICENSE CENTER;701 MINNESOTA AVE NW, SUITE 100;BEMIDJI;MN;56601;2183334138
USPO - BEMIDJI;401 IRVINE AVE NW;BEMIDJI;MN;56601;2187511059
SWIFT COUNTY LAND RECORDS;301 14TH STREET NORTH;BENSON;MN;56215;3208433377
ANOKA COUNTY BLAINE PASSPORT FACILITY;10995 CLUB WEST PARKWAY NE;BLAINE;MN;55449;7633242140
CITY OF BLOOMINGTON;1800 W OLD SHAKOPEE RD.;BLOOMINGTON;MN;55431;9525638700
FARIBAULT COUNTY;415 N. MAIN STREET;BLUE EARTH;MN;56013;5075266252
USPO - BRAINERD;422 LAUREL ST;BRAINERD;MN;56401;2188293101
USPO - BROOKLYN PARK;5001 EDINBROOK TERRACE;BROOKLYN PARK;MN;55443;7633910753
WRIGHT COUNTY AUDITOR - TREASURER;10 2ND ST NW;BUFFALO;MN;55313;7636827584
USPO - BURNSVILLE;13800 NICOLLET BOULEVARD W;BURNSVILLE;MN;55337;9528902274
HOUSTON COUNTY TREASURER;304 S MARSHALL;CALEDONIA;MN;55921; 
ISANTI COUNTY AUDITOR;555 18TH AVE. SW;CAMBRIDGE;MN;55008;7636891644
USPO - CARVER;317 BROADWAY ST;CARVER;MN;55315;9524486363
USPO - CHAMPLIN;12299 CHAMPLIN DR;CHAMPLIN;MN;55316;7634272370
CARVER COUNTY SERVICE CENTER;7808 KERBER BLVD.;CHANHASSEN;MN;55317;9523613900
CARVER COUNTY GOVERNMENT CENTER;600 E 4TH ST;CHASKA;MN;55318;9523611910
USPO - CIRCLE PINES;300 CIVIC HEIGHTS DR.;CIRCLE PINES;MN;55014;7637170595
USPO - CLOQUET;316 CLOQUET AVE.;CLOQUET;MN;55720;2188799442
USPO - COKATO;190 3RD ST. SE;COKATO;MN;55321;3202862815
ANOKA COUNTY COON RAPIDS PASSPORT FACILITY;455 99TH AVE NW;COON RAPIDS;MN;55433;7633242140
WASHINGTON COUNTY SERVICE CENTER - COTTAGE GROVE;13000 RAVINE PKWY S;COTTAGE GROVE;MN;55016;6514304065
BECKER COUNTY RECORDER;915 LAKE AVE;DETROIT LAKES;MN;56501;2188467304
USPO - DETROIT LAKES;250 STATE ST. W.;DETROIT LAKES;MN;56501;2188476230
INTERNATIONAL PROGRAM AND SERVICES, U OF MN DULUTH;138 KIRBY PLAZA;DULUTH;MN;55812;2187268764
ST LOUIS COUNTY AUDITOR;1600 MILLER TRUNK HIGHWAY;DULUTH;MN;55811;2182792520
USPO - DULUTH;2800 W MICHIGAN ST.;DULUTH;MN;55806;2187232526
USPO - NORMANDALE;5108 W 74TH ST;EDINA;MN;55439;9528351150
GRANT COUNTY RECORDER;10 - 2ND ST. NE;ELBOW LAKE;MN;56531;2186858255
SHERBURNE COUNTY RECORDER;13880 BUSINESS CENTER DRIVE;ELK RIVER;MN;55330;7637654420
CITY OF ELY - CLERKS OFFICE;209 E CHAPMAN ST;ELY;MN;55731;2182265449
MARTIN COUNTY RECORDER;201 LAKE AVENUE, SUITE 203;FAIRMONT;MN;56031;5072383213
RICE COUNTY RECORDER;320 NW 3RD ST;FARIBAULT;MN;55021;5073326114
OTTER TAIL COUNTY TREASURER;570 FIR AVE W;FERGUS FALLS;MN;56537;2189988295
USPO - FINLAYSON;2217 FINLAND AVENUE;FINLAYSON;MN;55735;3202336581
USPO - FOREST LAKE;78 6TH AVE. SW;FOREST LAKE;MN;55025;6514641353
WASHINGTON COUNTY SERVICE CENTER;19955 FOREST ROAD NORTH;FOREST LAKE;MN;55025;6512757200
SIBLEY COUNTY RECORDER;400 COURT AVENUE;GAYLORD;MN;55334;5072374080
MCLEOD COUNTY RECORDER;2389 HENNEPIN AVE N;GLENCOE;MN;55336;3208641327
POPE COUNTY AUDITOR - TREASURER;130 MINNESOTA AVE E;GLENWOOD;MN;56334;3206347706
COOK COUNTY AUDITOR;411 W 2ND ST;GRAND MARAIS;MN;55604;2183873640
GRAND RAPIDS AREA LIBRARY;140 NE 2ND ST;GRAND RAPIDS;MN;55744;2183267640
UNIVERSITY OF MN EXTENSION OFFICE - KITTSON COUNTY;410 FIFTH STREET;HALLOCK;MN;56728;2188433674
USPO - HAMEL;105 HAMEL RD.;HAMEL;MN;55340;7634786741
DAKOTA COUNTY ADMINISTRATION CENTER;1590 HIGHWAY 55;HASTINGS;MN;55033;6514384576
USPO - HASTINGS;300 2ND ST. E.;HASTINGS;MN;55033;6514371663
USPS - HOPKINS;910 1ST STREET SOUTH;HOPKINS;MN;55343;9522382242
USPO - HOYT LAKES;281 KENNEDY MEMORIAL DRIVE;HOYT LAKES;MN;55750;2182252091
KOOCHICHING COUNTY RECORDER;715 4TH ST.;INTERNATIONAL FALLS;MN;56649;2182831193
LINCOLN COUNTY RECORDER;319 N REBECCA ST;IVANHOE;MN;56142;5076941019
JACKSON COUNTY AUDITOR - TREASURER;405 4TH STREET;JACKSON;MN;56143;5078472763
USPO - JORDAN;214 2ND ST. E;JORDAN;MN;55352;9524922114
LE SUEUR COUNTY;88 S PARK AVENUE;LE CENTER;MN;56057;5073572251
