facilityName;streetAdress;city;state;zipCode;publicPhone
ALBANY POST OFFICE;101 E CLAY ST;ALBANY;MO;64402;6607263113
ARNOLD BRANCH - JEFFERSON CO LIBRARY;1701 MISSOURI STATE RD;ARNOLD;MO;63010;6362965171
ARNOLD POST OFFICE;1314 JEFFCO BLVD;ARNOLD;MO;63010;6362961936
ASH GROVE POST OFFICE;102 N TOWER ST;ASH GROVE;MO;65604;4176722350
AURORA POST OFFICE;102 EAST OLIVE STREET;AURORA;MO;65605;4176782370
BALLWIN POST OFFICE;15455 MANCHESTER RD;BALLWIN;MO;63011;6362275783
JEFFERSON COUNTY LIBRARY, WINDSOR BRANCH;7479 METROPOLITAN BLVD;BARNHART;MO;63012;6364611914
CLERK OF CIRCUIT COURT SCOTT COUNTY;131 S WINCHESTER ST;BENTON;MO;63736;5735453596
CLERK OF COURT HARRISON COUNTY;1500 MAIN STREET;BETHANY;MO;64424;6604256425
BLUE SPRINGS POST OFFICE;500 SW SOUTH AVE;BLUE SPRINGS;MO;64014;8162200820
POLK COUNTY RECORDER;102 EAST BROADWAY RM #8;BOLIVAR;MO;65613;4173264924
COOPER COUNTY CLERK OF CIRCUIT COURT;200 MAIN STREET ROOM 31;BOONVILLE;MO;65233;6608822232
BOURBON POST OFFICE;218 E PINE ST;BOURBON;MO;65441;5737324600
CLERK OF CIRCUIT COURT PIKE COUNTY;115 W MAIN;BOWLING GREEN;MO;63334;5733245582
BROOKFIELD POST OFFICE;201 WEST BOSTON STREET;BROOKFIELD;MO;64628;6602587044
DALLAS COUNTY RECORDER;108 SOUTH MAPLE ROOM 10;BUFFALO;MO;65622;4173452242
CLERK OF CIRCUIT COURT BATES COUNTY;1 N DELAWARE;BUTLER;MO;64730;6606795171
CAMDEN COUNTY COMMISSION;1 COURT CIRCLE SUITE #1;CAMDENTON;MO;65020;5733173850
CAMERON POST OFFICE;112 E GRAND;CAMERON;MO;64429;8166323071
CAPE GIRARDEAU MAIN POST OFFICE;320 N FREDERICK ST;CAPE GIRARDEAU;MO;63701;5733353137
CAPE GIRARDEAU PUBLIC LIBRARY;711 NO CLARK STREET;CAPE GIRARDEAU;MO;63701;5733345279
CARROLLTON POST OFFICE;101 NORTH FOLGER ST;CARROLLTON;MO;64633;6605422777
JASPER COUNTY RECORDER OF DEEDS;116 W 2ND ST;CARTHAGE;MO;64836;4173580431
PEMISCOT COUNTY CLERK OF COURT;610 WARD AVENUE;CARUTHERSVILLE;MO;63830;5733330182
CASSVILLE POST OFFICE;800 WEST ST;CASSVILLE;MO;65625;4178472890
REYNOLDS COUNTY RECORDERS OFFICE;2319 GREEN ST;CENTERVILLE;MO;63633;5736482494
CENTRALIA PUBLIC LIBRARY;210 SOUTH JEFFERSON ST;CENTRALIA;MO;65240;5736822036
MISSISSIPPI COUNTY RECORDER OF DEEDS OFFICE;200 N MAIN ST;CHARLESTON;MO;63834;5736832146
CHESTERFIELD POST OFFICE;16105 SWINGLEY RIDGE RD;CHESTERFIELD;MO;63017;6365325999
CHILLICOTHE POST OFFICE;401 S WASHINGTON STREET;CHILLICOTHE;MO;64601;6606461133
HENRY COUNTY LIBRARY;123 E GREEN ST;CLINTON;MO;64735;6608852612
COLUMBIA MO POST OFFICE;511 E WALNUT;COLUMBIA;MO;65201;5738767800
COLUMBIA PUBLIC LIBRARY;100 W. BROADWAY;COLUMBIA;MO;65203;5734433161
MU INTERNATIONAL CENTER;518 HITT STREET N52 MEMORIAL UNION;COLUMBIA;MO;65211;5738826007
COTTLEVILLE POST OFFICE;5323 HIGHWAY NORTH;COTTLEVILLE;MO;63338;6364476537
DESOTO PUBLIC LIBRARY;712 SOUTH MAIN ST;DESOTO;MO;63020;6365863858
DEXTER POST OFFICE;202 E STODDARD ST;DEXTER;MO;63841;5736243684
CLERK OF CIRCUIT COURT SHANNON COUNTY;18529 S  MAIN ST;EMINENCE;MO;65466;5732263315
ST FRANCOIS COUNTY CIRCUIT CLERK;1 N WASHINGTON;FARMINGTON;MO;63640;5737564551
CLERK OF COURT HOWARD COUNTY;1 COURTHOUSE SQUARE;FAYETTE;MO;65248;6602482194
