facilityName;streetAdress;city;state;zipCode;publicPhone
MONROE COUNTY CHANCERY CLERK OF COURT;201 W COMMERCE ST;ABERDEEN;MS;39730;6623698143
CHOCTAW COUNTY CHANCERY CLERK OFFICE;22 E. QUINN STREET;ACKERMAN;MS;39735;6622856329
BATESVILLE POST OFFICE;375 LAKEWOOD DR;BATESVILLE;MS;38606;6625634001
JASPER COUNTY CIRCUIT CLERK;27 WEST 8TH AVE;BAY SPRINGS;MS;39422;6017642245
BAY ST LOUIS MAIN POST OFFICE;1200 HWY 90;BAY ST LOUIS;MS;39520;2284677720
HANCOCK COUNTY CHANCERY CLERK;854 HWY 90 STE B;BAY ST LOUIS;MS;39520;2284675404
BILOXI MAIN POST OFFICE;135 MAIN ST;BILOXI;MS;39530;2283746386
HARRISON COUNTY CHANCERY CLERK;730 DR MARTIN LUTHER KING JR BLVD;BILOXI;MS;39530;2284358220
PRENTISS COUNTY CHANCERY CLERKS OFFICE;100 NORTH MAIN ST.;BOONEVILLE;MS;38829;6627288151
BRANDON MAIN POST OFFICE;1252 W GOVERNMENT ST;BRANDON;MS;39042;6018250564
BRANDON RESERVOIR POST OFFICE;610 GRANTS FERRY RD;BRANDON;MS;39047;6019926874
RANKIN COUNTY CHANCERY CLERKS OFFICE;211 EAST GOVERNMENT ST;BRANDON;MS;39042;6018251469
CLERK OF CIRCUIT COURT LINCOLN COUNTY;301 SOUTH FIRST ST;BROOKHAVEN;MS;39601;6018353435
MADISON COUNTY CHANCERY CLERK;146 W CENTER ST;CANTON;MS;39046;6018555609
CLERK OF CHANCERY COURT COAHOMA COUNTY;115 FIRST ST;CLARKSDALE;MS;38614;6626243000
CLEVELAND POST OFFICE;210 S CHRISMAN AVE;CLEVELAND;MS;38732;6628434031
COLLINS MAIN POST OFFICE;304 S DOGWOOD AVE;COLLINS;MS;39428;6017654281
COLUMBIA POST OFFICE;815 MAIN ST;COLUMBIA;MS;39429;6017364653
CLERK OF CHANCERY COURT LOWNDES COUNTY;515 2ND AVE N;COLUMBUS;MS;39703;6623295800
COLUMBUS MAIN POST OFFICE;3202 BLUECUTT ROAD;COLUMBUS;MS;39705;6622450247
CLERK OF CIRCUIT COURT ALCORN COUNTY;600 E WALDRON ST;CORINTH;MS;38834;6622867740
CORINTH MAIN POST OFFICE;500 N MADISON ST;CORINTH;MS;38834;6622871411
NEWTON COUNTY CHANCERY CLERK;92 WEST BROAD ST;DECATUR;MS;39327;6016352367
CLERK OF CIRCUIT COURT JONES COUNTY 1ST JUDICIAL;110 COURT ST SUITE B;ELLISVILLE;MS;39437;6014778538
CLERK OF CIRCUIT COURT JEFFERSON COUNTY;1483 MAIN ST;FAYETTE;MS;39069;6017863422
SCOTT COUNTY COURTHOUSE;100 MAIN STREET;FOREST;MS;39074;6014691922
FULTON POST OFFICE;103 E MAIN ST;FULTON;MS;38843;6628624437
GREENVILLE MAIN POST OFFICE;305 MAIN ST;GREENVILLE;MS;38701;6623354523
CLERK OF CHANCERY COURT LEFLORE COUNTY;310 W MARKET ST;GREENWOOD;MS;38930;6624536203
GREENWOOD MAIN POST OFFICE;200 E WASHINGTON ST;GREENWOOD;MS;38930;6624533242
GRENADA POST OFFICE;2500 GATEWAY ST;GRENADA;MS;38901;6622265515
GULFPORT POST OFFICE;11110 HWY 49;GULFPORT;MS;39503;2288315470
HARRISON COUNTY CHANCERY CLERK;1801 23RD AVE;GULFPORT;MS;39501;2288654036
HATTIESBURG GENERAL MAIL FACILITY;220 S 40TH AVE;HATTIESBURG;MS;39402;6012717010
COPIAH COUNTY CIRCUIT CLERK;100 CALDWELL DR;HAZLEHURST;MS;39083;6018941241
DESOTO COUNTY CHANCERY COURT CLERK;2535 HWY 51 SOUTH;HERNANDO;MS;38632;6624698006
HERNANDO POST OFFICE;12 W COMMERCE ST;HERNANDO;MS;38632;6624292481
CLERK OF CIRCUIT COURT MARSHALL COUNTY;128 E VAN DORN AVE;HOLLY SPRINGS;MS;38635;6622523434
CLERK OF COURT SUNFLOWER COUNTY;200 MAIN STREET;INDIANOLA;MS;38751;6628871252
ITTA BENA POST OFFICE;100 DEWEY ST;ITTA BENA;MS;38941;6622549112
