facilityName;streetAdress;city;state;zipCode;publicPhone
ALBEMARLE POST OFFICE;320 S 2ND STREET;ALBEMARLE;NC;28001;7049824108
ANGIER POST OFFICE;31 W DUPREE ST;ANGIER;NC;27501;9194205343
APEX POST OFFICE;501 W WILLIAM ST;APEX;NC;27502;9193876708
ASHEBORO POST OFFICE;1030 S CHURCH ST;ASHEBORO;NC;27203;3366299119
BILTMORE STATION POST OFFICE;780 HENDERSONVILLE RD;ASHEVILLE;NC;28803;8282716455
DOWNTOWN ASHEVILLE POST OFFICE;33 COXE AVE.;ASHEVILLE;NC;28801;8282716428
BAILEY POST OFFICE;6171 DEANS ST.;BAILEY;NC;27807;2522353565
BAKERSVILLE POST OFFICE;130 HEMLOCK DR;BAKERSVILLE;NC;28705;8286882571
BANNER ELK POST OFFICE;155 CENTRAL WAY SW;BANNER ELK;NC;28604;8288984334
CARTERET COUNTY REGISTER OF DEEDS;302 COURTHOUSE SQUARE;BEAUFORT;NC;28516;2527288474
BENSON POST OFFICE;402 S MARKET STREET;BENSON;NC;27504;9198946156
BRUNSWICK COUNTY REGISTER OF DEEDS;75 COURTHOUSE DRIVE;BOLIVIA;NC;28422;9102532690
APPALACHIAN STATE UNIVERSITY;614 HOWARD ST;BOONE;NC;28608;8282622246
BOONE MAIN POST OFFICE;1544 BLOWING ROCK RD;BOONE;NC;28607;8282643813
WATAUGA COUNTY TAX ADMINISTRATION;274 WINKLERS CREEK ROAD;BOONE;NC;28607;8282682315
BROADWAY POST OFFICE;101 S MAIN ST;BROADWAY;NC;27505;9192583934
PENDER COUNTY REGISTER OF DEEDS;300 E FREMONT ST;BURGAW;NC;28478;9102591225
ALAMANCE COUNTY PASSORT SERVICES;342 SOUTH SPRING STREET;BURLINGTON;NC;27215;3365704160
YANCEY COUNTY CLERK OF SUPERIOR COURT;110 TOWN SQUARE;BURNSVILLE;NC;28714;8286785705
BUXTON MAIN POST OFFICE;48042 NC HWY 12;BUXTON;NC;27920;2529955755
CLERK OF SUPERIOR COURT;117 NC HWY 343 NORTH;CAMDEN;NC;27921;2523364000
CAROLINA BEACH POST OFFICE;1323 BRIDGE BARRIER RD;CAROLINA BEACH;NC;28428;9104584468
CARRBORO POST OFFICE;1500 W MAIN ST;CARRBORO;NC;27510;9199684573
CARY POST OFFICE;150 WRENN DR;CARY;NC;27511;9194603897
CHAPEL HILL POST OFFICE;125 S ESTES DR;CHAPEL HILL;NC;27514;9199299892
CHARLOTTE PASSPORT ACCEPTANCE FACILITY;1820 HARRIS HOUSTON RD;CHARLOTTE;NC;28262;7047172713
SOUTH PROVIDENCE CHARLOTTE USPS;11035 GOLF LINKS DRIVE;CHARLOTTE;NC;28277;7045408529
UNION STATION - UNC CHARLOTTE;8845 CRAVER RD;CHARLOTTE;NC;28262;7046875893
CLEVELAND POST OFFICE;105 W MAIN ST;CLEVELAND;NC;27013;7042789192
CLERK OF SUPERIOR COURT SAMPSON COUNTY;101 E. MAIN ST.;CLINTON;NC;28328;9105966600
DURHAM COUNTY REGISTER OF DEEDS;201 EAST MAIN STREET;DURHAM;NC;27701;9195600481
DURHAM MPO;323 E CHAPEL HILL ST;DURHAM;NC;27701;9196831188
NORTH CAROLINA CENTRAL UNIVERSITY;1801 FAYETTEVILLE STREET;DURHAM;NC;27707;9195307272
RTP POST OFFICE;65 T W ALEXANDER DRIVE;DURHAM;NC;27709;9194205343
ELIZABETH CITY MAIN POST OFFICE;1001 W EHRINGHAUS ST;ELIZABETH CITY;NC;27909;2523352582
ELKIN POST OFFICE;213 WEST MAIN STREET;ELKIN;NC;28621;3368352113
ELON POST OFFICE;105 S WILLIAMSON AVE;ELON;NC;27244;3365845943
ENGELHARD POST OFFICE;34668 US HWY 264;ENGELHARD;NC;27824;2529254671
FAYETTEVILLE MAIN POST OFFICE;301 GREEN ST;FAYETTEVILLE;NC;28301;9104862464
FAYETTEVILLE STATE UNIVERSITY;1200 MURCHISON RD;FAYETTEVILLE;NC;28301;9106721078
FORT BRAGG STATION;1605 REILLY RD;FORT BRAGG;NC;28307;9104362521
MACON COUNTY CLERK OF SUPERIOR COURT;5 WEST MAIN ST;FRANKLIN;NC;28734;8283497200
FUQUAY-VARINA POST OFFICE;131 NORTH JUDD PARKWAY;FUQUAY VARINA;NC;27526;9195521036
GARNER POST OFFICE;267 W. TIMBER DR;GARNER;NC;27529;9197797331
GASTON COUNTY REGISTER OF DEEDS;325 DR MARTIN LUTHER KING JR WAY;GASTONIA;NC;28052;7048627685
GASTONIA POST OFFICE;301 W MAIN STREET;GASTONIA;NC;28052;7048676312
SUPERIOR COURT CLERK GATES COUNTY;202 COURT ST.;GATESVILLE;NC;27938;2523571365
GIBSONVILLE POST OFFICE;221 E. MAIN ST;GIBSONVILLE;NC;27249;3369319320
GOLDSBORO POST OFFICE;200 N WILLIAM ST;GOLDSBORO;NC;27530;9197340558
ALAMANCE COUNTY REGISTER OF DEEDS;118 W HARDEN STREET;GRAHAM;NC;27253;3365706563
FOUR SEASONS STATION USPS;301 FOUR SEASONS TOWN CTR;GREENSBORO;NC;27427;3362998085
GREENSBORO MAIN POST OFFICE;201 N MURROW BLVD;GREENSBORO;NC;27401;3363700227
GUILFORD COUNTY PASSPORT ACCEPTANCE SERVICES;201 WEST MARKET ST;GREENSBORO;NC;27401;3366415322
UNC GREENSBORO;1209 NORTH DR.;GREENSBORO;NC;27413;3362560147
EAST CAROLINA UNIVERSITY INTERNATIONAL HOUSE;306 EAST 5TH ST;GREENVILLE;NC;27858;2523285829
GREENVILLE MPO;300 W 2ND ST;GREENVILLE;NC;27834;2523212291
TOWN OF HARRISBURG;4100 MAIN ST;HARRISBURG;NC;28075;7044555614
HAVELOCK POST OFFICE;133 HWY 70 W;HAVELOCK;NC;28532;2524473819
HENDERSON POST OFFICE;905 S GARNETT ST;HENDERSON;NC;27536;2524386752
HENDERSONVILLE POST OFFICE;1800 FOUR SEASONS BLVD;HENDERSONVILLE;NC;28792;8286981299
PERQUIMANS COUNTY CLERK;128 N. CHURCH ST.;HERTFORD;NC;27944;2524045000
HICKORY MAIN POST OFFICE;231 GOVERNMENT AVE SW;HICKORY;NC;28602;8283285503
HIGH POINT POST OFFICE;315 E GREEN DR;HIGH POINT;NC;27260;3368846098
ORANGE COUNTY REGISTER OF DEEDS;228 SOUTH CHURTON ST, STE 300;HILLSBOROUGH;NC;27278;9192452681
HOLLY SPRINGS POST OFFICE;112 THIRD STREET;HOLLY SPRINGS;NC;27540;9194205343
ICARD POST OFFICE;3462 MILLER BRIDGE RD;ICARD;NC;28666;8283975071
JACKSON POST OFFICE;104 ATHERTON ST;JACKSON;NC;27845;2525343841
CITY OF JACKSONVILLE - CENTER FOR PUBLIC SAFETY;200 MARINE BLVD;JACKSONVILLE;NC;28540;9104554000
CITY OF JACKSONVILLE-CITY HALL;815 NEW BRIDGE STREET;JACKSONVILLE;NC;28540;9109385200
JAMESTOWN POST OFFICE;203 E MAIN ST;JAMESTOWN;NC;27282;3364542124
JEFFERSON POST OFFICE;410 E MAIN ST;JEFFERSON;NC;28640;3362469632
JONESVILLE POST OFFICE;127 N BRIDGE ST;JONESVILLE;NC;28642;3368355047
KANNAPOLIS POST OFFICE;1040 DALE EARNHARDT BLVD;KANNAPOLIS;NC;28083;7049381120
KERNERSVILLE POST OFFICE;325 WEST MOUNTAIN ST;KERNERSVILLE;NC;27284;3369937262
KING POST OFFICE;603 S MAIN ST;KING;NC;27021;3369857088
LENOIR COMMUNITY COLLEGE;231 HWY 58 SOUTH;KINSTON;NC;28502;2522336872
KITTY HAWK POST OFFICE;3841 N CROATAN HWY;KITTY HAWK;NC;27949;2522612211
