facilityName;streetAdress;city;state;zipCode;publicPhone
MCINTOSH COUNTY RECORDER;112 1ST STREET NE;ASHLEY;ND;58413;7012885147
GOLDEN VALLEY CLERK OF COURT;150 - 1ST AVE. SE;BEACH;ND;58621;7018723713
BURLEIGH COUNTY RECORDER;221 N. 5TH ST;BISMARCK;ND;58501;7012226749
USPO - BISMARCK;220 EAST ROSSER AVE;BISMARCK;ND;58501;7012238810
BOTTINEAU COUNTY CLERK OF COURT;314 W 5TH ST;BOTTINEAU;ND;58318;7012283983
BURKE COUNTY COURTHOUSE RECORDERS OFFIE;103 MAIN ST SE;BOWBELLS;ND;58721;7013772818
BOWMAN COUNTY RECORDER;104 - 1ST ST. NW;BOWMAN;ND;58623;7015233450
TOWNER COUNTY CLERK OF DISTRICT COURT;315 2ND STREET;CANDO;ND;58324;7019684340
FOSTER COUNTY RECORDER;1000 - 5TH ST. N.;CARRINGTON;ND;58421;7016522491
GRANT COUNTY CLERK OF COURT;106 2ND AVE NE;CARSON;ND;58529;7016223615
PEMBINA COUNTY CLERK - RECORDER;301 DAKOTA ST. W #10;CAVALIER;ND;58220;7012654373
DIVIDE COUNTY CLERK OF COURT;200 NORTH MAIN ST;CROSBY;ND;58730;7019656831
RAMSEY COUNTY RECORDER;524 - 4TH AVE. NE;DEVILS LAKE;ND;58301;7016627018
STARK COUNTY RECORDER;51 - 3RD STREET EAST;DICKINSON;ND;58601;7014567645
DICKEY COUNTY CLERK OF DISTRICT COURT;309 2ND ST N;ELLENDALE;ND;58436;7013493249
NDSU STUDY ABROAD;1401 ADMINISTRATION AVEUNUE, MU 116;FARGO;ND;58102;7012317895
USPO - FARGO;657 - 2ND AVE. N;FARGO;ND;58102;7012416122
USPO - PRAIRIEWOOD STATION;1455 32ND ST. S;FARGO;ND;58103;7012719210
WELLS COUNTY RECORDER;700 RAILWAY STREET N #125;FESSENDEN;ND;58438;7015473141
STEELE COUNTY CLERK OF COURT;201 WASHINGTON AVE W;FINLEY;ND;58230;7015242152
WALSH COUNTY RECORDER;600 COOPER AVE.;GRAFTON;ND;58237;7013522380
GRAND FORKS COUNTY TAX EQUALIZATION;151 S. 4TH STREET;GRAND FORKS;ND;58201;7017808251
GRAND FORKS POST OFFICE;2501 - 28TH AVE S;GRAND FORKS;ND;58201;7013352001
UNIVERSITY OF NORTH DAKOTA INTERNATIONAL CENTER;2891 2ND AVE N;GRAND FORKS;ND;58202;7017774231
ADAMS COUNTY RECORDER - CLERK OF COURT;602 ADAMS AVENUE;HETTINGER;ND;58639;7015672460
TRAILL COUNTY CLERK OF COURT;114 W. CALEDONIA AVE.;HILLSBORO;ND;58045;7016364454
STUTSMAN COUNTY RECORDER;511 2ND AVE. SE;JAMESTOWN;ND;58401;7012529034
LA MOURE COUNTY DISTRICT COURT;202 FOURTH AVE. NE;LA MOURE;ND;58458;7018836050
NELSON COUNTY RECORDER;210 B AVE W, SUITE 203;LAKOTA;ND;58344;7012472433
CAVALIER COUNTY CLERK OF COURT;901 3RD STREET, SUITE 1;LANGDON;ND;58249;7012562124
RANSOM COUNTY DISTRICT COURT;204 5TH AVE W;LISBON;ND;58054;7016836120
MORTON COUNTY RECORDER;210 2ND AVE NW;MANDAN;ND;58554;7016673305
MORTON MANDAN PUBLIC LIBRARY;609 WEST MAIN STREET;MANDAN;ND;58554;7016675365
DUNN COUNTY RECORDER;205 OWENS ST.;MANNING;ND;58642;7015734443
BILLINGS COUNTY CLERK OF COURT;495 4TH ST;MEDORA;ND;58645;7016234491
USPO - MINOT;117 5TH AVE. SW;MINOT;ND;58701;7018576100
WARD COUNTY RECORDER;225 3RD ST. SE;MINOT;ND;58701;7018576406
RENVILLE COUNTY CLERK OF DISTRICT COURT;205 MAIN ST. EAST;MOHALL;ND;58761;7017566398
ROLETTE COUNTY RECORDER;102 2ND ST. NE;ROLLA;ND;58367;7014773166
PIERCE COUNTY CLERK OF COURT;240 SE 2ND ST.;RUGBY;ND;58368;7017766161
MOUNTRAIL COUNTY CLERK OF COURT;101 N. MAIN ST.;STANLEY;ND;58784;7016282915
MERCER COUNTY DISTRICT COURT;410 VANSLYCK AVENUE;STANTON;ND;58571;7017453262
USPO - STANTON;119 HARMON AVE.;STANTON;ND;58571;7017453501
MCHENRY COUNTY CLERK OF COURT;407 MAIN ST S;TOWNER;ND;58788;7015375729
BARNES COUNTY RECORDERS OFFICE;230 4TH ST NW;VALLEY CITY;ND;58072;7018458506
WAHPETON MAIN POST OFFICE;926 2ND AVENUE N;WAHPETON;ND;58075;7016422347
MCLEAN COUNTY RECORDERS OFFICE;712 5TH AVENUE;WASHBURN;ND;58577;7014628541
MCKENZIE COUNTY COURTHOUSE;201 5TH ST NW, STE 510;WATFORD CITY;ND;58854;7014443616
USPO - WEST FARGO;415 MAIN AVE E;WEST FARGO;ND;58078;7012823158
WILLIAMS COUNTY TREASURER - RECORDER;206 EAST BROADWAY;WILLISTON;ND;58801;7015774540
WILLISTON DMV;206 E BROADWAY;WILLISTON;ND;58801;7017133410
