facilityName;streetAdress;city;state;zipCode;publicPhone
BROWN COUNTY DISTRICT COURT;148 WEST FOURTH ST. SUITE 5;AINSWORTH;NE;69210;4023872705
BOONE COUNTY DISTRICT COURT;222 SOUTH 4TH STREET;ALBION;NE;68620;4023952057
BOX BUTTE COUNTY DISTRICT COURT;515 BOX BUTTE AVE;ALLIANCE;NE;69301;3087626293
HARLAN COUNTY DISTRICT COURT;706 W. 2ND ST.;ALMA;NE;68920;3089282173
USPO - ARNOLD;214 S WALNUT;ARNOLD;NE;69120;3088482210
NEMAHA COUNTY DISTRICT COURT;1824 N. ST.;AUBURN;NE;68305;4022743616
HAMILTON COUNTY DISTRICT COURT;1111 13TH STREET SUITE 4;AURORA;NE;68818;4026943533
ROCK COUNTY DISTRICT COURT;400 S STATE ST.;BASSETT;NE;68714;4026843933
GAGE COUNTY DISTRICT COURT;612 GRANT STREET;BEATRICE;NE;68310;4022231332
FURNAS COUNTY DISTRICT COURT;912 R STREET;BEAVER CITY;NE;68926;3082684015
USPO - BELLEVUE;2609 VICTORIA AVENUE;BELLEVUE;NE;68005;4022911167
USPO - BLAIR;201 N 16TH ST.;BLAIR;NE;68008;4024263100
MORRILL COUNTY DISTRICT COURT;600 BLOCK MAIN;BRIDGEPORT;NE;69336;3082621261
CUSTER COUNTY DISTRICT COURT;604 HERITAGE DRIVE;BROKEN BOW;NE;68822;3088722121
BOYD COUNTY DISTRICT COURT;401 THAYER STREET;BUTTE;NE;68722;4027752391
USPO - CAMBRIDGE;710 PATTERSON ST;CAMBRIDGE;NE;69022;3086974234
KNOX COUNTY DISTRICT COURT;206 MAIN ST.;CENTER;NE;68724;4022885606
MERRICK COUNTY DISTRICT COURT;1510 18TH STREET;CENTRAL CITY;NE;68826;3089462461
DAWES COUNTY DISTRICT COURT;451 MAIN STREET;CHADRON;NE;69337;3084320109
DEUEL COUNTY DISTRICT COURT;718 3RD STREET;CHAPPELL;NE;69129;3088743308
CLAY COUNTY DISTRICT COURT;111 WEST FAIRFIELD ST.;CLAY CENTER;NE;68933;4027623595
PLATTE COUNTY DISTRICT COURT;2610 14TH STREET;COLUMBUS;NE;68601;4025634906
USPO - COLUMBUS;1555 24TH AVE;COLUMBUS;NE;68601;4025643208
USPO - COZAD;102 E 9TH ST;COZAD;NE;69130;3087843400
USPO - CULBERTSON;407 WYOMING ST;CULBERTSON;NE;69024;3082782254
DAKOTA COUNTY DISTRICT COURT;1601 BROADWAY;DAKOTA CITY;NE;68731;4029872115
BUTLER COUNTY DISTRICT COURT;451 N 5TH ST.;DAVID CITY;NE;68632;4023677460
JEFFERSON COUNTY DISTRICT COURT;411 4TH STREET;FAIRBURY;NE;68352;4027296807
RICHARDSON COUNTY DISTRICT COURT;1700  STONE STREET #301;FALLS CITY;NE;68355;4022452023
FRANKLIN COUNTY DISTRICT COURT;405 15TH AVENUE;FRANKLIN;NE;68939;3084256202
DODGE COUNTY DISTRICT COURT;428 NORTH BROAD ST.;FREMONT;NE;68025;4027272780
USPO - FREMONT;348 EAST 6TH ST;FREMONT;NE;68025;4027211914
NANCE COUNTY DISTRICT COURT;209 ESTHER;FULLERTON;NE;68638;3085362365
FILLMORE COUNTY DISTRICT COURT;900 G STREET;GENEVA;NE;68361;4027593811
SCOTTS BLUFF COUNTY DISTRICT COURT;1725 10TH STREET;GERING;NE;69341;3084366641
USPO - GOTHENBURG;1021 LAKE AVENUE;GOTHENBURG;NE;69138;3085372121
HALL COUNTY PASSPORT ACCEPTANCE OFFICE;121 SOUTH PINE STREET;GRAND ISLAND;NE;68801;3083855012
PERKINS COUNTY COURTHOUSE;200 LINCOLN AVE;GRANT;NE;69140;3083527560
SIOUX COUNTY DISTRICT COURT;325 MAIN ST.;HARRISON;NE;69346;3086682401
CEDAR COUNTY DISTRICT COURT;101 S. BROADWAY;HARTINGTON;NE;68739;4022546957
ADAMS COUNTY DISTRICT COURT;500 W. 4TH ST.;HASTINGS;NE;68901;4024617264
THAYER COUNTY DISTRICT COURT;225 N 4TH ST;HEBRON;NE;68370;4027686116
PHELPS COUNTY DISTRICT COURT;715 5TH AVENUE;HOLDREGE;NE;68949;3089952281
