facilityName;streetAdress;city;state;zipCode;publicPhone
ADELPHIA POST OFFICE;116 WYCKOFF MILLS ROAD;ADELPHIA;NJ;07710;7324625578
ALLENDALE POST OFFICE;2 MYRTLE AVE;ALLENDALE;NJ;07401;2012369473
ALLENTOWN POST OFFICE;12 SOUTH MAIN STREET;ALLENTOWN;NJ;08501;6092592541
ASBURY POST OFFICE;285 ASBURY ANDERSON RD.;ASBURY;NJ;08802;9085372327
ATLANTIC COUNTY CLERKS OFFICE;1333 ATLANTIC AVE;ATLANTIC CITY;NJ;08401;6093432358
AVENEL POST OFFICE;1065 RAHWAY AVENUE;AVENEL;NJ;07001;7326344703
BASKING RIDGE POST OFFICE;21 BROWNLEE PLACE;BASKING RIDGE;NJ;07920;9087660611
BAYONNE POST OFFICE;570 BROADWAY;BAYONNE;NJ;07002;2013392029
BAYVILLE POST OFFICE;801 ATLANTIC CITY BLVD;BAYVILLE;NJ;08721;7322691030
BELLMAWR POSTAL STORE;421 BENIGNO BLVD;BELLMAWR;NJ;08031;8569334445
BELMAR POST OFFICE;1300 MAIN STREET;BELMAR;NJ;07719;7326810961
WARREN COUNTY CLERKS OFFICE;413 SECOND STREET;BELVIDERE;NJ;07823;9084756211
BERKELEY HEIGHTS POST OFFICE;364 SPRINGFIELD AVE;BERKELEY HEIGHTS;NJ;07922;9084641115
BLACKWOOD POST OFFICE;200 DAVISTOWN ROAD;BLACKWOOD;NJ;08012;8562270010
BLOOMFIELD POST OFFICE;13 MUNICIPAL PLAZA;BLOOMFIELD;NJ;07003;9738739062
BLOOMINGDALE POST OFFICE;126 MAIN STREET;BLOOMINGDALE;NJ;07403;9738382904
BOGOTA PUBLIC LIBRARY;375 LARCH AVE;BOGOTA;NJ;07603;2014887185
BORDENTOWN POST OFFICE;14 WALNUT STREET;BORDENTOWN;NJ;08505;6092980262
BRADLEY BEACH POST OFFICE;515 MAIN STREET;BRADLEY BEACH;NJ;07720;7327757013
BRANCHVILLE POST OFFICE;1 BROAD STREET;BRANCHVILLE;NJ;07826;9739483580
CUMBERLAND COUNTY CLERKS OFFICE;60 WEST BROAD STREET;BRIDGETON;NJ;08302;8564534860
BRIDGEWATER POST OFFICE;495 N BRIDGE STREET;BRIDGEWATER;NJ;08807;9085260222
SOMERSET COUNTY LIBRARY SYSTEM OF NEW JERSEY;1 VOGT DRIVE;BRIDGEWATER;NJ;08807;9084588400
