facilityName;streetAdress;city;state;zipCode;publicPhone
ALAMOGORDO POST OFFICE;930  12TH ST.;ALAMOGORDO;NM;88310;5754379390
ALBUQUERQUE MAIN OFFICE;1135 BROADWAY BOULEVARD NORTH EAST;ALBUQUERQUE;NM;87101;5053468484
BERNALILLO COUNTY CLERKS OFFICE;ONE CIVIC PLAZA NW;ALBUQUERQUE;NM;87102;5054681290
MANZANO STATION;11600 HAINES AVE. NE;ALBUQUERQUE;NM;87112;5053460947
UNM PASSPORT ACCEPTANCE CENTER @ THE UNM BOOKSTORE;2301 CENTRAL AVENUE NORTH EAST;ALBUQUERQUE;NM;87106;5056970110
ALTO POST OFFICE;100 SUN VALLEY ROAD;ALTO;NM;88312;5753364341
ANTHONY MAIN POST OFFICE;1190 ANTHONY DRIVE;ANTHONY;NM;88021;5758825259
AZTEC POST OFFICE;601 SOUTH RIO GRANDE AVE;AZTEC;NM;87410;5053346181
BELEN POST OFFICE;400 NORTH MAIN STREET;BELEN;NM;87002;5058648571
BERNALILLO POST OFFICE;145 CALLE PRESIDENTE;BERNALILLO;NM;87004;5057718822
CARLSBAD MAIN POST OFFICE;301 NORTH CANYON STREET;CARLSBAD;NM;88220;5758855717
CEDAR CREST POST OFFICE;12218 STATE HIGHWAY 14 NORTH;CEDAR CREST;NM;87008;5052815668
CHAMA POST OFFICE;199 5TH STREET W;CHAMA;NM;87520;5757562240
CLAYTON POST OFFICE;1 WALNUT STREET;CLAYTON;NM;88415;5753749541
CLOUDCROFT POST OFFICE;20 CURLEW PLACE;CLOUDCROFT;NM;88317;5756822431
NINTH JUDICIAL DISTRICT COURT;700 NORTH MAIN STREET;CLOVIS;NM;88101;5757427500
NORTH WEST STATION POST OFFICE;1224 WEST 21ST STREET;CLOVIS;NM;88101;5757635556
CUBA POST OFFICE;6358 US HWY 550;CUBA;NM;87013;5752893426
DEXTER POST OFFICE;302 S. LINCOLN AVENUE;DEXTER;NM;88230;5757345823
EDGEWOOD POST OFFICE;13 PLAZA LOOP;EDGEWOOD;NM;87015;5052813535
ESPANOLA MAIN POST OFFICE;1010 INDUSTRIAL PARK ROAD;ESPANOLA;NM;87532;5057533335
FARMINGTON MAIN POST OFFICE;2301 E 20TH ST;FARMINGTON;NM;87401;5053243055
GLORIETA POST OFFICE;16 CALLE LOMITA;GLORIETA;NM;87535;5057576140
GRANTS MAIN POST OFFICE;816 W SANTA FE AVENUE;GRANTS;NM;87020;5052873143
HAGERMAN POST OFFICE;108 E ARGYLE ST;HAGERMAN;NM;88232;5757523730
HATCH POST OFFICE;107 E DAVIS ST.;HATCH;NM;87937;5752674811
HOLLOMAN AFB;721 NEW MEXICO AVE BLDG 785;HOLLOMAN AFB;NM;88330;5755723842
ISLETA POST OFFICE;119 TRIBAL ROAD 40;ISLETA;NM;87022;5058693907
JEMEZ SPRINGS POST OFFICE;16957 HIGHWAY 4;JEMEZ SPRINGS;NM;87025;5758293917
LAS CRUCES MAIN POST OFFICE;201 E LAS CRUCES AVE.;LAS CRUCES;NM;88001;5755242903
PASSPORT ACCEPTANCE @ NMSU;EDUCATIONAL SERVICES BUILDING;LAS CRUCES;NM;88003;5756464528
LAS VEGAS POST OFFICE;1001 DOUGLAS AVE;LAS VEGAS;NM;87701;5054259387
LORDSBURG POST OFFICE;401 SHAKESPEARE STREET;LORDSBURG;NM;88045;5755429601
LOS ALAMOS POST OFFICE;199 CENTRAL PARK SQUARE;LOS ALAMOS;NM;87544;5056622153
LOVINGTON POST OFFICE;203 E AVENUE D;LOVINGTON;NM;88260;5753962300
MAGDALENA POST OFFICE;100 E. FIRST STREET;MAGDALENA;NM;87825;5758542231
MESCALERO POST OFFICE;124 CHIRICAHUA PLAZA;MESCALERO;NM;88340;5754644550
MORIARTY MAIN POST OFFICE;514 ROUTE 66;MORIARTY;NM;87035;5058324914
PERALTA POST OFFICE;2470 BOSQUE FARMS BOULEVARD;PERALTA;NM;87042;5058699180
PLACITAS POST OFFICE;652 STATE HIGHWAY 165;PLACITAS;NM;87043;5058673460
NINTH JUDICIAL DISTRICT COURT CLERK;109 WEST 1ST STREET;PORTALES;NM;88130;5753596920
RATON POST OFFICE;245 PARK AVENUE;RATON;NM;87740;5754452681
RIO RANCHO BRANCH STATION;900 PINETREE ROAD SE;RIO RANCHO;NM;87124;5059943756
ROSWELL MAIN POST OFFICE;415 N PENNSYLVANIA AVE;ROSWELL;NM;88201;5756239868
RUIDOSO POST OFFICE;1090 MECHEM DRIVE;RUIDOSO;NM;88345;5752581882
RUIDOSO DOWNS POST OFFICE;26336 US HIGHWAY 70 E.;RUIDOSO DOWNS;NM;88346;5753784595
DEVARGAS MALL POST OFFICE;534 NORTH GUADALUPE ST;SANTA FE;NM;87501;5059838935
SILVER CITY POST OFFICE;500 N HUDSON ST;SILVER CITY;NM;88061;5755382831
SOCORRO MAIN POST OFFICE;124 PLAZA STREET;SOCORRO;NM;87801;5758350542
SUNLAND PARK POST OFFICE;3500 MCNUTT ROAD;SUNLAND PARK;NM;88063;5755897548
TAOS POST OFFICE;318 PASEO DEL PUEBLO NORTE;TAOS;NM;87571;5757582081
TATUM POST OFFICE;114 SOUTH AVE A.;TATUM;NM;88267;5753988181
SIERRA STATION - TOR C POST OFFICE;1507 N DATE ST;TRUTH OR CONSEQUENCE;NM;87901;5758943137
TUCUMCARI POST OFFICE;220 S 1ST STREET;TUCUMCARI;NM;88401;5754610370
ZUNI POST OFFICE;1207 HIGHWAY 53;ZUNI;NM;87327;5057824525
