facilityName;streetAdress;city;state;zipCode;publicPhone
BATTLE MOUNTAIN POST OFFICE;810 SUNSET DR;BATTLE MOUNTAIN;NV;89820;7756352705
BOULDER CITY CLERKS OFFICE;401 CALIFORNIA AVE.;BOULDER CITY;NV;89005;7022939208
BOULDER CITY POST OFFICE;1101 COLORADO ST;BOULDER CITY;NV;89005;7022932740
CARSON CITY MAIN POST OFFICE;1111 S. ROOP ST;CARSON CITY;NV;89701;7758842300
CRYSTAL BAY POST OFFICE;26 STATE ROUTE 28;CRYSTAL BAY;NV;89402;7758319017
ELKO MAIN POST OFFICE;275 3RD STREET;ELKO;NV;89803;7757779803
ELY MAIN POST OFFICE;2600 BRISTLECONE AVE;ELY;NV;89301;7752899276
EUREKA COUNTY CLERK RECORDERS OFFICE;10 S. MAIN ST;EUREKA;NV;89316;7752375263
FALLON POST OFFICE;120 N. MAINE ST;FALLON;NV;89406;7754282906
FERNLEY CITY CLERKS OFFICE;595 SILVERLACE BLVD;FERNLEY;NV;89408;7757849830
HENDERSON CITY CLERKS OFFICE;240 S WATER STREET;HENDERSON;NV;89015;7022671400
HENDERSON MAIN POST OFFICE;404 S. BOULDER HWY;HENDERSON;NV;89015;7025587463
HENDERSON VALLE VERDE STATION;1575 W. HORIZON RIDGE PKWY;HENDERSON;NV;89012;7028371624
INDIAN SPRINGS POST OFFICE;185 HWY 95 NORTH;INDIAN SPRINGS;NV;89018;7028793289
JACKPOT POST OFFICE;1925 GURLEY DR;JACKPOT;NV;89825;7757552252
JEAN POST OFFICE;18500 LAS VEGAS BLVD SOUTH;JEAN;NV;89019;7028741327
CLARK COUNTY CLERK - COMMISSION DIVISION;500 S. GRAND CENTRAL PARKWAY;LAS VEGAS;NV;89101;7026710500
CROSSROADS STATION PO - LAS VEGAS;6210 N. JONES BLVD;LAS VEGAS;NV;89130;7028394471
JAMES C BROWN JR POST OFFICE;1001 E. SUNSET RD;LAS VEGAS;NV;89199;7023619201
SOUTHERN NEVADA HEALTH DISTRICT;280 S. DECATUR;LAS VEGAS;NV;89107;7027590904
SUMMERLIN STATION PO - LAS VEGAS;1611 SPRING GATE LANE;LAS VEGAS;NV;89134;7028698647
UNIVERSITY LAS VEGAS RETAIL UNIT PO - LAS VEGAS;4632 S. MARYLAND PARKWAY;LAS VEGAS;NV;89170;7023619209
UNIVERSITY NEVADA LAS VEGAS (UNLV);4632 S. MARYLAND PKWY;LAS VEGAS;NV;89119;7028954451
WINDMILL LIBRARY;7060 W. WINDMILL LANE;LAS VEGAS;NV;89113;7025076036
WINTERWOOD STATION POST OFFICE;5070 VEGAS VALLEY DRIVE;LAS VEGAS;NV;89122;7024312539
LAUGHLIN POST OFFICE;2850  S. NEEDLES HWY;LAUGHLIN;NV;89029;7022986161
LOGANDALE POST OFFICE;3145 N. MOAPA VALLEY BLVD.;LOGANDALE;NV;89021;7023983405
PERSHING COUNTY CLERK;400 MAIN STREET;LOVELOCK;NV;89419;7752732410
MESQUITE POST OFFICE;510 W. MESQUITE BLVD;MESQUITE;NV;89027;7023468149
DOUGLAS COUNTY CLERKS OFFICE;1616 8TH STREET;MINDEN;NV;89423;7757829014
MINDEN POST OFFICE;1640 US HIGHWAY 395;MINDEN;NV;89423;7757822944
MOAPA POST OFFICE;1800 E. STATE HIGHWAY 168;MOAPA;NV;89025;7023983405
MEADOW MESA STATION POST OFFICE;4904 CAMINO AL NORTE;NORTH LAS VEGAS;NV;89031;7026576888
NORTH LAS VEGAS MAIN POST OFFICE;1414 E. LAKE MEAD BLVD;NORTH LAS VEGAS;NV;89030;7026491871
OVERTON POST OFFICE;275 MOAPA VALLEY BLVD;OVERTON;NV;89040;7023972140
PAHRUMP POST OFFICE;2300 E. POSTAL RD;PAHRUMP;NV;89041;7757277976
PEAVINE STATION POST OFFICE;1580 GRAND POINT WAY;RENO;NV;89523;7757464247
RENO MAIN POST OFFICE;2000 VASSAR ST.;RENO;NV;89510;7757880725
STEAMBOAT STATION;75 MCCABE DR;RENO;NV;89511;7758532615
UNIVERSITY OF NEVADA-RENO, NEVADA WOLF SHOP;87 W. STADIUM WAY;RENO;NV;89557;7757846597
CITY OF SPARKS CUSTOMER SERVICE DEPARTMENT;431 PRATER WAY;SPARKS;NV;89431;7753535555
SPARKS MAIN POST OFFICE;750 4TH STREET;SPARKS;NV;89431;7753591043
TAHOE GENERAL SERVICES;175 HIGHWAY 50 2ND FLOOR;STATELINE;NV;89449;7755867270
TONOPAH POST OFFICE;201 ERIE MAIN STREET;TONOPAH;NV;89049;7754823359
WEST WENDOVER POST OFFICE;810 ALPINE STREET;WEST WENDOVER;NV;89883;7756642929
WINNEMUCCA POST OFFICE;850 HANSON STREET;WINNEMUCCA;NV;89445;7756232456
YERINGTON POST OFFICE;26 N. MAIN STREET;YERINGTON;NV;89447;7754639087
