facilityName;streetAdress;city;state;zipCode;publicPhone
ACCORD POST OFFICE;30 MAIN STREET;ACCORD;NY;12404;8456265881
ADAMS POST OFFICE;27 E CHURCH STREET;ADAMS;NY;13605;3152322312
ADDISON POST OFFICE;150 FRONT ST;ADDISON;NY;14801;6073592136
AKRON POST OFFICE;118 MAIN STREET;AKRON;NY;14001;7165429756
ALBANY CITY CLERK;24 EAGLE ST.;ALBANY;NY;12207;5184345092
ALBANY COUNTY CLERK OF COURT;16 EAGLE ST;ALBANY;NY;12207;5184875102
ALBANY GMF POST OFFICE;30 KARNER RD;ALBANY;NY;12288;5184522286
PINE HILLS BRANCH - ALBANY PUBLIC LIBRARY;517 WESTERN AVE.;ALBANY;NY;12203;5184827911
ALBERTSON POST OFFICE;860 WILLIS AVENUE;ALBERTSON;NY;11507;5167463512
ALBION POST OFFICE;8 SOUTH MAIN STREET;ALBION;NY;14411;5855895928
ORLEANS COUNTY CLERK OF COURT;3 SOUTH MAIN STREETCOURT HOUSE SQUARE;ALBION;NY;14411;5855895334
ALDEN POST OFFICE;13127 BROADWAY ST;ALDEN;NY;14004;7169376020
ALEXANDRIA BAY POST OFFICE;13 BETHUNE STREET;ALEXANDRIA BAY;NY;13607;3154829521
ALFRED POST OFFICE;63 N MAIN ST;ALFRED;NY;14802;6075878449
ALTAMONT POST OFFICE;108 PARK ST;ALTAMONT;NY;12009;5188616953
AMAGANSETT MAIN POST OFFICE;501 MONTAUK HIGHWAY;AMAGANSETT;NY;11930;6312672804
AMENIA POST OFFICE;3296 ROUTE 343;AMENIA;NY;12501;8453739306
AMHERST BRANCH POST OFFICE;5500 NORTH BAILEY AVENUE;AMHERST;NY;14226;7168318651
AMITYVILLE POST OFFICE;77 IRELAND PLACE;AMITYVILLE;NY;11701;6312643532
TOWN OF EVANS;8787 ERIE ROAD;ANGOLA;NY;14006;7165495755
ARCADE POST OFFICE;23 EDWARD STREET;ARCADE;NY;14009;5854965377
ARDSLEY POST OFFICE;875 SAW MILL RIVER ROAD;ARDSLEY;NY;10502;9146930476
ARDSLEY - ON - HUDSON POST OFFICE;110 ARDSLEY AVE. WEST WESTCHESTER CO;ARDSLEY-ON-HUDSON;NY;10503;9145917299
ARVERNE POST OFFICE;329 B 59TH STREET;ARVERNE;NY;11692;7184746973
ATLANTIC BEACH POST OFFICE;2009 PARK STREET;ATLANTIC BEACH;NY;11509;5162391178
ATTICA POST OFFICE;76 MAIN STREET;ATTICA;NY;14011;5855910900
AUBURN POST OFFICE;1 JAMES STREET;AUBURN;NY;13021;3152529554
CAYUGA COUNTY CLERK;160 GENESEE STREET;AUBURN;NY;13021;3152531271
AVON POST OFFICE;80 PROSPECT ST;AVON;NY;14414;5852263550
BALDWIN POST OFFICE;2260 GRAND AVENUE;BALDWIN;NY;11510;5162235024
BALDWIN PUBLIC LIBRARY;2385 GRAND AVENUE;BALDWIN;NY;11510;5162236228
BALDWINSVILLE POST OFFICE;26 E GENESEE ST.;BALDWINSVILLE;NY;13027;3156355241
LYSANDER TOWN CLERK;8220 LOOP RD;BALDWINSVILLE;NY;13027;3156380224
VAN BUREN TOWN CLERK;7575 VAN BUREN ROAD;BALDWINSVILLE;NY;13027;3156353010
SARATOGA COUNTY CLERKS OFFICE;40 MCMASTER ST;BALLSTON SPA;NY;12020;5188852213
SOMERSET TOWN CLERK;8700 HAIGHT ROAD TOWN OF SOMERSET;BARKER;NY;14012;7167953575
BATAVIA POST OFFICE;2 W MAIN ST;BATAVIA;NY;14020;5853430491
GENESEE COUNTY CLERK OF COURT;15 MAIN STREET;BATAVIA;NY;14020;5858157802
STEUBEN COUNTY CLERK OF COURT;3 EAST PULTENEY SQUARE;BATH;NY;14810;6076642564
BAY SHORE POST OFFICE;1314 FIFTH AVENUE;BAY SHORE;NY;11706;6319693504
QUEENSBOROUGH COMMUNITY COLLEGE;222-05 56TH AVENUE;BAYSIDE;NY;11364;7186316265
BEACON POST OFFICE;369 MAIN STREET;BEACON;NY;12508;8458314372
BELLMORE POST OFFICE;2611 MERRICK ROAD;BELLMORE;NY;11710;5167818111
BELLPORT MAIN POST OFFICE;26 STATION ROAD;BELLPORT;NY;11713;6312868561
ALLEGANY COUNTY CLERK;7 COURT STREET;BELMONT;NY;14813;5852689270
BETHPAGE POST OFFICE;339 HICKSVILLE ROAD;BETHPAGE;NY;11714;5169383901
BINGHAMTON POST OFFICE;115 HENRY STREET;BINGHAMTON;NY;13902;6077732385
BROOME COUNTY CLERKS OFFICE;44 HAWLEY STREET;BINGHAMTON;NY;13901;6077782255
BLACK RIVER POST OFFICE;28553 STATE ROUTE 3;BLACK RIVER;NY;13612;3157735000
BLAUVELT POST OFFICE;545 WESTERN HIGHWAY;BLAUVELT;NY;10913;8453593477
BLOOMFIELD POST OFFICE;2 ELM STREET;BLOOMFIELD;NY;14469;5856577225
BAYPORT-BLUE POINT LIBRARY;203 BLUE POINT AVENUE;BLUE POINT;NY;11715;6313636133
BOHEMIA POST OFFICE;200 ORVILLE DRIVE;BOHEMIA;NY;11716;6315892487
CONNETQUOT PUBLIC LIBRARY;760 OCEAN AVENUE;BOHEMIA;NY;11716;6315675079
BOONVILLE POST OFFICE;100 MAIN STREET;BOONVILLE;NY;13309;3159424816
