facilityName;streetAdress;city;state;zipCode;publicPhone
ADA POST OFFICE;131 SOUTH MAIN STREET;ADA;OH;45810;4196345810
AKRON MAIN OFFICE WINDOW SERVICE;675 WOLF LEDGES PKWY.;AKRON;OH;44309;3309969920
AKRON-SUMMIT COUNTY PUBLIC LIBRARY - MAIN LIBRARY;60 S. HIGH STREET;AKRON;OH;44326;3306439000
SUMMIT COUNTY CLERK OF COURTS;3333 MASSILLON RD.;AKRON;OH;44312;3308999699
SUMMIT COUNTY CLERK OF COURTS;1030 E. TALLMADGE AVE.;AKRON;OH;44310;3306307200
UNIVERSITY OF AKRON SIMMONS HALL LOBBY;277 EAST BUCHTEL AVENUE;AKRON;OH;44325;3309727272
ALLIANCE MAIN POST OFFICE;36 S. ARCH AVE.;ALLIANCE;OH;44601;3308213560
STARK COUNTY CLERK OF COURTS - ALLIANCE TITLE OFFICE;513 E. MAIN STREET;ALLIANCE;OH;44601;3304511457
AMHERST POST OFFICE;350 N. LEAVITT ROAD;AMHERST;OH;44001;4409883421
LORAIN COUNTY CLERK OF COURTS;2290 KRESGE DRIVE;AMHERST;OH;44001;4403709555
ASHLAND COUNTY CLERK OF COURTS;142 WEST SECOND STREET;ASHLAND;OH;44805;4192824242
ASHLAND POST OFFICE;530 CLAREMONT AVE.;ASHLAND;OH;44805;4192898307
ASHTABULA POST OFFICE;4703 STATION AVE.;ASHTABULA;OH;44004;4409975268
ASHVILLE POST OFFICE;3 E. MAIN ST.;ASHVILLE;OH;43103;7409832001
ATHENS COUNTY CLERK OF COURTS TITLE OFFICE;1002 EAST STATE STREET;ATHENS;OH;45701;7405923245
ATHENS POST OFFICE;5 W. STIMSON AVE.;ATHENS;OH;45701;7405935578
AURORA POST OFFICE;400 AURORA COMMONS CIR.;AURORA;OH;44202;3305627505
LORAIN PUBLIC LIBRARY SYSTEM- AVON BRANCH;37485 HARVEST DRIVE;AVON;OH;44011;4409344743
AVON LAKE POST OFFICE;33501-B LAKE RD.;AVON LAKE;OH;44012;4409334246
BARBERTON POST OFFICE;531 WOOSTER RD. WEST;BARBERTON;OH;44203;3308482838
BARNESVILLE POST OFFICE;116 E.CHURCH ST.;BARNESVILLE;OH;43713;7404252524
CLERMONT COUNTY CLERK OF COURTS;270 MAIN ST.;BATAVIA;OH;45103;5137328119
BAY VILLAGE POST OFFICE;27106 E OVIATT RD;BAY VILLAGE;OH;44140;4402509545
CUYAHOGA COUNTY PUBLIC LIBRARY BAY VILLAGE BRANCH;502 CAHOON ROAD;BAY VILLAGE;OH;44140;4408716392
BEACHWOOD BRANCH POST OFFICE;3695 GREEN RD.;BEACHWOOD;OH;44122;2163600257
CUYAHOGA COUNTY PUBLIC LIBRARY- BEACHWOOD BRANCH;25501 SHAKER BLVD;BEACHWOOD;OH;44122;2168316868
BEDFORD BRANCH;89 WILLIS AVENUE;BEDFORD;OH;44146;4407359712
CUYAHOGA COUNTY PUBLIC LIBRARY-SOUTHEAST BRANCH;70 COLUMBUS ROAD;BEDFORD;OH;44146;4404394997
BELLEFONTAINE POST OFFICE;132 S. DETROIT ST;BELLEFONTAINE;OH;43311;9375925771
BELPRE POST OFFICE;1105 WASHINGTON BLVD.;BELPRE;OH;45714;7404238913
CUYAHOGA COUNTY PUBLIC LIBRARY BEREA BRANCH;7 BEREA COMMONS;BEREA;OH;44017;4402345475
BETHEL POST OFFICE;213 NORTH EAST STREET;BETHEL;OH;45106;5137341617
BLACKLICK POST OFFICE;450 N BRICE RD;BLACKLICK;OH;43004;6148663031
BLUFFTON POST OFFICE;132 S. MAIN ST.;BLUFFTON;OH;45817;4193586096
BOWLING GREEN POST OFFICE;111 W . WASHINGTON ST.;BOWLING GREEN;OH;43402;4193527545
INTERNATIONAL PROGRAMS AND PARTNERSHIPS-BOWLING GREEN STATE UNIVERSITY;301 UNIVERSITY HALL;BOWLING GREEN;OH;43403;4193722247
WOOD COUNTY CLERK OF COURTS;ONE COURTHOUSE SQUARE;BOWLING GREEN;OH;43402;4193549280
CUYAHOGA COUNTY PUBLIC LIBRARY BRECKSVILLE BRANCH;9089 BRECKSVILLE ROAD;BRECKSVILLE;OH;44141;4405261102
BRISTOLVILLE POST OFFICE;1850 GREENVILLE RD.;BRISTOLVILLE;OH;44402;3308892020
BRECKSVILLE/BROADVIEW HEIGHTS POST OFFICE;2525 ROYALTON RD #8;BROADVIEW HEIGHTS;OH;44147;4408380429
CUYAHOGA COUNTY PUBLIC LIBRARY BROOK PARK BRANCH;6155 ENGLE ROAD;BROOK PARK;OH;44142;2162675250
BROOKLYN BRANCH;6200 BIDDULPH RD.;BROOKLYN;OH;44144;2163982866
CUYAHOGA COUNTY PUBLIC LIBRARY-BROOKLYN BRANCH;4480 RIDGE ROAD;BROOKLYN;OH;44144;2163984600
BRUNSWICK LIBRARY;3649 CENTER ROAD;BRUNSWICK;OH;44212;3302734150
MEDINA CO CLERK OF COURTS-BRUNSWICK AUTO TITLE;1434 TOWN CENTER #C40;BRUNSWICK;OH;44212;18777220016
BRYAN POST OFFICE;142 NORTH MAIN STREET;BRYAN;OH;43506;4196362755
WILLIAMS COUNTY CLERK OF COURTS;#1 COURTHOUSE SQUARE;BRYAN;OH;43506;4196361551
BUCYRUS POST OFFICE;301 S. POPLAR ST.;BUCYRUS;OH;44820;4195626308
CRAWFORD COUNTY CLERK OF COURTS;112 E. MANSFIELD ST.;BUCYRUS;OH;44820;4195622766
HARRISON COUNTY CLERK OF COURTS;100 W. MARKET ST;CADIZ;OH;43907;7409428863
CAMBRIDGE POST OFFICE;954 WHEELING AVENUE;CAMBRIDGE;OH;43725;7404322351
GUERNSEY COUNTY CLERK OF COURTS;801 WHEELING AVENUE;CAMBRIDGE;OH;43725;7404329232
CANAL FULTON POST OFFICE;210 S. CANAL STREET;CANAL FULTON;OH;44614;3308542104
CANAL WINCHESTER;200 N. HIGH ST.;CANAL WINCHESTER;OH;43110;6148377953
CANFIELD POST OFFICE;44 N. BROAD ST.;CANFIELD;OH;44406;3305336884
CANTON MAIN POST OFFICE;2650 CLEVELAND AVE NW;CANTON;OH;44711;3304386477
STARK COUNTY CLERK OF COURTS;110 CENTRAL PLAZA SOUTH;CANTON;OH;44702;3304517812
STARK COUNTY DISTRICT LIBRARY-MAIN LIBRARY;715 MARKET AVE., N.;CANTON;OH;44702;3304520665
STARK COUNTY DISTRICT LIBRARY-PERRY SIPPO BRANCH;5710 12TH STREET NW;CANTON;OH;44708;3304778482
