facilityName;streetAdress;city;state;zipCode;publicPhone
PONTOTOC COUNTY COURT CLERK;120 W. 13TH STREET;ADA;OK;74820;5803325763
ALTUS POST OFFICE;217 W. CYPRESS;ALTUS;OK;73521;5804823339
JACKSON COUNTY COURT CLERK;101 N MAIN, ROOM 303;ALTUS;OK;73521;5804820448
WOODS COUNTY COURT CLERK;407 GOVERNMENT ST.;ALVA;OK;73717;5803273119
CADDO COUNTY COURT CLERK;110 SW 2ND STREET;ANADARKO;OK;73005;4052473393
CUSTER COUNTY COURT CLERK;675 B STREET;ARAPAHO;OK;73620;5803233233
ARDMORE POST OFFICE;208 1ST AVE SW;ARDMORE;OK;73401;5802231583
CHAMPION PUBLIC LIBRARY;601 RAILWAY EXPRESS;ARDMORE;OK;73401;5802233164
BARTLESVILLE MAIN POST OFFICE;615 SW JENNINGS AVE;BARTLESVILLE;OK;74003;9183367152
BEAVER POST OFFICE;16 E. 2ND ST.;BEAVER;OK;73932;5806253362
BIXBY POST OFFICE;16 S. A. AVENUE;BIXBY;OK;74008;9183668270
BLANCHARD POST OFFICE;1200 N. COUNCIL RD.;BLANCHARD;OK;73010;4054853034
BROKEN ARROW MAIN POST OFFICE;1701 S. MAIN ST.;BROKEN ARROW;OK;74012;9182585652
LINCOLN COUNTY COURT CLERK;811 MANVEL AVE;CHANDLER;OK;74834;4052581309
CHECOTAH POST OFFICE;213 W. SPAULDING ST.;CHECOTAH;OK;74426;9184735606
ALFALFA COUNTY COURT CLERK;300 S. GRAND AVE.;CHEROKEE;OK;73728;5805963523
ROGER MILLS COUNTY COURT CLERK;500 E BROADWAY;CHEYENNE;OK;73628;5804973361
GRADY COUNTY EMERGENCY MANAGEMENT;315 W. PENNSYLVANIA AVE.;CHICKASHA;OK;73018;4052222339
CLAREMORE PO;400 W. 9TH ST.;CLAREMORE;OK;74017;9183435912
COALGATE POST OFFICE;38 N MAIN ST.;COALGATE;OK;74538;5809272223
