facilityName;streetAdress;city;state;zipCode;publicPhone
USPO - ALBANY;525 SECOND AVE. SW;ALBANY;OR;97321;5419249691
SOUTHERN OREGON UNIVERSITY;STEVENSON UNION, RM 322;ASHLAND;OR;97520;5415526336
CLATSOP COUNTY CLERK AND ELECTIONS;820 EXCHANGE STREET, STE 220;ASTORIA;OR;97103;5033258511
BAKER COUNTY CLERK;1995 THIRD ST. STE 150;BAKER CITY;OR;97814;5415238207
CITY OF BEAVERTON-FINANCE DEPARTMENT;12725 SW MILLIKAN WAY;BEAVERTON;OR;97076;5035262509
USPO - BEAVERTON;4550 SW BETTS AVE;BEAVERTON;OR;97005;5036435263
DESCHUTES COUNTY CLERK;1300 NW WALL ST, STE 202;BEND;OR;97703;5413886549
USPO - BEND;2300 NE 4TH ST.;BEND;OR;97701;5413185068
USPO - BORING;28515 SE HWY. 212;BORING;OR;97009;5036630289
HARNEY COUNTY CLERK;450 N. BUENA VISTA, #14;BURNS;OR;97720;5415736641
GRANT COUNTY CLERK;201 S. HUMBOLT, SUITE 290;CANYON CITY;OR;97820;5415751675
USPO - COOS BAY;470 GOLDEN AVE;COOS BAY;OR;97420;5412670379
USPO - COQUILLE;75 N BIRCH STREET;COQUILLE;OR;97423;5413963549
BENTON COUNTY COURTHOUSE;120 NW 4TH ST. RM 13;CORVALLIS;OR;97330;5417666756
USPO - CORVALLIS;311 SW 2ND ST.;CORVALLIS;OR;97333;5417524358
USPO - DALLAS;768 SW CHURCH ST.;DALLAS;OR;97338;5036233835
USPO - DUNDEE;279 SW 5TH ST.;DUNDEE;OR;97115;5035388250
WALLOWA COUNTY CLERK;101 S. RIVER, RM 100;ENTERPRISE;OR;97828;5414264543
USPO - ESTACADA;205 SW 2ND AVE.;ESTACADA;OR;97023;5036304874
UNIVERSITY OF OREGON-UO TICKET OFFICE;1395 UNIVERSITY STREET;EUGENE;OR;97403;5413464363
USPO - EUGENE;520 WILLAMETTE STREET;EUGENE;OR;97401;5413413601
CITY OF FOREST GROVE;1924 COUNCIL STREET;FOREST GROVE;OR;97116;5039923221
WHEELER COUNTY;401 FOURTH ST;FOSSIL;OR;97830;5417632912
CURRY COUNTY CLERK;29821 ELLENSBURG AVE;GOLD BEACH;OR;97444;5412473295
JOSEPHINE COUNTY CLERKS OFFICE;500 NW. 6TH ST. STE 170;GRANTS PASS;OR;97526;5414745240
CITY OF GRESHAM;1333 NW EASTMAN PARKWAY;GRESHAM;OR;97030;5036182619
