facilityName;streetAdress;city;state;zipCode;publicPhone
ADAMSTOWN AREA LIBRARY;3000 NORTH READING RD;ADAMSTOWN;PA;19501;7174844200
ALIQUIPPA POST OFFICE;517 FRANKLIN AVE;ALIQUIPPA;PA;15001;7243780692
ALLENTOWN MAIN OFFICE;442 W HAMILTON ST;ALLENTOWN;PA;18101;6108218450
LEHIGH COUNTY CLERK OF JUDICIAL RECORDS;455 W HAMILTON ST;ALLENTOWN;PA;18101;6107823148
ALLISON PARK POST OFFICE;4746 WILLIAM FLYNN HIGHWAY;ALLISON PARK;PA;15101;4124865729
ALTOONA MAIN POST OFFICE;1201 11TH AVENUE;ALTOONA;PA;16601;8149414720
APOLLO MEMORIAL LIBRARY;219 NORTH PENNSYLVANIA AVE;APOLLO;PA;15613;7244784214
ARDMORE MAIN POST OFFICE;30 ARDMORE AVE.;ARDMORE;PA;19003;4844131123
BADEN POST OFFICE;398 STATE STREET;BADEN;PA;15005;7248692145
BALA CYNWYD POST OFFICE;1 UNION AVENUE;BALA CYNWYD;PA;19004;6106678035
BANGOR POST OFFICE;212 S. FIRST ST.;BANGOR;PA;18013;6105883495
BEAVER COUNTY PROTHONOTARYS OFFICE;810 3RD ST.;BEAVER;PA;15009;7247704571
BEAVER POST OFFICE;777 CORPORATION ST;BEAVER;PA;15009;7247750069
BEAVER FALLS POST OFFICE;720 11TH STREET;BEAVER FALLS;PA;15010;7248462428
BEDFORD POST OFFICE;201 S. JULIANA STREET;BEDFORD;PA;15522;8146239116
CENTRE COUNTY PROTHONOTARYS;102 S ALLEGHENY STREET;BELLEFONTE;PA;16823;8143556796
BENSALEM BRANCH LIBRARY;3700 HULMEVILLE ROAD;BENSALEM;PA;19020;2156382030
EASTTOWN LIBRARY AND INFORMATION CENTER;720 FIRST AVE;BERWYN;PA;19312;6106440138
BETHEL PARK POST OFFICE;2765 SOUTH PARK ROAD;BETHEL PARK;PA;15102;4128357129
BETHLEHEM MAIN POST OFFICE;535 WOOD ST.;BETHLEHEM;PA;18016;6108660911
LEHIGH VALLEY RETAIL UNIT;17 S COMMERCE WAY;BETHLEHEM;PA;18002;6108823247
BIRDSBORO POST OFFICE;340 WEST MAIN STREET;BIRDSBORO;PA;19508;6105822301
BLAIRSVILLE POST OFFICE;24 S WALNUT ST;BLAIRSVILLE;PA;15717;7244596740
BLAKESLEE POST OFFICE;5677 ROUTE 115;BLAKESLEE;PA;18610;5706468997
COLUMBIA COUNTY PROTHONOTARYS OFFICE;35 W MAIN ST;BLOOMSBURG;PA;17815;5703895614
BLUE BELL POST OFFICE;651 EAST TOWNSHIP LINE ROAD;BLUE BELL;PA;19422;2155910585
BOYERTOWN COMMUNITY LIBRARY;24 N READING AVENUE;BOYERTOWN;PA;19512;6103690496
BOYERTOWN POST OFFICE;128 SOUTH WASHINGTON STREET;BOYERTOWN;PA;19512;6103672262
BRADFORD POST OFFICE;115 BOYLSTON ST;BRADFORD;PA;16701;8143624576
BRIDGEVILLE POST OFFICE;700 WASHINGTON AVE.;BRIDGEVILLE;PA;15017;4122216186
BROOKVILLE POST OFFICE;67 WHITE STREET;BROOKVILLE;PA;15825;8148498359
JEFFERSON COUNTY PROTHONOTARY;JEFFERSON COUNTY COURTHOUSE;BROOKVILLE;PA;15825;8148491606
BROOMALL POST OFFICE;2628 WEST CHESTER PIKE;BROOMALL;PA;19008;6103254812
BRYN MAWR MAIN POST OFFICE;16 NORTH BRYN MAWR AVE;BRYN MAWR;PA;19010;6105252201
BUTLER COUNTY PROTHONOTARYS OFFICE;300 S MAIN STREET;BUTLER;PA;16001;7242845214
BUTLER POST OFFICE;345 SOUTH MAIN STREET;BUTLER;PA;16001;7242146000
CAMBRIDGE SPRINGS POST OFFICE;332 VENANGO AVENUE;CAMBRIDGE SPRINGS;PA;16403;8143982114
CAMP HILL POST OFFICE;1675 CAMP HILL BY-PASS;CAMP HILL;PA;17011;7177371461
CARBONDALE MAIN POST OFFICE;50 DUNDAFF STREET;CARBONDALE;PA;18407;5702824260
CARLISLE POST OFFICE;66 W LOUTHER STREET;CARLISLE;PA;17013;7172433531
CUMBERLAND COUNTY PROTHONOTARYS OFFICE;1 COURTHOUSE SQUARE - COURTHOUSE SQUARE -STE 100;CARLISLE;PA;17013;7172406195
CATASAUQUA POST OFFICE;205 BRIDGE ST;CATASAUQUA;PA;18032;6102642681
CENTER VALLEY POST OFFICE;5800 RTE. 378;CENTER VALLEY;PA;18034;6102823827
CHAMBERSBURG POST OFFICE;308 LINCOLN WAY EAST;CHAMBERSBURG;PA;17201;7172638581
CHARLEROI POST OFFICE;600 MCKEAN AVE;CHARLEROI;PA;15022;7244830381
CHESTER MAIN POST OFFICE;400 EDGEMONT AVE;CHESTER;PA;19013;6108761265
CLARION COUNTY PROTHONOTARYS OFFICE;421 MAIN STREET, STE 25;CLARION;PA;16214;8142261119
CLARION FREE LIBRARY;644 MAIN ST;CLARION;PA;16214;8142267172
CLARKS SUMMIT MAIN POST OFFICE;117 SOUTH STATE ST.;CLARKS SUMMIT;PA;18411;5705860316
CLEARFIELD POST OFFICE;118 NORTH 2ND STREET;CLEARFIELD;PA;16830;8147655671
CLIFTON HEIGHTS POST OFFICE;135 SOUTH SPRINGFIELD ROAD;CLIFTON HEIGHTS;PA;19018;6106225926
CONNELLSVILLE POST OFFICE;115 N. ARCH STREET;CONNELLSVILLE;PA;15425;7246287296
CORAOPOLIS POST OFFICE;1140 THORN RUN RD;CORAOPOLIS;PA;15108;4122644629
CRANBERRY TOWNSHIP POST OFFICE;240 EXECUTIVE DRIVE;CRANBERRY TOWNSHIP;PA;16066;7247791101
CRANESVILLE POST OFFICE;10283 CRANE STREET;CRANESVILLE;PA;16410;8147564168
CURWENSVILLE POST OFFICE;525 STATE STREET;CURWENSVILLE;PA;16833;8142360461
DALLAS POST OFFICE;2759 MEMORIAL HIGHWAY;DALLAS;PA;18612;5706750131
DALLASTOWN POST OFFICE;61 NORTH WALNUT STREET;DALLASTOWN;PA;17313;7172442555
MONTOUR COUNTY PROTHONOTARYS OFFICE;253 MILL ST;DANVILLE;PA;17821;5702713010
DELMONT POST OFFICE;48 GREENSBURG STREET;DELMONT;PA;15626;7244685236
DOWNINGTOWN POST OFFICE;470 BOOT ROAD;DOWNINGTOWN;PA;19335;6102696856
BUCKS COUNTY PROTHONOTARYS OFFICE;100 NORTH MAIN STREET;DOYLESTOWN;PA;18901;2153486191
DREXEL HILL MPO;698 BURMONT ROAD;DREXEL HILL;PA;19026;6106226428
EAST BERLIN MPO;214 SOUTH 3RD STREET;EAST BERLIN;PA;17316;7172597682
EAST STROUDSBURG POST OFFICE;200 S COURTLAND ST;EAST STROUDSBURG;PA;18301;5704213310
EASTON MAIN POST OFFICE;201 FERRY ST;EASTON;PA;18042;6102534151
EASTON POST OFFICE - PALMER BRANCH;650 S GREENWOOD RD;EASTON;PA;18045;6102529964
NORTHAMPTON COUNTY PROTHONOTARYS OFFICE;669 WASHINGTON ST;EASTON;PA;18042;6108296457
CAMBRIA COUNTY PROTHONOTARYS OFFICE;200 S CENTER ST;EBENSBURG;PA;15931;8144721638
ELIZABETHTOWN PUBLIC LIBRARY;10 SOUTH MARKET STREET;ELIZABETHTOWN;PA;17022;7173677467
ELKINS PARK POST OFFICE;1800 ASHBOURNE RD;ELKINS PARK;PA;19027;2158871751
ELLWOOD CITY POST OFFICE;320 7TH STREET;ELLWOOD CITY;PA;16117;7247587531
CAMERON COUNTY COURTHOUSE;20 E 5TH ST;EMPORIUM;PA;15834;8144863349
EPHRATA PUBLIC LIBRARY;550 SOUTH  READING RD;EPHRATA;PA;17522;7177389291
ERIE GMF;2108 E 38TH ST;ERIE;PA;16515;8148987373
PRESQUE ISLE BRANCH POST OFFICE;2711 LEGION ROAD;ERIE;PA;16506;8148331018
EVERETT POST OFFICE;17 E MAIN ST;EVERETT;PA;15537;8146522525
EXTON USPO;430 EXTON SQUARE PKWY;EXTON;PA;19341;6103631278
FAIRVIEW POST OFFICE;3856 AVONIA ROAD;FAIRVIEW;PA;16415;8144745119
FAYETTEVILLE POST OFFICE;4025 LINCOLN WAY EAST;FAYETTEVILLE;PA;17222;7173522022
FORD CITY MAIN POST OFFICE;824 4TH AVE;FORD CITY;PA;16226;7247638021
FORT WASHINGTON POST OFFICE;575 PINETOWN RD;FORT WASHINGTON;PA;19034;2156460952
FRANKLIN POST OFFICE;1202 ELK STREET;FRANKLIN;PA;16323;8144324018
FREDONIA POST OFFICE;161 SECOND STREET;FREDONIA;PA;16124;7244752161
FREEPORT POST OFFICE;415 HIGH STREET;FREEPORT;PA;16229;7242952211
GENESEE POST OFFICE;276 MAIN STREET;GENESEE;PA;16923;8142283237
ADAMS COUNTY PROTHONOTARYS;117 BALTIMORE STREET RM 104;GETTYSBURG;PA;17325;7173379834
GETTYSBURG POST OFFICE;115 BUFORD AVENUE;GETTYSBURG;PA;17325;7173373325
GIBSONIA POST OFFICE;4098 GIBSONIA ROAD;GIBSONIA;PA;15044;7244433999
GLENMOORE POST OFFICE;560 FAIRVIEW ROAD;GLENMOORE;PA;19343;6109420313
GLENSHAW POST OFFICE;1541 BUTLER PLANK ROAD;GLENSHAW;PA;15116;4124863128
GOULDSBORO POST OFFICE;546 MAIN STREET;GOULDSBORO;PA;18424;5708427191
LILIAN S BESORE MEMORIAL LIBRARY;305 EAST BALTIMORE STREET;GREENCASTLE;PA;17225;7175977920
GREENSBURG POST OFFICE;238 S PENNSYLVANIA AVE;GREENSBURG;PA;15601;7248374187
WESTMORELAND COUNTY PROTHONOTARY;2 NORTH MAIN ST;GREENSBURG;PA;15601;7248303502
GROVE CITY MAIN POST OFFICE;117 E. PINE STREET;GROVE CITY;PA;16127;7248079020
HAMBURG POST OFFICE;50 N. 3RD STREET;HAMBURG;PA;19526;6105627812
SALEM PUBLIC LIBRARY;518  EASTON TURNPIKE;HAMLIN;PA;18427;5706890903
HANOVER POST OFFICE;18 HIGH STREET;HANOVER;PA;17331;7176375496
DAUPHIN COUNTY PROTHONOTARYS OFFICE;101 MARKET ST;HARRISBURG;PA;17101;7177806520
HARRISBURG MAIN POST OFFICE;1425 CROOKED HILL ROAD;HARRISBURG;PA;17107;7172572361
HAWLEY PUBLIC LIBRARY;103 MAIN AVE;HAWLEY;PA;18428;5702264620
HAZLETON POST OFFICE;231 N. WYOMING STREET;HAZLETON;PA;18201;5704555851
BLAIR COUNTY PROTHONOTARYS OFFICE;423 ALLEGHENY ST, SUITE 144;HOLLIDAYSBURG;PA;16648;8146933080
HOMESTEAD POST OFFICE;601 E. 8TH AVENUE;HOMESTEAD;PA;15120;4124610452
WAYNE COUNTY PROTHONOTARY;925 COURT ST;HONESDALE;PA;18431;5702535970
HORSHAM POST OFFICE;575 HORSHAM ROAD - UNIT D38;HORSHAM;PA;19044;2156724780
HUGHESVILLE POST OFFICE;44 NORTH  MAIN STREET;HUGHESVILLE;PA;17737;5705842590
HUNTINGDON COUNTY CLERK OF COURT;223 PENN ST;HUNTINGDON;PA;16652;8146431610
HUNTINGDON POST OFFICE;401 WASHINGTON STREET;HUNTINGDON;PA;16652;8146434430
HUNTINGDON VALLEY POST OFFICE;830 WELSH ROAD;HUNTINGDON VALLEY;PA;19006;2159471828
INDIANA COUNTY RECORDER OF DEEDS;825 PHILADELPHIA ST;INDIANA;PA;15701;7244653860
INDIANA MAIN POST OFFICE;47 S 7TH ST;INDIANA;PA;15701;7244654771
INGOMAR POST OFFICE;736 W INGOMAR ROAD;INGOMAR;PA;15127;4123647325
IRWIN POST OFFICE;140 MAIN STREET;IRWIN;PA;15642;7248646790
JENKINTOWN LIBRARY;460 OLD YORK ROAD;JENKINTOWN;PA;19046;2158840593
JERSEY SHORE POST OFFICE;234 ALLEGHENY STREET;JERSEY SHORE;PA;17740;5703981550
CARBON COUNTY PROTHONOTARYS OFFICE;2 BROADWAY;JIM THORPE;PA;18229;5703252481
JOHNSTOWN MAIN POST OFFICE;111 FRANKLIN ST.;JOHNSTOWN;PA;15901;8145336141
KERSEY POST OFFICE;377 MAIN STREET;KERSEY;PA;15846;8148856309
ARMSTRONG COUNTY CLERK OF COURTS;500 E MARKET ST-SUITE 103;KITTANNING;PA;16201;7245483251
KUTZTOWN COMMUNITY LIBRARY;70 BIEBER ALLEY;KUTZTOWN;PA;19530;6106835820
KUTZTOWN POST OFFICE;235 GRIMLEY STREET;KUTZTOWN;PA;19530;6106838331
LANCASTER COUNTY PROTHONOTARYS OFFICE;50 N. DUKE ST;LANCASTER;PA;17608;7172998287
LANCASTER MAIN POST OFFICE;1400 HARRISBURG PIKE;LANCASTER;PA;17604;7173966925
LANCASTER PUBLIC LIBRARY;125 NORTH DUKE ST;LANCASTER;PA;17602;7173942651
MANHEIM TOWNSHIP PUBLIC LIBRARY;595 GRANITE RUN DRIVE;LANCASTER;PA;17601;7175606441
LANSDALE POST OFFICE;20 VINE ST;LANSDALE;PA;19446;2154124983
LANSDOWNE POST OFFICE;45 NORTH UNION AVENUE;LANSDOWNE;PA;19050;4844624304
SULLIVAN COUNTY PROTHONOTARYS OFFICE;245 MUNCY STREET;LAPORTE;PA;18626;5709467351
LATROBE POST OFFICE;811 JEFFERSON STREET;LATROBE;PA;15650;7245370892
LEBANON COUNTY PROTHONOTARYS OFFICE;400 S 8TH ST;LEBANON;PA;17042;7172284418
LEVITTOWN POST OFFICE;7200 NEW FALLS ROAD;LEVITTOWN;PA;19055;2159493132
UNION COUNTY PROTHONOTARYS OFFICE;103 S 2ND ST;LEWISBURG;PA;17837;5705248751
MIFFLIN COUNTY PROTHONOTARYS OFFICE;20 N WAYNE ST;LEWISTOWN;PA;17044;7172488146
LITITZ POST OFFICE;74 EAST MAIN STREET;LITITZ;PA;17543;7176262329
CLINTON COUNTY PROTHONOTARYS OFFICE;230 E WATER ST - COURTHOUSEROOM 103;LOCK HAVEN;PA;17745;5708934007
MACUNGIE POST OFFICE;51 WEST END TRAIL;MACUNGIE;PA;18062;6109663672
MANHEIM POST OFFICE;47 S. MAIN STREET;MANHEIM;PA;17545;7176652122
MARIENVILLE POST OFFICE;107 S. FOREST STREET;MARIENVILLE;PA;16239;8149276630
MARYSVILLE - RYE PUBLIC LIBRARY;198 OVERCREST ROAD;MARYSVILLE;PA;17053;7179572851
