facilityName;streetAdress;city;state;zipCode;publicPhone
AGUADILLA POST OFFICE;50 CARR 459;AGUADILLA;PR;00603;2027917601
ARECIBO MAIN POST OFFICE;10 AVE SAN PATRICIO;ARECIBO;PR;00612;2027917648
PR DEPARTAMENTO DE ESTADO - OFICINA DE PASAPORTES (ARECIBO);AVE JOSE DE DIEGO;ARECIBO;PR;00612;7878150405
USPS BAYAMON GARDENS BRANCH;100 VICTORY SHOPP CTR;BAYAMON;PR;00957;7877872235
USPS BAYAMON MAIN POST OFFICE;100 AVE RAMON L RODRIGUEZ;BAYAMON;PR;00959;7877850415
CABO ROJO POST OFFICE PUERTO RICO;64 CARBONELL ST.;CABO ROJO;PR;00623;7878511095
CAGUAS MAIN POST OFFICE;225 AVE GAUTIER BENITEZ;CAGUAS;PR;00725;7877435110
CANOVANAS POST OFFICE;18400 CARR 3;CANOVANAS;PR;00729;7872564777
USPS ROBERTO CLEMENTE WALKER POST OFFICE;1000 AVE SANCHEZ OSORIO;CAROLINA;PR;00983;7877500135
USPS CAYEY POST OFFICE;11 AVE BALDORIOTY E.;CAYEY;PR;00736;7877388020
USPS CIDRA POST OFFICE;100 AVE INDUSTRIAL;CIDRA;PR;00739;7877143999
USPS COAMO POST OFFICE;URB EL EDEN;COAMO;PR;00769;7878032721
USPS COTO LAUREL POST OFFICE;3007 AVE. SAN CRISTOBAL;COTO LAUREL;PR;00780;7872598475
PR DEPARTAMENTO DE ESTADO - OFICINA DE PASAPORTES (FAJARDO);6 CALLE DR LOPEZ W;FAJARDO;PR;00738;7879887128
USPS FAJARDO POST OFFICE;113 CALLE GARRIDO MORALES W;FAJARDO;PR;00738;7876558777
USPS GUAYNABO POST OFFICE;100 CALLE CECILIO URBINA;GUAYNABO;PR;00969;7877204141
USPS ISABELA POST OFFICE;5 CALLE PINEIRO;ISABELA;PR;00662;7878728723930
LARES POST OFFICE;100 AVE. LOS PATRIOTAS;LARES;PR;00669;7878972260
USPS MAUNABO POST OFFICE;184 AVE CALIMANO;MAUNABO;PR;00707;2027917639
MAYAGUEZ POST OFFICE;60 CALLE DE LA CANDELARIA W;MAYAGUEZ;PR;00680; 
MOROVIS POST OFFICE;200 CARR 155;MOROVIS;PR;00687;7878621500
USPS NARANJITO POST OFFICE;40 CALLE GEORGETTI;NARANJITO;PR;00719;7878692140
USPS PONCE MAIN POST OFFICE;2340 AVE EDUARDO RUBERTE;PONCE;PR;00717;7878431000
SABANA SECA POST OFFICE;100 CARR 866;SABANA SECA;PR;00952;7875859091
USPS SAN GERMAN POST OFFICE;181 AVE UNIV INTERAMERICANA;SAN GERMAN;PR;00683;7878921313
65TH INFANTRY STATION;100 CALLE ALONDRA;SAN JUAN;PR;00924;7877624595
CUPEY STATION;369 SAN CLAUDIO AVENUE;SAN JUAN;PR;00926;7877482435
LOIZA STREET POST OFFICE;1959 CALLE LOIZA;SAN JUAN;PR;00911;7872094462
OFICINA DE PASAPORTES PLAZA LAS AMERICAS;PLAZA LAS AMERICAS;SAN JUAN;PR;00918;7872507371
USPS HATO REY STATION;361 CALLE JUAN CALAF;SAN JUAN;PR;00918;7877541273
USPS OLD SAN JUAN POST OFFICE;100 PASEO DE COLON;SAN JUAN;PR;00901;7877242098
USPS SAN JUAN MAIN OFFICE WINDOW UNIT;585 AVE FD ROOSEVELT;SAN JUAN;PR;00936;7876221758
SAN LORENZO POST OFFICE;123 CALLE DE DIEGO;SAN LORENZO;PR;00754; 
SAN SEBASTIAN POST OFFICE;211 CALLE RUIZ BELVIS;SAN SEBASTIAN;PR;00685;7872801333
USPS TOA BAJA POST OFFICE;600 DR HERNAN CORTES;TOA BAJA;PR;00949;2027917605
USPS UTUADO POST OFFICE;41 AVE FERNANDO L RIBAS;UTUADO;PR;00641;9392028209
VEGA ALTA;100 CARR 2;VEGA ALTA;PR;00692;7878834200
USPS VIEQUES POST OFFICE;97 CALLE LUIS MUNOZ RIVERA;VIEQUES;PR;00765;2027917632
