facilityName;streetAdress;city;state;zipCode;publicPhone
BARRINGTON POST OFFICE;200 MIDDLE HIGHWAY;BARRINGTON;RI;02806;4012456435
NEW SHOREHAM TOWN CLERK;16 OLD TOWN ROAD;BLOCK ISLAND;RI;02807;4014663200
BRISTOL POST OFFICE;515 HOPE STREET;BRISTOL;RI;02809;4012535821
COVENTRY POST OFFICE;1550 NOOSENECK HILL ROAD;COVENTRY;RI;02816;4018217208
GARDEN CITY STATION;200 MIDWAY ROAD;CRANSTON;RI;02920;4019429855
CUMBERLAND PASSPORT ACCEPTANCE AGENCY;1380 DIAMOND HILL ROAD;CUMBERLAND;RI;02864;4013332500
EAST PROVIDENCE FINANCE STATION;17 GROVE AVE;EAST PROVIDENCE;RI;02914;4014347845
EXETER PUBLIC LIBRARY;773 TEN ROD ROAD;EXETER;RI;02822;4012944109
GREENVILLE POST OFFICE;1 AUSTIN AVE;GREENVILLE;RI;02828;4019491345
NEWPORT POST OFFICE;320 THAMES STREET;NEWPORT;RI;02840;4018479835
PAWTUCKET POST OFFICE;40 MONTGOMERY ST;PAWTUCKET;RI;02860; 
PAWTUCKET PUBLIC LIBRARY;13 SUMMER STREET;PAWTUCKET;RI;02860;4017253714
ELMWOOD POST OFFICE;820 ELMWOOD AVENUE;PROVIDENCE;RI;02907;4019413421
PROVIDENCE ANNEX POST OFFICE;2 EXCHANGE TERRACE;PROVIDENCE;RI;02903;4014215214
PROVIDENCE MAIN POST OFFICE;24 CORLISS STREET;PROVIDENCE;RI;02904; 
SCITUATE TOWN CLERK;195 DANIELSON PIKE;SCITUATE;RI;02857;4016472822
WAKEFIELD POST OFFICE;551 KINGSTOWN RD;WAKEFIELD;RI;02879;4017831091
WARREN POST OFFICE;53 CHILD ST;WARREN;RI;02885;4012450601
WARWICK POST OFFICE;325 STRAWBERRY FIELD RD;WARWICK;RI;02886;4014681077
WEST WARWICK PUBLIC LIBRARY;1043 MAIN STREET;WEST WARWICK;RI;02893;4018283750
WESTERLY POST OFFICE;110 TOM HARVEY RD;WESTERLY;RI;02891;4015961181
WOONSOCKET POST OFFICE;127 SOCIAL STREET;WOONSOCKET;RI;02895;4017696853
