facilityName;streetAdress;city;state;zipCode;publicPhone
ABBEVILLE POST OFFICE;1503 N MAIN ST;ABBEVILLE;SC;29620;8644594447
AIKEN POST OFFICE;307 LAURENS ST NW;AIKEN;SC;29801;8036499211
ANDERSON POST OFFICE;1900-B  N. MAIN ST;ANDERSON;SC;29621;8642261595
BARNWELL POST OFFICE;221 MAIN ST;BARNWELL;SC;29812;8032593195
BEAUFORT MAIN POST OFFICE;501 CHARLES STREET;BEAUFORT;SC;29902;8435248780
BLUFFTON POST OFFICE;25 THURMOND WAY;BLUFFTON;SC;29910;8437575857
CAMPOBELLO POST OFFICE;30 S MAIN ST;CAMPOBELLO;SC;29322;8644684585
CENTRAL POST OFFICE;1205 W MAIN ST;CENTRAL;SC;29630;8646392814
COLLEGE OF CHARLESTON;89 ST PHILIP ST;CHARLESTON;SC;29424;8439535534
EAST BAY STATION;557 E BAY ST;CHARLESTON;SC;29403;8437271129
CLERK OF COURT CHESTERFIELD COUNTY SC;200 W MAIN ST;CHESTERFIELD;SC;29709;8436232574
CLEMSON POST OFFICE;519 COLLEGE AVE;CLEMSON;SC;29631;8646542531
CLEVELAND POST OFFICE;4031 GEER HWY;CLEVELAND;SC;29635;8648368378
COLUMBIA MAIN POST OFFICE;1601 ASSEMBLY ST;COLUMBIA;SC;29201;8037334643
SANDHILLS POST OFFICE;1805 CLEMSON RD;COLUMBIA;SC;29229;8038658833
USC POSTAL SERVICES;1600 HAMPTON STREET;COLUMBIA;SC;29208;8037773168
USC STUDENT MAIL CENTER;1400 GREENE STREET;COLUMBIA;SC;29225;8037774109
COASTAL CAROLINA UNIVERSITY;107 FOUNDERS DRIVE;CONWAY;SC;29579;8433492156
HORRY COUNTY COURTHOUSE CLERK OF COURT;1301 2ND  AVE;CONWAY;SC;29526;8439155080
DARLINGTON POST OFFICE;115 E SMITH AVE;DARLINGTON;SC;29532;8433933223
DILLON POST OFFICE;300 W MAIN ST;DILLON;SC;29536;8437749481
DONALDS POST OFFICE;119 W MAIN ST;DONALDS;SC;29638;8643792302
DRAYTON POST OFFICE;1955 DRAYTON RD;DRAYTON;SC;29333;8645827138
DUNCAN POST OFFICE;131 W MAIN ST;DUNCAN;SC;29334;8644393920
EASLEY POST OFFICE;810 SOUTH PENDLETON STREET;EASLEY;SC;29640;8648599411
EFFINGHAM POST OFFICE;5913 S. IRBY STREET;EFFINGHAM;SC;29541;8436625854
ELGIN POST OFFICE;1100 CHURCH ST;ELGIN;SC;29045;8034383536
ELLOREE POST OFFICE;6417 OLD NUMBER SIX HIGHWAY;ELLOREE;SC;29047;8038972333
EUTAWVILLE POST OFFICE;313 PORCHER AVE;EUTAWVILLE;SC;29048;8034927451
FLORENCE POST OFFICE;1901 W EVANS ST;FLORENCE;SC;29501;8436792445
GEORGETOWN MAIN POST OFFICE;1101 CHARLOTTE ST;GEORGETOWN;SC;29440;8435465515
GOOSE CREEK POST OFFICE;307 GOOSE CREEK BLVD;GOOSE CREEK;SC;29445;8435530321
GREENVILLE COUNTY REGISTER OF DEEDS;301 UNIVERSITY RIDGE, STE 5550;GREENVILLE;SC;29601;8644677391
GREENVILLE MAIN POST OFFICE;600 W WASHINGTON ST;GREENVILLE;SC;29602;8642828422
KEITH OGLESBY STATION;100 ORCHARD PARK DR;GREENVILLE;SC;29616;8642885207
GREENWOOD POST OFFICE;240 NORTH CREEK BLVD;GREENWOOD;SC;29649;8642296072
HARTSVILLE MEMORIAL LIBRARY;147 WEST COLLEGE AVENUE;HARTSVILLE;SC;29550;8433325115
HARTSVILLE POST OFFICE;500 SOUTH 4TH ST;HARTSVILLE;SC;29550;8433329611
HEATH SPRINGS POST OFFICE;101 N MAIN ST;HEATH SPRINGS;SC;29058;8032734855
HILTON HEAD POST OFFICE;10 BOW CIRCLE;HILTON HEAD ISLAND;SC;29928;8437857002
HOLLY HILL POST OFFICE;525 GARDNER BLVD;HOLLY HILL;SC;29059;8034963910
