facilityName;streetAdress;city;state;zipCode;publicPhone
USPS - ABERDEEN;1202 S. 5TH ST.;ABERDEEN;SD;57401;6052262673
USPO - BOX ELDER;511 N ELLSWORTH RD;BOX ELDER;SD;57719;6059232484
BRANDON POST OFFICE;1420 E ASPEN BLVD;BRANDON;SD;57005;6055826062
MARSHALL COUNTY CLERK OF COURTS;911 VANDER HORCK;BRITTON;SD;57430;6054485213
USPO - BROOKINGS;500 MAIN AVE.;BROOKINGS;SD;57006;6056924735
HARDING COUNTY CLERK OF COURTS;410 RAMSLAND STREET;BUFFALO;SD;57720;6053753351
GREGORY COUNTY REGISTER OF DEEDS;221 E. 8TH ST.;BURKE;SD;57523;6057752624
UNION COUNTY CLERK OF COURT;209 EAST MAIN ST.;ELK POINT;SD;57025;6053562132
FAULK COUNTY CLERK OF COURTS;110 9TH AVE SOUTH;FAULKTON;SD;57438;6055986223
POTTER COUNTY CLERK OF COURTS;201 S. EXENE ST.;GETTYSBURG;SD;57442;6057659472
USPO - HOT SPRINGS;146 N CHICAGO ST;HOT SPRINGS;SD;57747;6057454117
USPO - HURON;410 DAKOTA AVENUE SOUTH;HURON;SD;57350;6053522725
EDMUNDS COUNTY CLERK OF COURT;210 2ND AVENUE;IPSWICH;SD;57451;6054266671
JACKSON COUNTY CLERK OF COURT;700 MAIN STREET;KADOKA;SD;57543;6058372122
USPS - MADISON;119 E CENTER ST;MADISON;SD;57042;6052562035
CORSON COUNTY CLERK OF COURT;108 1ST ST. EAST;MCINTOSH;SD;57641;6052734201
GRANT COUNTY AUDITOR OFFICE;210 E 5TH AVE;MILBANK;SD;57252;6054326711
HAND COUNTY TREASURER;415 W FIRST AVE;MILLER;SD;57362;6058532136
DAVISON COUNTY TREASURER;200 E 4TH AVE;MITCHELL;SD;57301;6059958617
USPO - MITCHELL;200 WEST 5TH AVE.;MITCHELL;SD;57301;6059960957
USPO - MOBRIDGE;404 N MAIN;MOBRIDGE;SD;57601;6058455770
USPO - NORTH SIOUX CITY;310 N DERBY LANE;NORTH SIOUX CITY;SD;57049;6052324206
HUTCHINSON COUNTY CLERK OF COURTS;201 WEST MENTOR STREET ROOM 142;OLIVET;SD;57052;6053874215
SULLY COUNTY CLERK OF COURTS;700 ASH AVENUE;ONIDA;SD;57564;6052582535
HAAKON COUNTY CLERK OF COURTS;140 S. HOWARD AVE.;PHILIP;SD;57567;6058592627
HUGHES COUNTY AUDITOR;104 E CAPITOL AVE;PIERRE;SD;57501;6057737451
USPO - PIERRE;225 SOUTH PIERRE ST.;PIERRE;SD;57501;6052241204
RAPID CITY POST OFFICE;500 EAST BLVD;RAPID CITY;SD;57701;6053948619
SPINK COUNTY CLERK OF COURTS;210 E 7TH AVENUE;REDFIELD;SD;57469;6054724535
MCCOOK COUNTY AUDITORS OFFICE;130 W ESSEX AVE;SALEM;SD;57058;6054252791
USPS - SIOUX FALLS DOWNTOWN STATION;320 S 2ND AVE;SIOUX FALLS;SD;57104;6055753542
ROBERTS COUNTY CLERK OF COURTS;411 2ND AVE. E.;SISSETON;SD;57262;6056983395
USPO - SPEARFISH;120 YANKEE ST.;SPEARFISH;SD;57783;6056423396
USPO - STURGIS;820 KINSHIP ROAD;STURGIS;SD;57785;6053470100
BON HOMME COUNTY CLERK OF COURTS;300 WEST 18TH AVENUE;TYNDALL;SD;57066;6055894215
USPO - VERMILLION;16 COURT ST.;VERMILLION;SD;57069;6056244701
WATERTOWN POST OFFICE;405 EAST KEMP AVE;WATERTOWN;SD;57201;6058867765
DAY COUNTY CLERK OF COURTS;711 WEST 1ST ST.;WEBSTER;SD;57274;6053453771
USPO - WINNER;402 S MONROE ST;WINNER;SD;57580;6058420494
USPO - YANKTON;506 W 25TH ST;YANKTON;SD;57078;6056650626
