facilityName;streetAdress;city;state;zipCode;publicPhone
ARLINGTON POST OFFICE;5885 AIRLINE RD.;ARLINGTON;TN;38002;9018673963
CHEATHAM COUNTY CLERK;354 FREY STREET, STE F;ASLAND CITY;TN;37015;6157925179
ATHENS POST OFFICE;202 SOUTH WHITE STREET;ATHENS;TN;37303;4237464427
ATOKA POST OFFICE;186 ATOKA MUNFORD ROAD;ATOKA;TN;38004;9018378335
BENTON POST OFFICE;188 MAIN ST;BENTON;TN;37307;4233385021
BRENTWOOD POST OFFICE;8011 BROOKS CHAPEL RD.;BRENTWOOD;TN;37027;6153773516
BYRDSTOWN POST OFFICE;300 W MAIN STREET;BYRDSTOWN;TN;38549;9318643213
CAMDEN POST OFFICE;81 N. FORREST AVE;CAMDEN;TN;38320;7315847298
CLAY COUNTY TN CIRCUIT COURT CLERK;145 CORDELL HULL DRIVE;CELINA;TN;38551;9312432557
CHATTANOOGA GMF RETAIL UNIT;6050 SHALLOWFORD RD;CHATTANOOGA;TN;37421;4234998363
CHATTANOOGA PUBLIC LIBRARY;1001 BROAD ST;CHATTANOOGA;TN;37402;4236437724
CLARKSVILLE;2031 WILMA RUDOLPH BLVD.;CLARKSVILLE;TN;37040;9319050927
MONTGOMERY COUNTY CLERK;350 PAGEANT LANE;CLARKSVILLE;TN;37040;9316485711
BRADLEY COUNTY CLERK  OFFICE;155 N OCOEE ST. ROOM 101;CLEVELAND;TN;37311;4237287226
COLLIERVILLE POST OFFICE;131 S CENTER STREET;COLLIERVILLE;TN;38017;9018530994
CLERK OF CIRCUIT COURT MAURY COUNTY;41 PUBLIC SQUARE ROOM 202;COLUMBIA;TN;38401;9313751106
COLUMBIA POST OFFICE;417 WEST 7TH STREET;COLUMBIA;TN;38401;9313886161
MAURY COUNTY CHANCERY COURT;41 PUBLIC SQUARE, ROOM 302;COLUMBIA;TN;38401;9313751307
PUTNAM COUNTY CLERK OF CIRCUIT COURT;421 E SPRING ST;COOKEVILLE;TN;38501;9315281508
COVINGTON POST OFFICE;220 S. MAIN ST.;COVINGTON;TN;38019;9014762413
CUMBERLAND COUNTY CLERK OF CIRCUIT COURT;60 JUSTICE CENTER DR.;CROSSVILLE;TN;38555;9314845852
JEFFERSON COUNTY CLERKS OFFICE;214 W. MAIN STREET;DANDRIDGE;TN;37725;8653972935
DAYTON POST OFFICE;426 1ST AVE.;DAYTON;TN;37321;4235707295
STEWART COUNTY CLERK OF CHANCERY COURT;225 DONELSON PARKWAY;DOVER;TN;37058;9312325665
SEQUATCHIE COUNTY COURT CLERKS OFFICE;22 CHERRY STREET;DUNLAP;TN;37327;4239492522
DYERSBURG POST OFFICE;309 N. CHURCH AVE;DYERSBURG;TN;38024;7312855491
CARTER COUNTY CLERK OF CIRCUIT COURT;900 E ELK AVENUE STE 906;ELIZABETHTON;TN;37643;4235421825
FAYETTEVILLE;226 COLLEGE ST. E.;FAYETTEVILLE;TN;37334;9314332154
FRANKLIN POST OFFICE;810 OAK MEADOW DR.;FRANKLIN;TN;37064;6157941712
JACKSON COUNTY CLERK AND MASTER;101 E. HULL AVE;GAINESBORO;TN;38562;9312689516
SUMNER COUNTY CLERK;355 NORTH BELVEDERE DRIVE;GALLATIN;TN;37066;6154524063
GEORGETOWN POST OFFICE;8405 HWY 60;GEORGETOWN;TN;37336;4233392521
GERMANTOWN;7776 FARMINGTON BLVD;GERMANTOWN;TN;38138;9017549135
GREENEVILLE POST OFFICE;220 W. SUMMER ST.;GREENEVILLE;TN;37743;4237872177
HENDERSON MAIN POST OFFICE;205 CROOK AVE.;HENDERSON;TN;38340;7319895712
HENDERSONVILLE POST OFFICE;105 IMPERIAL BLVD.;HENDERSONVILLE;TN;37075;6158243329
HIXSON POST OFFICE;302 NORTHGATE MALL DR.;HIXSON;TN;37343;4238155589
HOHENWALD POST OFFICE;26 N. COURT ST.;HOHENWALD;TN;38462;9317965411
HUMBOLDT POST OFFICE;1420 OSBORNE ST.;HUMBOLDT;TN;38343;7317843383
JACKSON TN MAIN POST OFFICE;200 DR. MARTIN LUTHER KING, JR. DR.;JACKSON;TN;38301;7314232596
ETSU PASSPORT SERVICES;400 J L SEEHORN JR RD;JOHNSON CITY;TN;37614;4234397277
MPO JOHNSON CITY;530 E. MAIN ST.;JOHNSON CITY;TN;37601;4232325836
KINGSPORT POST OFFICE;1001 NORTH EASTMAN RD.;KINGSPORT;TN;37664;4232306306
SULLIVAN COUNTY LAW CLERK;225 W CENTER ST;KINGSPORT;TN;37660;4232241724
ROANE COUNTY PROBATE COURT;200 E. RACE ST.;KINGSTON;TN;37763;8653762487
KNOX COUNTY CLERK;300 W. MAIN ST.;KNOXVILLE;TN;37902;8652152385
KNOX COUNTY CLERK - CEDAR BLUFF;1028 OLD CEDAR BLUFF RD.;KNOXVILLE;TN;37923;8652158512
KNOX COUNTY CLERK-HALLS OFFICE;7328 NORRIS FREEWAY;KNOXVILLE;TN;37918;8652153400
KNOX COUNTY CLERKS OFFICE;3010 S. MALL ROAD NE;KNOXVILLE;TN;37917;8657054866
KNOXVILLE GMF WINDOW;1237 E. WEISGARBER RD.;KNOXVILLE;TN;37950;8655584629
UT - KNOXVILLE PASSPORT SERVICES;1502 CUMBERLAND AVE;KNOXVILLE;TN;37996;8659747960
