facilityName;streetAdress;city;state;zipCode;publicPhone
BEAVER COUNTY CLERK;105 EAST CENTER STREET;BEAVER;UT;84713;4354386463
BLANDING POST OFFICE;90 NORTH MAIN ST;BLANDING;UT;84511;4356782627
BOUNTIFUL POST OFFICE;20 S. MAIN STREET;BOUNTIFUL;UT;84010;8012925754
BOX ELDER COUNTY CLERK;1 SOUTH MAIN STREET STE 10;BRIGHAM CITY;UT;84302;4357343393
EMERY COUNTY CLERK - AUDITOR;75 EAST MAIN STREET;CASTLE DALE;UT;84513;4353813550
CEDAR CITY POST OFFICE;333 N. MAIN ST.;CEDAR CITY;UT;84720;4355866701
CITY OF CEDAR HILLS;10246 N CANYON ROAD;CEDAR HILLS;UT;84062;8017859668
SUMMIT COUNTY CLERK;60 N. MAIN STREET;COALVILLE;UT;84017;4353363204
DELTA POST OFFICE;86 S. 300 E.;DELTA;UT;84624;4358642811
DRAPER CITY OFFICES;1020 E. PIONEER RD. STE 10;DRAPER;UT;84020;8015766548
DUCHESNE COUNTY CLERK;734 N. CENTER ST.;DUCHESNE;UT;84021;4357381103
EPHRAIM POST OFFICE;55 EAST 100 NORTH;EPHRAIM;UT;84627;4352834189
DAVIS COUNTY CLERK;61 SOUTH MAIN ST;FARMINGTON;UT;84025;8014513438
MILLARD COUNTY CLERK;765 S. HIGHWAY 99;FILLMORE;UT;84631;4357436223
WASATCH COUNTY CLERK/AUDITOR;25 N. MAIN ST.;HEBER CITY;UT;84032;4356573190
HERRIMAN CITY;5355 WEST HERRIMAN MAIN STREET;HERRIMAN;UT;84096;8014465323
HUNTSVILLE MAIN POST OFFICE;7785 E.  500 S.;HUNTSVILLE;UT;84317;8017452567
KANE COUNTY CLERK;76 NORTH MAIN;KANAB;UT;84741;4356442458
LAYTON CITY;437 N WASATCH DRIVE;LAYTON;UT;84041; 
LAYTON POST OFFICE;1123 N. FAIRFIELD RD.;LAYTON;UT;84041;8015466072
LEHI CITY HALL;153 N 100 E;LEHI;UT;84043;3852011000
LEHI POST OFFICE;333 E. MAIN ST.;LEHI;UT;84043;8017661562
WAYNE COUNTY COURT;18 SOUTH MAIN STREET;LOA;UT;84747;4358362765
LOGAN MAIN POST OFFICE;75 WEST  200 NORTH;LOGAN;UT;84321;4357520413
UTAH STATE UNIVERSITY CARD OFFICE;0131 OLD MAIN HILL;LOGAN;UT;84322;4357973852
DAGGETT COUNTY CLERK;95 NORTH 1ST WEST;MANILA;UT;84046;4357843154
SANPETE COUNTY CLERK;160 N MAIN;MANTI;UT;84642;4358352131
MOAB POST OFFICE;50 E. 100 N.;MOAB;UT;84532;4352597427
SAN JUAN COUNTY CLERK;117 SOUTH MAIN ST.;MONTICELLO;UT;84535;4355873223
MURRAY CITY HALL;5025 S STATE ST.;MURRAY;UT;84107;8012642660
JUAB COUNTY CLERK - AUDITOR;160 N. MAIN;NEPHI;UT;84648;4356233410
OGDEN MAIN POST OFFICE;3680 PACIFIC AVE;OGDEN;UT;84401;8016274521
WEBER COUNTY CLERK/AUDITOR;2380 WASHINGTON BLVD;OGDEN;UT;84401;8013998400
CITY OF OREM;56 N. STATE ST.;OREM;UT;84057;8012297275
OREM MOUNTAIN SHADOWS POST OFFICE;877 E. 1200 S.;OREM;UT;84097;8018027141
GARFIELD COUNTY COURT CLERK;55 SOUTH MAIN ST.;PANGUITCH;UT;84759;4356761100
PARK CITY MAIN POST OFFICE;2100 PARK AVENUE;PARK CITY;UT;84060;4356558037
IRON COUNTY CLERK;68 SOUTH 100 EAST;PAROWAN;UT;84761;4354778340
CARBON COUNTY CLERK;751 E 100 N;PRICE;UT;84501;4356363228
PRICE POST OFFICE;95 S. CARBON AVENUE;PRICE;UT;84501;4356371638
PROVO CITY;351 W. CENTER STREET;PROVO;UT;84601;8018526000
PROVO EAST BAY STATION;936 S 250 E;PROVO;UT;84606;8013562212
UTAH COUNTY CLERK/AUDITOR;111 S UNIVERSITY AVE;PROVO;UT;84601;8018518109
RICHFIELD POST OFFICE;93 N. MAIN;RICHFIELD;UT;84701;4358962078
SEVIER COUNTY CLERK;250 N. MAIN ST.;RICHFIELD;UT;84701;4358930401
RIVERSIDE UTAH POST OFFICE;15445 N. 5400 W.;RIVERSIDE;UT;84334;4354583329
SALT LAKE CITY MAIN POST OFFICE;1760 WEST 2100 SOUTH;SALT LAKE CITY;UT;84199;8019742332
SALT LAKE CITY PUBLIC LIBRARY;210 E 400 S;SALT LAKE CITY;UT;84111;8013228142
SALT LAKE COUNTY CLERK;2001 S. STATE ST.;SALT LAKE CITY;UT;84114;3854687300
UNIVERSITY OF UTAH LEARNING ABROAD;200 S. CENTRAL CAMPUS DRIVE;SALT LAKE CITY;UT;84112;8015815849
SANDY CITY HALL;10000 S CENTENNIAL PARKWAY;SANDY;UT;84070;8015687135
SANDY POST OFFICE;8850 SOUTH 700 EAST;SANDY;UT;84070;8015651946
SOUTH OGDEN CITY HALL;3950 ADAMS AVE;SOUTH OGDEN;UT;84403;8016222700
