facilityName;streetAdress;city;state;zipCode;publicPhone
ABINGDON MAIN POST OFFICE;300 WEST MAIN ST;ABINGDON;VA;24210;2766281121
WASHINGTON CO VA TREASURERS OFFICE;1 GOVERNMENT CENTER PLACE .;ABINGDON;VA;24210;2766766272
ALEXANDRIA LIBRARY BARRETT BRANCH LIBRARY;717 QUEEN ST.;ALEXANDRIA;VA;22314;7037461703
ALEXANDRIA LIBRARY-BEATLEY CENTRAL LIBRARY;5005 DUKE ST.;ALEXANDRIA;VA;22304;7037461702
ENGLESIDE POST OFFICE;8588 RICHMOND HWY;ALEXANDRIA;VA;22309;7037045680
AMELIA COUNTY CIRCUIT COURT;16441 COURT ST;AMELIA;VA;23002;8045612128
JAMES L. HAMNER PUBLIC LIBRARY;16351 DUNN STREET;AMELIA;VA;23002;8045614559
AMHERST POST OFFICE;120 S MAIN STREET;AMHERST;VA;24521;4349469274
ANNANDALE POST OFFICE;4270 JOHN MARR DRIVE;ANNANDALE;VA;22003;7032560081
APPOMATTOX POST OFFICE;791 COURT ST;APPOMATTOX;VA;24522;4343527026
ARLINGTON MAIN POST OFFICE;3118 WASHINGTON BOULEVARD;ARLINGTON;VA;22201;7039930072
ARLINGTON SOUTH STATION USPS;1210 SOUTH GLEBE ROAD;ARLINGTON;VA;22204;7039792814
PRESTON KING POST OFFICE;5877 WASHINGTON BOULEVARD;ARLINGTON;VA;22205;7035365151
BEALETON POST OFFICE;6189 STATION DR;BEALETON;VA;22712;5404396483
BEDFORD POST OFFICE;500 MAIN STREET;BEDFORD;VA;24523;5405865820
BEDFORD PUBLIC LIBRARY SYSTEM;321 N. BRIDGE ST.;BEDFORD;VA;24523;5405868911
BIG STONE GAP POST OFFICE;322 WOOD AVE E;BIG STONE GAP;VA;24219;2765232960
BLACKSBURG LIBRARY;200 MILLER STREET;BLACKSBURG;VA;24060;5403826969
BLACKSBURG MAIN OFFICE;909 UNIVERSITY CITY BLVD;BLACKSBURG;VA;24060;5405522751
VIRGINIA TECH SQUIRES STUDENT CENTER;290 COLLEGE AVE;BLACKSBURG;VA;24061;5402319844
BLUE RIDGE POST OFFICE;3521 BLUE RIDGE BLVD;BLUE RIDGE;VA;24064;5409771964
BOWLING GREEN POST OFFICE;117 MILFORD ST.;BOWLING GREEN;VA;22427;8046330471
CAROLINE COUNTY COMMISSIONER OF REVENUE;212 N MAIN ST;BOWLING GREEN;VA;22427;8046339834
MECKLENBURG COUNTY CLERK OF CIRCUIT COURT;393 WASHINGTON ST.;BOYDTON;VA;23917;4347386191
BRIDGEWATER COMMUNITY CENTER;201 GREEN STREET;BRIDGEWATER;VA;22812;5409084212
BRISTOL POST OFFICE;111 6TH STREET;BRISTOL;VA;24203;4232748010
USPS BRISTOW MAIN OFFICE;11151 VALLEY VIEW DR;BRISTOW;VA;20136;7033670883
BUENA VISTA CIRCUIT COURT;2039 SYCAMORE AVE;BUENA VISTA;VA;24416;5402618627
CAPE CHARLES POST OFFICE;299 RANDOLPH AVE;CAPE CHARLES;VA;23310;7573314927
CENTREVILLE MAIN OFFICE USPS;14120-A LEE HIGHWAY;CENTREVILLE;VA;20121;7038302714
SULLY STATION BRANCH USPS;5003 WESTFIELDS BLVD;CENTREVILLE;VA;20120;7033785502
CHANTILLY POST OFFICE;4410 BROOKFIELD CORPORATE DRIVE;CHANTILLY;VA;20151;7039619419
HERITAGE PUBLIC LIBRARY - CHARLES CITY;10790 COURTHOUSE RD;CHARLES CITY;VA;23030;8046522450
CHARLOTTE COURT HOUSE POST OFFICE;140 DAVID BRUCE AVE.;CHARLOTTE COURT HOUSE;VA;23923;4345425101
CHARLOTTESVILLE MAIN POST OFFICE;1155 SEMINOLE TRAIL;CHARLOTTESVILLE;VA;22906;4349787606
OFFICE OF THE TREASURER CHARLOTTESVILLE VA;605 E. MAIN ST;CHARLOTTESVILLE;VA;22902;4349703146
CHASE CITY POST OFFICE;960 N MAIN ST;CHASE CITY;VA;23924;4343721687
CHATHAM POST OFFICE;31 S. MAIN ST.;CHATHAM;VA;24531;4344324321
