facilityName;streetAdress;city;state;zipCode;publicPhone
USPO - ABERDEEN;115 NORTH K ST.;ABERDEEN;WA;98520;3605377205
USPO - AIRWAY HEIGHTS;1501 S. MULLEN RD;AIRWAY HEIGHTS;WA;99001;5092440725
USPO - ALLYN;18329 E. STATE ROUTE 3;ALLYN;WA;98524;3602756504
ANACORTES PUBLIC LIBRARY;1220 10TH ST;ANACORTES;WA;98221;3602931910
CITY OF ARLINGTON;238 N. OLYMPIC AVE;ARLINGTON;WA;98223;3604033421
CITY OF AUBURN;25 W MAIN STREET;AUBURN;WA;98001;2539313039
BAINBRIDGE ISLAND MUNICIPAL COURT;10255 NE VALLEY ROAD;BAINBRIDGE ISLAND;WA;98110;2068425641
USPO - BATTLE GROUND;418 W. MAIN ST.;BATTLE GROUND;WA;98604;3606662861
KCDC - BELLEVUE;1309 114TH AVE SE, STE 100;BELLEVUE;WA;98004;2062059200
USPO - BELLEVUE;12224 NE BEL-RED ROAD;BELLEVUE;WA;98005;4254547288
USPO - BELLINGHAM;315 PROSPECT ST.;BELLINGHAM;WA;98225;3607529822
WHATCOM COUNTY TREASURERS OFFICE;311 GRAND AVENUE, SUITE 104;BELLINGHAM;WA;98225;3607785162
USPO - BENTON CITY;909 DALE AVE.;BENTON CITY;WA;99320;5095882740
USPO - BLACK DIAMOND;25228 BAKER ST;BLACK DIAMOND;WA;98010;8002758777
CITY OF BLAINE;435 MARTIN ST, STE 3000;BLAINE;WA;98230;3603328311
USPO - BLAINE;701 HARRISON AVE.;BLAINE;WA;98230;3603327184
BONNEY LAKE MUNICIPAL COURT;9002 MAIN STREET E. STE 100;BONNEY LAKE;WA;98391;2538626606
CITY OF BREMERTON FINANCIAL SERVICES;345 6TH ST., SUITE 100;BREMERTON;WA;98337;3604735030
CITY OF BUCKLEY;933 MAIN ST.;BUCKLEY;WA;98321;3608291921
KCDC - BURIEN;601 SW 149TH ST.;BURIEN;WA;98166;2062059200
BURLINGTON MUNICIPAL COURT;311 CEDAR ST, STE A;BURLINGTON;WA;98233;3607550492
USPO - CASTLE ROCK;126 COWLITZ ST. W;CASTLE ROCK;WA;98611;3602745209
WAHKIAKUM COUNTY CLERK;64 MAIN STREET;CATHLAMET;WA;98612;3607953558
USPO - CENTRALIA;214 CENTRALIA COLLEGE BLVD;CENTRALIA;WA;98531;3608071169
LEWIS COUNTY CLERK;345 W. MAIN ST.;CHEHALIS;WA;98532;3607402704
USPO - CHENEY;224 2ND STREET;CHENEY;WA;99004;5092356416
WHITMAN COUNTY CLERK;400 N MAIN STREET;COLFAX;WA;99111;5093976240
STEVENS COUNTY CLERK;215 SOUTH OAK STREET, ROOM #206;COLVILLE;WA;99114;5096847575
USPO - COLVILLE;204 S. OAK STREET;COLVILLE;WA;99114;5096842241
USPO - COVINGTON STATION;17300 SE 270TH PLACE;COVINGTON;WA;98042;2536396833
USPO - DANVILLE;2 FOURTH OF JULY CREEK RD;DANVILLE;WA;99121;5097794485
USPO DAVENPORT;402 7TH ST;DAVENPORT;WA;99122;5097251131
COLUMBIA COUNTY CLERK;341 E. MAIN ST. STE 2;DAYTON;WA;99328;5093824321
USPO - DEER PARK;19 S. VERNON AVE;DEER PARK;WA;99006;5092761091
USPO - DES MOINES STATION;2003 S. 216TH ST.;DES MOINES;WA;98198;2068243647
UPSO - DUPONT;1313 THOMPSON CIRCLE;DUPONT;WA;98327;2539648333
EATONVILLE FINANCE DEPARTMENT;201 CENTER STREET W;EATONVILLE;WA;98328;3608323361
EDMONDS MUNICIPAL COURT;250 - 5TH AVENUE NORTH;EDMONDS;WA;98020;4257710210
