facilityName;streetAdress;city;state;zipCode;publicPhone
ABBOTSFORD POST OFFICE;113 N. 2ND ST.;ABBOTSFORD;WI;54405;7152236082
BUFFALO COUNTY CLERK OF COURT;407 S. 2ND STREET;ALMA;WI;54610;6086856212
AMERY POST OFFICE;1024 RIVERPLACE DR.;AMERY;WI;54001;7152687144
ANTIGO POST OFFICE;501 CLERMONT ST.;ANTIGO;WI;54409;7156274812
APPLETON MAIN POST OFFICE;410 W. FRANKLIN STREET;APPLETON;WI;54911;9209933081
GRAND CHUTE POSTAL STORE;311 N. CASALOMA DR.;APPLETON;WI;54913;9209933081
OUTAGAMIE COUNTY CLERK OF CIRCUIT COURT;320 S. WALNUT ST.;APPLETON;WI;54911;9208325131
ARCADIA POST OFFICE;1495 E. WILSON AVE;ARCADIA;WI;54612;6083237103
ASHLAND POST OFFICE;615 WEST MAIN ST W;ASHLAND;WI;54806;7156824848
BAILEYS HARBOR POST OFFICE;2398 BLUFF ROAD;BAILEYS HARBOR;WI;54202;9208392859
POLK COUNTY WI CLERK;100 POLK COUNTY PLAZA;BALSAM LAKE;WI;54810;7154859226
SAUK COUNTY CLERK;505 BROADWAY, RM. 144;BARABOO;WI;53913;6083553286
BARRON COUNTY CLERK OF COURT;1420 STATE HWY 25 NORTH;BARRON;WI;54812;7155376265
BEAVER DAM POST OFFICE;411 N. SPRING ST.;BEAVER DAM;WI;53916;9208856843
BELLEVILLE WI POST OFFICE;102 S. VINE ST.;BELLEVILLE;WI;53508;6084246524
BELOIT POST OFFICE;300 MILL ST.;BELOIT;WI;53511;6083657755
BIG BEND POST OFFICE;S87 W 22530 EDGEWOOD AVE.;BIG BEND;WI;53103;2626620996
JACKSON COUNTY CLERK;307 MAIN ST.;BLACK RIVER FALLS;WI;54615;7152840201
BRISTOL POST OFFICE;8223 199TH AVE.;BRISTOL;WI;53104;2628577111
BROOKFIELD POST OFFICE;17345 CIVIC DR.;BROOKFIELD;WI;53045;2627820588
BURLINGTON POST OFFICE;100 S. PINE STREET;BURLINGTON;WI;53105;2627636300
BUTLER POST OFFICE;12420 W. HAMPTON AVE.;BUTLER;WI;53007;2627814064
BUTTERNUT POST OFFICE;101 E. MAIN ST.;BUTTERNUT;WI;54514;7157693471
CEDARBURG POST OFFICE;W63 N605 HANOVER AVE.;CEDARBURG;WI;53012;2623770388
CALUMET COUNTY CLERK OF COURT;206 COURT STREET;CHILTON;WI;53014;9208491414
CHILTON POST OFFICE;57 E. MAIN STREET;CHILTON;WI;53014;9208492651
CHIPPEWA COUNTY CLERK;711 N. BRIDGE ST.;CHIPPEWA FALLS;WI;54729;7157267980
COLFAX POST OFFICE;602 MAIN ST.;COLFAX;WI;54730;7159623777
FOREST COUNTY CLERK OF COURT;200 E. MADISON;CRANDON;WI;54520;7154783323
CUSTER POST OFFICE;2224 CUSTER ROAD;CUSTER;WI;54423;7155924176
LAFAYETTE COUNTY CLERK OF COURT;626 MAIN STREET;DARLINGTON;WI;53530;6087764832
DEPERE CLERK OFFICE;335 SOUTH BROADWAY STREET;DE PERE;WI;54115;9203394050
DEFOREST POST OFFICE;619 S. MAIN STREET;DEFOREST;WI;53532;6088465910
DELAFIELD POST OFFICE;925 GENESEE ST.;DELAFIELD;WI;53018;2626468423
DELAVAN POST OFFICE;335 E. WALWORTH AVE.;DELAVAN;WI;53115;2627282100
DEPERE POST OFFICE;123 S. 9TH STREET;DEPERE;WI;54115;9203364306
IOWA COUNTY CLERK OF CIRCUIT COURT;222 N. IOWA STREET;DODGEVILLE;WI;53533;6089350395
VILAS COUNTY CLERK OF COURT;330 COURT STREET;EAGLE RIVER;WI;54521;7154793632
EAU CLAIRE MAIN OFFICE;225 EAST MADISON ST;EAU CLAIRE;WI;54703;7158305300
ELKHORN POST OFFICE;102 E. WALWORTH ST.;ELKHORN;WI;53121;2627232679
WALWORTH COUNTY CLERK OF COURT;1800 CTY HWY NN;ELKHORN;WI;53121;2627417012
PIERCE COUNTY CLERK;414 WEST MAIN STREET;ELLSWORTH;WI;54011;7152736744
FENNIMORE POST OFFICE;1090 12TH ST.;FENNIMORE;WI;53809;6088226788
FOND DU LAC COUNTY CLERK OF CIRCUIT COURT;160 S. MACY ST.;FOND DU LAC;WI;54935;9209293037
FORT ATKINSON;24 MILWAUKEE AVENUE E.;FORT ATKINSON;WI;53538;9205635881
FRANKLIN POST OFFICE;9575 BRENWOOD PARK DRIVE;FRANKLIN;WI;53132;4144271414
FREDONIA POST OFFICE;207 REGAL DR.;FREDONIA;WI;53021;2626922341
ADAMS COUNTY CLERK OF CIRCUIT COURT;402 MAIN STREET;FRIENDSHIP;WI;53934;6083394208
GERMANTOWN POST OFFICE;W156 N11301 PILGRIM ROAD;GERMANTOWN;WI;53022;2622516411
GRAFTON POST OFFICE;1817 HIGHLAND DR.;GRAFTON;WI;53024;2623774250
BROWN COUNTY CLERK GREEN BAY WI;305 EAST WALNUT STREET;GREEN BAY;WI;54301;9204484016
GREEN BAY DOWNTOWN STATION;118 N. MONROE;GREEN BAY;WI;54301;9204320229
GREEN BAY HANSEN RD STATION;790 HANSEN RD.;GREEN BAY;WI;54304;9204050665
GREEN BAY MAIN OFFICE;300 PACKERLAND DRIVE;GREEN BAY;WI;54303;9204983895
GREEN LAKE COUNTY CLERK;571 COUNTY ROAD A;GREEN LAKE;WI;54941;9202944005
GREENDALE POST OFFICE;5741 BROAD ST.;GREENDALE;WI;53129;4144217406
HARTFORD POST OFFICE;45 E. WISCONSIN ST.;HARTFORD;WI;53027;2626706974
WASHINGTON COUNTY CLERK - HARTFORD LOCATION;1121 E. SUMNER ST.;HARTFORD;WI;53027;2623354301
HARTLAND POST OFFICE;401 E.  INDUSTRIAL DRIVE;HARTLAND;WI;53029;2623670963
HILLSBORO POST OFFICE;713 WATER AVE.;HILLSBORO;WI;54634;6084893528
HORTONVILLE POST OFFICE;119 N. PINE STREET;HORTONVILLE;WI;54944;9207796888
OFFICE OF COUNTY CLERK ST CROIX COUNTY;1101 CARMICHAEL ROAD;HUDSON;WI;54016;7153864610
ROCK COUNTY CLERKS OFFICE;51 S. MAIN ST.;JANESVILLE;WI;53545;6087575660
JEFFERSON COUNTY CLERK;311 S CENTER AVE;JEFFERSON;WI;53549;9206748777
KAUKANA POST OFFICE;120 DOTY ST.;KAUKANA;WI;54130;9207665750
KENOSHA COUNTY ADMINISTRATION BLDG;1010 56TH STREET;KENOSHA;WI;53140;2626532552
KENOSHA POST OFFICE;5605 SHERIDAN RD.;KENOSHA;WI;53140;2626575955
KEWASKUM WI POST OFFICE;347 MAIN ST.;KEWASKUM;WI;53040;2626262575
KEWAUNEE COUNTY CLERKS OFFICE;810 LINCOLN STREET;KEWAUNEE;WI;54216;9203887120
KIEL POST OFFICE;220 FREEMONT STREET;KIEL;WI;53042;9208942345
