facilityName;streetAdress;city;state;zipCode;publicPhone
CONCORD UNIVERSITY;1000 VERMILLION STREET;ATHENS;WV;24712;3043845285
BARBOURSVILLE POST OFFICE;680 CENTRAL AVENUE;BARBOURSVILLE;WV;25504;3047363675
BECKLEY POST OFFICE;134 INDUSTRIAL DRIVE;BECKLEY;WV;25801;3042525336
RALEIGH COUNTY CIRCUIT CLERKS  OFFICE;222 MAIN ST;BECKLEY;WV;25801;3042559135
BERKELEY SPRINGS POST OFFICE;417 N. WASHINGTON STREET;BERKELEY SPRINGS;WV;25411;3042581424
BLUEFIELD MAIN POST OFFICE;3010 E CUMBERLAND RD;BLUEFIELD;WV;24701;3043259196
BUCKHANNON MAIN POST OFFICE;11 SOUTH SPRING ST;BUCKHANNON;WV;26201;3044722020
CHARLESTON MAIN POST OFFICE;1002 LEE STREET EAST;CHARLESTON;WV;25301;3045611007
CLARKSBURG HARRISON PUBLIC LIBRARY;404 W PIKE STREET;CLARKSBURG;WV;26301;3046272236
CLARKSBURG POST OFFICE EASTPOINTE;200 CAVA DRIVE;CLARKSBURG;WV;26301;3046237707
HARRISON COUNTY CIRCUIT CLERK;301 W MAIN ST;CLARKSBURG;WV;26301;3046248640
CULLODEN MAIN POST OFFICE;2000 US HIGHWAY 60;CULLODEN;WV;25510;3047435211
WIRT COUNTY CIRCUIT CLERK;19 WASHINGTON STREET;ELIZABETH;WV;26143;3042756597
ELKINS POST OFFICE;300 THIRD STREET;ELKINS;WV;26241;3046361545
FAIRMONT POST OFFICE;331 MADISON ST;FAIRMONT;WV;26554;3043661610
PENDLETON COUNTY CIRCUIT COURT;100 S MAIN ST;FRANKLIN;WV;26807;3043587067
GILMER COUNTY CIRCUIT CLERKS OFFICE;10 HOWARD ST;GLENVILLE;WV;26351;3044627241
HARPERS FERRY POST OFFICE;1010 WASHINGTON STREET;HARPERS FERRY;WV;25425;3045352479
RITCHIE COUNTY CIRCUIT CLERKS OFFICE;115 E MAIN ST;HARRISVILLE;WV;26362;3046432164
HUNTINGTON MAIN POST OFFICE;1000 VIRGINIA AVE WEST;HUNTINGTON;WV;25704;3045269600
HURRICANE MAIN POST OFFICE;3225 TEAYS VALLEY RD;HURRICANE;WV;25526;3045626811
KEYSER MAIN POST OFFICE;2 NORTH DAVIS STREET;KEYSER;WV;26726;3047881501
KINGWOOD POST OFFICE;225 EAST MAIN STREET;KINGWOOD;WV;26537;3043290567
GREENBRIER COUNTY CIRCUIT CLERKS OFFICE;912 COURT ST NORTH;LEWISBURG;WV;24901;3046476626
LOGAN COUNTY CIRCUIT COURT CLERK;300 STRATTON ST;LOGAN;WV;25601;3047928550
MADISON POST OFFICE;650 SOUTH MAIN STREET;MADISON;WV;25130;3043691251
POCAHONTAS COUNTY CIRCUIT COURT;900 D TENTH AVE;MARLINTON;WV;24954;3047994604
MARTINSBURG POST OFFICE;1355 OLD COURTHOUSE SQUARE;MARTINSBURG;WV;25404;3042677787
MARTINSBURG PUBLIC LIBRARY;101 WEST KING ST;MARTINSBURG;WV;25401;3042678933
MASON POST OFFICE;1931 2ND STREET;MASON;WV;25260;3047735732
MIDDLEBOURNE POST OFFICE;105 DODD STREET;MIDDLEBOURNE;WV;26149;3047584021
MINERAL WELLS POST OFFICE;1259 ELIZABETH PIKE;MINERAL WELLS;WV;26150;3044892890
MONTGOMERY MAIN POST OFFICE;315 FOURTH AVENUE;MONTGOMERY;WV;25136;3044422691
HARDY COUNTY CIRCUIT COURT;204 WASHINGTON ST, RM 237;MOOREFIELD;WV;26836;3045300230
MORGANTOWN POST OFFICE;40 HIGH STREET;MORGANTOWN;WV;26505;3042911036
MOUNDSVILLE POST OFFICE;1214 THIRD STREET;MOUNDSVILLE;WV;26041;3048450104
HANCOCK COUNTY CIRCUIT CLERK;102 N. COURT STREET;NEW CUMBERLAND;WV;26047;3045643311
SIMMONS STATION POST OFFICE;1050 MARKET STREET;PARKERSBURG;WV;26101;3044858009
PHILIPPI POST OFFICE;43 SCHOOL STREET;PHILIPPI;WV;26416;3044572676
POINT PLEASANT WEST VIRGINIA POST OFFICE;329 MAIN STREET;POINT PLEASANT;WV;25550;3046753510
PRINCETON POST OFFICE;1000 MERCER STREET;PRINCETON;WV;24740;3044253075
HAMPSHIRE COUNTY CIRCUIT CLERKS OFFICE;50 SOUTH HIGH STREET;ROMNEY;WV;26757;3048225022
SAINT ALBANS MAIN POST OFFICE;431 B STREET;SAINT ALBANS;WV;25177;3047222198
PLEASANTS COUNTY CIRCUIT CLERKS OFFICE;301 COURT LANE, ROOM 201;SAINT MARYS;WV;26170;3046843513
SOUTH CHARLESTON PUBLIC LIBRARY;312 FOURTH AVENUE;SOUTH CHARLESTON;WV;25303;3047446561
SUMMERSVILLE POST OFFICE;449 WATER STREET;SUMMERSVILLE;WV;26651;3048722381
SUMMERSVILLE PUBLIC LIBRARY;6201 WEBSTER RD;SUMMERSVILLE;WV;26651;3048720844
MONROE COUNTY PUBLIC LIBRARY;303 SOUTH MAIN STREET;UNION;WV;24983;3047723038
WEIRTON POST OFFICE;317 PENCO ROAD;WEIRTON;WV;26062;3047236795
WELLSBURG POST OFFICE;944 CHARLES STREET;WELLSBURG;WV;26070;3047374277
DODDRIDGE COUNTY CIRCUIT CLERK;108 COURT STREET;WEST UNION;WV;26456;3048732331
OHIO COUNTY CIRCUIT CLERKS OFFICE;1500 CHAPLINE ST;WHEELING;WV;26003;3042343611
WHEELING POST OFFICE DOWNTOWN STATION;2501 CHAPLINE STREET;WHEELING;WV;26003;3042324850
WILLIAMSON PUBLIC LIBRARY;101 LOGAN STREET;WILLIAMSON;WV;25661;3042356029
